Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-09-03,5.83,5.96,5.485,5.59,7.03,7.91,28.50,-0.56,BUY,10000.00
2024-09-20,7.16,8.44,7.0,8.41,6.33,7.39,70.07,-0.10,SELL,15042.16
2024-10-03,10.22,10.22,9.22,9.41,7.38,7.37,69.11,0.61,BUY,15042.16
2024-10-04,9.56,11.29,9.23,11.19,7.66,7.42,77.87,0.79,SELL,17886.60
2024-10-16,12.82,16.77,12.3,16.54,9.57,7.81,81.28,1.36,SELL,17886.60
2024-10-17,16.36,16.65,14.11,15.73,10.03,7.97,75.90,1.65,SELL,17886.60
2024-10-18,15.5,20.64,15.48,18.23,10.52,8.19,80.25,2.06,SELL,17886.60
2024-10-21,19.37,22.93,18.55,22.31,11.22,8.49,85.00,2.68,SELL,17886.60
2024-12-23,21.77,22.33,19.41,22.02,20.51,20.75,55.63,-0.05,SELL,17886.60
2025-01-10,26.15,27.0,24.4,25.24,22.60,22.34,55.11,1.68,BUY,17886.60
2025-01-22,32.43,34.95,32.03,34.17,25.22,22.95,70.31,2.06,SELL,24209.04
2025-01-23,32.14,40.2095,32.01,38.78,26.08,23.20,75.23,2.86,SELL,24209.04
2025-01-24,39.55,43.7,38.83,41.82,27.07,23.54,77.84,3.69,SELL,24209.04
2025-03-13,26.16,26.34,23.87,23.95,34.68,35.07,35.61,-4.05,SELL,24209.04
2025-05-13,29.2,32.63,29.17,32.03,25.11,25.09,66.88,1.23,BUY,24209.04
2025-05-14,34.55,39.37,34.1,37.01,25.81,25.22,74.15,1.91,SELL,27968.94
2025-05-15,35.96,38.05,34.4501,37.41,26.61,25.36,74.63,2.46,SELL,27968.94
2025-05-23,44.66,52.17,43.63,48.87,31.86,27.14,80.22,4.57,SELL,27968.94
2025-06-11,53.56,68.9102,53.36,68.03,48.25,34.06,78.90,6.66,SELL,27968.94
