Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2018-10-25,17.97,18.74,17.55,18.56,21.52,21.69,40.69,-1.32,SELL,10000.00
2018-12-04,23.9,24.19,23.16,23.32,21.26,21.17,57.41,0.87,BUY,10000.00
2019-01-10,24.79,26.7,24.64,26.38,22.59,21.79,70.92,0.79,SELL,11309.68
2019-01-24,26.81,28.78,26.76,28.74,24.38,23.05,72.98,1.17,SELL,11309.68
2019-01-25,28.74,29.55,27.93,29.5,24.76,23.22,74.94,1.41,SELL,11309.68
2019-03-25,23.3,23.66,23.01,23.34,27.44,27.56,34.96,-1.14,SELL,11309.68
2019-07-29,21.73,21.98,21.41,21.91,20.32,20.30,67.15,0.26,BUY,11309.68
2019-08-16,24.18,25.1,24.18,25.01,22.36,21.13,74.85,0.88,SELL,12909.28
2019-08-19,25.5,26.0,25.225,25.57,22.63,21.23,77.11,1.01,SELL,12909.28
2019-08-20,25.61,26.17,25.25,25.96,22.88,21.35,78.55,1.13,SELL,12909.28
2019-08-21,29.16,30.2,28.86,30.11,23.34,21.55,87.56,1.54,SELL,12909.28
2019-08-22,29.64,30.98,29.06,30.59,23.79,21.75,88.18,1.89,SELL,12909.28
2019-10-24,35.8,40.0,35.62,39.96,33.33,32.87,76.07,1.08,SELL,12909.28
2019-10-25,39.4,42.0,39.23,40.84,33.81,33.19,77.67,1.49,SELL,12909.28
2019-10-28,41.29,42.85,40.695,42.58,34.32,33.53,80.45,1.94,SELL,12909.28
2019-11-20,31.17,35.03,30.26,31.4,41.31,36.55,28.80,0.71,BUY,12909.28
2019-11-21,32.65,33.24,31.26,31.58,40.89,36.46,29.49,-0.01,BUY,12983.26
2019-12-10,37.5,38.45,37.32,38.13,37.20,37.22,53.40,-0.31,SELL,15675.31
2020-01-09,41.14,41.85,39.595,39.66,38.78,38.72,54.01,0.74,BUY,15675.31
2020-02-05,37.09,37.09,35.21,35.72,37.79,37.94,39.31,-0.77,SELL,14119.01
2020-04-09,40.4,41.83,40.18,41.04,35.94,35.84,65.98,1.15,BUY,14119.01
2020-04-20,45.12,51.49,45.07,50.11,39.77,37.06,80.34,2.81,SELL,17239.09
2020-04-21,50.0,51.5,48.37,50.94,40.51,37.35,81.26,3.25,SELL,17239.09
2020-05-08,50.89,55.12,50.72,54.6,47.99,40.88,70.52,2.79,SELL,17239.09
2020-05-11,54.43,55.78,53.84,54.94,48.67,41.23,70.99,3.05,SELL,17239.09
2020-05-12,55.78,60.6,55.7214,57.83,49.41,41.67,74.71,3.46,SELL,17239.09
2020-05-13,59.04,60.98,57.84,59.83,50.20,42.14,76.92,3.89,SELL,17239.09
2020-05-14,58.38,61.0,57.35,60.84,50.99,42.64,77.96,4.27,SELL,17239.09
2020-05-18,62.59,67.0775,62.1612,66.46,52.65,43.73,82.92,5.14,SELL,17239.09
2020-06-15,72.66,78.44,72.31,77.67,67.19,56.54,71.15,4.99,SELL,17239.09
2020-06-17,78.82,83.89,78.5,82.8,69.03,58.15,75.58,5.77,SELL,17239.09
2020-06-19,85.89,89.25,84.41,87.58,71.10,59.91,78.48,6.68,SELL,17239.09
2020-09-15,86.05,86.245,81.075,82.65,87.20,87.24,43.11,-1.12,SELL,17239.09
2020-10-29,91.96,97.25,91.2,94.12,83.13,82.81,70.01,2.95,BUY,17239.09
2020-11-04,101.82,110.41,101.7,110.26,88.04,83.73,78.45,4.89,SELL,20192.71
2020-11-05,113.78,116.79,110.45,113.07,90.03,84.22,79.89,6.12,SELL,20192.71
2020-11-06,113.8,116.58,110.55,114.53,91.77,84.72,80.62,7.14,SELL,20192.71
2020-11-12,138.15,138.27,127.01,134.21,97.78,86.69,78.30,9.27,SELL,20192.71
2020-11-13,140.72,155.61,140.64,151.29,101.14,88.02,82.82,12.11,SELL,20192.71
2020-12-08,149.91,161.5,149.14,157.49,140.05,108.77,70.65,11.25,SELL,20192.71
2021-03-08,153.15,155.89,136.0,137.6,183.03,178.41,28.14,-6.81,BUY,20192.71
2021-03-11,159.0,164.05,154.69,162.4,176.81,177.24,45.42,-7.90,SELL,23813.51
2021-07-26,89.74,95.33,87.35,88.71,110.81,120.17,24.25,-6.89,BUY,23813.51
2021-07-27,84.3,87.63,77.66,79.53,108.11,119.32,20.07,-8.34,BUY,21353.27
2021-08-19,76.08,76.84,74.12,74.69,87.50,105.21,27.20,-7.21,BUY,20056.15
2021-09-14,102.15,103.6,100.97,101.78,96.85,96.55,54.31,2.86,BUY,27316.27
2021-10-13,95.82,99.19,95.19,97.58,93.62,93.85,54.62,-0.74,SELL,26190.67
2021-11-26,73.91,74.84,65.51,68.46,86.07,90.78,28.25,-4.20,BUY,26190.67
2021-12-01,68.42,68.84,61.86,62.11,82.19,89.05,27.20,-6.38,BUY,23764.97
2022-02-04,55.3,56.54,54.23,55.85,58.82,58.61,45.76,-1.09,BUY,21373.65
2022-02-18,56.74,57.89,54.76,56.03,58.07,58.09,45.04,-0.01,SELL,21442.41
2022-03-14,27.97,30.83,25.41,25.53,47.78,53.93,21.07,-6.65,BUY,21442.41
2022-06-03,50.76,52.25,49.91,50.9,41.65,41.39,63.33,2.86,BUY,42727.84
2022-06-08,61.41,66.53,60.57,64.95,45.33,42.31,76.17,4.91,SELL,54515.79
2022-08-01,47.48,48.77,44.82,47.69,55.78,56.34,33.65,-1.95,SELL,54515.79
2022-08-29,65.04,72.19,64.7,66.04,50.82,55.36,70.12,1.33,SELL,54515.79
2022-08-30,67.78,67.8,63.9,66.5,51.70,55.43,70.54,2.21,SELL,54515.79
