Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2019-06-17,4.21,4.36,3.84,3.92,4.65,6.34,29.66,-1.14,BUY,10000.00
2019-06-18,3.92,4.08,3.8,3.81,4.57,6.31,28.94,-1.10,BUY,9719.39
2019-06-19,3.81,3.85,3.5,3.51,4.48,6.28,27.00,-1.09,BUY,8954.09
2019-06-20,3.6,5.5,3.57,3.61,4.41,6.17,28.71,-1.06,BUY,9209.19
2019-06-24,3.62,3.65,3.15,3.19,4.25,5.96,25.77,-1.01,BUY,8137.77
2019-06-26,3.25,3.39,2.8,2.93,4.06,5.79,25.06,-0.98,BUY,7474.51
2019-06-27,2.86,2.9295,2.55,2.59,3.94,5.69,22.95,-1.00,BUY,6607.17
2019-08-05,1.64,1.64,1.45,1.49,1.89,2.99,28.16,-0.45,BUY,3801.07
2019-08-06,1.51,1.51,1.42,1.44,1.85,2.92,27.37,-0.44,BUY,3673.52
2019-08-15,1.35,1.39,1.11,1.13,1.65,2.48,28.14,-0.32,BUY,2882.71
2019-09-20,1.83,1.98,1.8,1.82,1.66,1.65,56.49,0.03,BUY,4642.90
2019-10-18,1.62,1.81,1.62,1.68,1.55,1.56,56.79,-0.02,SELL,4285.76
2020-01-27,1.05,1.05,0.9809,0.995,1.16,1.20,28.26,-0.04,BUY,4285.76
2020-01-28,0.99,0.99,0.93,0.9688,1.15,1.19,26.41,-0.05,BUY,4172.92
2020-01-29,0.9649,0.9649,0.9,0.9066,1.13,1.19,22.63,-0.06,BUY,3905.02
2020-01-30,0.9,0.91,0.8,0.8308,1.11,1.18,19.05,-0.08,BUY,3578.55
2020-02-21,1.36,1.41,1.13,1.23,0.92,1.07,70.71,-0.00,SELL,5297.91
2020-05-19,0.68,0.68,0.65,0.6697,0.69,0.69,46.85,-0.01,BUY,5297.91
2020-05-20,1.0,3.0,0.966,1.57,0.74,0.71,82.67,0.07,SELL,12419.28
2020-07-17,1.53,1.7,1.47,1.68,1.29,1.21,72.14,0.07,SELL,12419.28
2020-08-31,1.04,1.09,1.01,1.08,1.34,1.36,33.49,-0.11,SELL,12419.28
2020-09-24,0.816,0.83,0.7532,0.7831,0.94,1.24,26.99,-0.10,BUY,12419.28
2020-12-16,0.9124,1.03,0.8101,0.9728,0.74,0.74,70.74,0.03,SELL,15427.73
2020-12-30,1.17,1.5,1.1,1.36,0.95,0.80,70.69,0.11,SELL,15427.73
2021-01-26,2.14,2.41,1.75,1.81,1.32,1.03,75.07,0.13,SELL,15427.73
2021-01-29,1.72,2.24,1.63,2.08,1.39,1.10,73.78,0.18,SELL,15427.73
2021-02-01,3.06,3.17,2.43,2.69,1.46,1.14,81.29,0.26,SELL,15427.73
2021-02-02,2.35,2.54,2.1,2.51,1.52,1.17,74.51,0.30,SELL,15427.73
2021-03-17,2.03,2.34,2.0,2.28,1.91,1.93,57.93,-0.01,SELL,15427.73
2021-08-16,0.91,0.91,0.84,0.85,1.07,1.21,29.47,-0.06,BUY,15427.73
2021-09-20,0.98,1.01,0.97,0.99,1.05,1.05,43.69,-0.01,BUY,17968.73
2021-09-30,0.93,0.941,0.9102,0.9288,1.02,1.03,37.42,-0.03,SELL,16857.95
2021-10-21,1.05,1.92,1.03,1.53,0.98,0.99,86.29,0.05,SELL,16857.95
2021-10-25,11.92,12.0,6.65,7.16,1.67,1.28,81.30,1.00,SELL,16857.95
2021-12-16,3.08,3.1451,2.96,3.04,3.28,3.33,45.87,-0.08,SELL,16857.95
2022-02-21,3.18,3.18,3.18,3.18,2.88,2.87,54.13,0.17,BUY,16857.95
2022-03-16,2.49,2.6,2.4,2.59,2.74,2.79,46.39,-0.15,SELL,13730.36
2022-05-09,1.82,1.855,1.65,1.66,2.07,2.37,25.05,-0.15,BUY,13730.36
2022-05-10,1.69,1.69,1.52,1.59,2.04,2.35,23.40,-0.17,BUY,13151.39
2022-05-11,1.51,1.555,1.34,1.35,1.99,2.32,18.80,-0.21,BUY,11166.35
2022-06-10,1.32,1.33,1.21,1.27,1.42,1.79,29.99,-0.13,BUY,10504.67
2022-06-13,1.16,1.19,1.14,1.17,1.40,1.77,26.03,-0.14,BUY,9677.57
2022-06-14,1.16,1.2,1.12,1.13,1.38,1.74,24.63,-0.15,BUY,9346.73
2022-06-15,1.12,1.1799,1.11,1.17,1.37,1.72,28.76,-0.15,BUY,9677.57
2022-06-16,1.03,1.1,1.03,1.1,1.35,1.69,26.07,-0.15,BUY,9098.60
2022-07-21,1.41,1.89,1.4,1.76,1.24,1.30,74.55,0.06,SELL,14557.46
2022-07-27,1.44,1.52,1.42,1.52,1.32,1.31,57.53,0.07,BUY,14557.46
2022-09-09,1.41,1.44,1.38,1.4,1.41,1.43,48.81,-0.04,SELL,13408.22
2022-09-14,1.56,1.89,1.53,1.85,1.40,1.46,73.42,0.03,SELL,13408.22
2022-11-07,1.38,1.68,1.27,1.66,1.15,1.27,77.22,0.02,SELL,13408.22
