Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2019-06-27,10.35,10.35,10.08,10.108,9.98,9.98,56.23,0.07,BUY,10000.00
2019-08-05,10.11,10.11,9.8131,9.89,10.39,10.17,27.18,-0.01,BUY,9784.40
2019-08-16,9.9,10.05,9.9,10.02,10.22,10.23,43.80,-0.09,SELL,9912.97
2019-09-20,10.47,10.4814,10.4,10.41,10.26,10.24,59.13,0.08,BUY,9912.97
2019-11-26,10.93,10.96,10.91,10.96,10.77,10.50,73.91,0.12,SELL,10436.57
2019-11-27,10.97,11.01,10.96,11.01,10.79,10.51,76.15,0.12,SELL,10436.57
2019-11-28,11.01,11.01,11.01,11.01,10.81,10.52,76.15,0.13,SELL,10436.57
2019-12-16,11.11,11.15,11.0957,11.15,10.93,10.69,71.68,0.09,SELL,10436.57
2020-01-09,11.4,11.41,11.37,11.41,11.23,11.00,72.18,0.10,SELL,10436.57
2020-01-13,11.37,11.48,11.37,11.48,11.27,11.03,71.07,0.11,SELL,10436.57
2020-01-16,11.52,11.56,11.5001,11.56,11.32,11.08,72.90,0.12,SELL,10436.57
2020-01-17,11.6,11.6,11.53,11.5736,11.33,11.09,73.45,0.13,SELL,10436.57
2020-02-25,11.41,11.41,10.96,10.999,11.65,11.48,28.62,0.02,BUY,10436.57
2020-02-26,11.04,11.19,10.9556,10.9852,11.63,11.47,28.33,-0.04,BUY,10423.49
2020-02-27,10.67,10.86,10.46,10.46,11.58,11.46,20.14,-0.12,BUY,9925.60
2020-02-28,10.16,10.39,10.09,10.39,11.53,11.44,19.34,-0.18,BUY,9859.24
2020-03-05,10.78,10.82,10.59,10.64,11.37,11.40,37.59,-0.23,SELL,10096.24
2020-03-12,9.1,9.82,8.69,8.77,10.85,11.25,22.79,-0.52,BUY,10096.24
2020-04-29,10.4,10.55,10.395,10.55,9.86,9.80,62.73,0.19,BUY,12145.02
2020-08-26,12.54,12.735,12.515,12.66,12.17,11.72,78.79,0.22,SELL,14573.63
2020-08-27,12.72,12.75,12.61,12.7,12.22,11.75,79.60,0.24,SELL,14573.63
2020-08-28,12.79,12.79,12.71,12.78,12.26,11.78,81.15,0.25,SELL,14573.63
2020-09-02,12.96,13.11,12.93,13.11,12.41,11.89,86.33,0.30,SELL,14573.63
2020-10-02,12.22,12.4834,12.1,12.35,12.25,12.26,52.16,0.01,SELL,14573.63
2020-10-12,13.0,13.05,12.91,13.0,12.37,12.37,65.39,0.13,BUY,14573.63
2021-03-19,14.34,14.34,14.15,14.29,14.21,14.21,51.25,0.05,SELL,16019.72
2021-03-26,14.34,14.47,14.26,14.47,14.25,14.24,56.87,0.04,BUY,16019.72
2021-07-02,15.97,16.05,15.945,16.04,15.63,15.36,73.72,0.17,SELL,17757.71
2021-10-01,16.03,16.1593,15.8553,16.1098,16.48,16.49,38.84,-0.11,SELL,17757.71
2021-10-29,17.07,17.21,17.05,17.21,16.57,16.56,70.55,0.20,BUY,17757.71
2021-12-22,17.18,17.35,17.15,17.35,17.18,17.21,53.33,-0.02,SELL,17902.05
2022-01-03,17.62,17.64,17.46,17.63,17.36,17.34,57.51,0.10,BUY,17902.05
2022-01-05,17.5,17.51,17.1,17.11,17.35,17.36,43.73,0.06,SELL,17374.25
2022-01-21,16.16,16.23,15.84,15.86,17.07,17.21,23.49,-0.27,BUY,17374.25
2022-04-04,16.48,16.65,16.44,16.65,15.91,15.85,61.25,0.25,BUY,18239.30
2022-05-02,14.7,14.84,14.48,14.81,15.63,15.71,37.11,-0.30,SELL,16224.50
2022-08-03,14.53,14.72,14.5,14.66,13.84,13.80,67.03,0.24,BUY,16224.50
2022-09-16,13.79,13.81,13.6626,13.79,14.20,14.25,40.24,-0.11,SELL,15262.28
2022-09-23,13.16,13.16,12.88,13.03,13.92,14.26,29.46,-0.26,BUY,15262.28
2022-09-26,12.98,13.13,12.88,12.91,13.85,14.25,28.01,-0.30,BUY,15121.76
2022-11-11,13.96,14.135,13.89,14.11,13.45,13.44,61.60,0.10,BUY,16526.96
2022-12-28,13.22,13.28,13.04,13.06,13.70,13.73,34.86,-0.17,SELL,15297.41
2023-01-30,14.19,14.23,14.06,14.08,13.76,13.76,58.51,0.16,BUY,15297.41
2023-03-15,13.51,13.62,13.425,13.61,14.00,14.02,39.51,-0.14,SELL,14786.99
2023-04-13,14.4,14.56,14.4,14.54,14.18,14.15,63.34,0.13,BUY,14786.99
2023-07-13,15.9,15.9962,15.9,15.98,15.59,15.09,71.34,0.18,SELL,16250.03
2023-07-18,16.01,16.15,15.9904,16.14,15.64,15.20,73.80,0.22,SELL,16250.03
2023-08-25,15.47,15.6099,15.37,15.56,15.76,15.76,44.76,-0.09,SELL,16250.03
2023-11-21,16.12,16.13,16.0603,16.13,15.44,15.43,69.22,0.22,BUY,16250.03
2023-12-12,16.47,16.56,16.42,16.55,16.23,15.63,73.11,0.24,SELL,16672.97
2023-12-13,16.56,16.79,16.53,16.77,16.26,15.67,77.78,0.25,SELL,16672.97
2023-12-14,16.85,16.92,16.78,16.87,16.31,15.70,79.52,0.27,SELL,16672.97
2023-12-15,16.85,16.91,16.835,16.89,16.35,15.74,79.86,0.29,SELL,16672.97
2023-12-18,16.95,17.015,16.94,16.98,16.40,15.77,81.36,0.30,SELL,16672.97
2023-12-19,17.02,17.085,17.0,17.08,16.45,15.80,82.89,0.32,SELL,16672.97
2024-03-01,18.07,18.235,18.07,18.22,17.78,17.32,70.13,0.23,SELL,16672.97
2024-04-29,18.21,18.2662,18.14,18.25,18.16,18.17,54.37,-0.06,SELL,16672.97
2024-05-17,18.92,18.95,18.83,18.91,18.35,18.31,67.06,0.19,BUY,16672.97
2024-06-05,19.28,19.5,19.25,19.5,18.94,18.51,71.02,0.24,SELL,17192.76
2024-06-06,19.56,19.5899,19.41,19.5,18.99,18.53,71.02,0.25,SELL,17192.76
2024-06-12,19.79,19.8899,19.735,19.79,19.19,18.61,75.72,0.30,SELL,17192.76
2024-07-09,20.41,20.465,20.37,20.41,19.98,19.26,73.74,0.29,SELL,17192.76
2024-07-10,20.49,20.6259,20.44,20.62,20.03,19.31,77.42,0.31,SELL,17192.76
2024-08-05,17.86,18.55,17.82,18.31,19.83,19.74,29.44,-0.24,BUY,17192.76
2024-08-07,18.87,18.93,18.355,18.38,19.63,19.72,32.59,-0.34,SELL,17258.42
2024-09-05,19.58,19.79,19.53,19.6,19.87,19.83,45.69,0.07,BUY,17258.42
2024-10-02,102.3,102.95,101.97,102.84,24.40,21.53,98.97,6.79,SELL,90509.62
2024-10-03,102.78,103.3112,102.58,102.99,28.57,23.20,98.98,11.85,SELL,90509.62
2024-10-04,103.93,104.33,103.241,104.33,32.83,24.90,98.99,15.79,SELL,90509.62
2024-10-22,107.36,107.9601,107.311,107.83,84.57,45.88,95.61,20.56,SELL,90509.62
2024-10-29,107.08,107.8498,106.9243,107.63,106.15,54.60,92.19,15.82,SELL,90509.62
2024-10-30,107.31,107.75,107.0,107.22,106.37,56.34,90.67,14.91,SELL,90509.62
2024-10-31,106.36,106.36,104.6,104.67,106.46,58.02,81.64,13.82,SELL,90509.62
2024-11-01,105.7,106.52,105.59,105.64,106.52,59.73,82.36,12.89,SELL,90509.62
2024-11-04,105.78,105.96,105.16,105.37,106.61,61.43,81.40,11.99,SELL,90509.62
2024-11-05,105.71,106.97,105.71,106.97,106.71,63.17,82.68,11.28,SELL,90509.62
2024-11-06,109.28,110.435,109.0425,110.34,106.94,64.97,85.03,10.86,SELL,90509.62
2024-11-07,110.8,111.71,110.8,111.65,107.24,66.79,85.83,10.51,SELL,90509.62
2024-11-08,111.71,112.12,111.58,111.96,107.51,68.63,86.02,10.15,SELL,90509.62
2024-11-11,112.4,112.4,111.56,111.89,107.73,70.47,85.74,9.74,SELL,90509.62
