Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-12-22,2.29,2.36,2.06,2.07,2.27,2.26,42.83,-0.15,BUY,10000.00
2023-01-11,1.84,1.9117,1.8,1.81,2.00,2.02,42.65,-0.19,SELL,8744.20
2023-08-18,0.7999,0.8,0.75,0.7525,0.86,0.99,28.42,-0.06,BUY,8744.20
2023-09-22,0.66,0.66,0.5708,0.6,0.70,0.80,29.89,-0.05,BUY,6972.15
2023-10-03,0.5936,0.5936,0.49,0.51,0.64,0.74,28.40,-0.06,BUY,5926.35
2024-03-20,0.45,0.45,0.4223,0.4399,0.41,0.41,57.65,0.01,BUY,5111.79
2024-04-29,0.39,0.4001,0.3842,0.3923,0.41,0.41,44.26,-0.01,SELL,4558.68
2024-05-28,0.4064,0.445,0.4001,0.4438,0.42,0.42,58.92,0.00,BUY,4558.68
2024-05-29,0.44,0.54,0.425,0.52,0.42,0.42,72.65,0.01,SELL,5341.33
2024-05-30,0.4846,0.56,0.4601,0.531,0.43,0.42,74.00,0.02,SELL,5341.33
2024-05-31,0.5355,0.5888,0.4999,0.531,0.43,0.42,74.00,0.02,SELL,5341.33
2024-07-02,0.399,0.399,0.3706,0.39,0.42,0.43,42.81,-0.02,SELL,5341.33
2024-08-13,2.2,2.25,1.84,2.0,0.48,0.44,91.60,0.11,BUY,5341.33
2024-08-14,1.92,1.9699,1.85,1.96,0.55,0.47,89.61,0.21,SELL,5234.53
2024-08-15,1.92,2.4193,1.9,2.09,0.63,0.50,90.34,0.29,SELL,5234.53
2024-10-07,1.19,1.28,1.13,1.15,1.41,1.42,36.99,-0.11,SELL,5234.53
2024-11-14,1.08,1.108,1.01,1.07,1.36,1.35,38.37,-0.06,BUY,5234.53
2024-11-19,0.91,0.935,0.8338,0.891,1.31,1.32,32.45,-0.11,SELL,4358.86
2024-12-13,0.71,0.74,0.68,0.6847,0.83,1.10,27.23,-0.12,BUY,4358.86
2024-12-16,0.68,0.715,0.655,0.68,0.81,1.09,26.98,-0.12,BUY,4328.94
2024-12-17,0.685,0.7006,0.61,0.6151,0.79,1.08,23.70,-0.13,BUY,3915.78
2024-12-18,0.62,0.65,0.61,0.6108,0.78,1.07,23.50,-0.13,BUY,3888.41
2025-01-23,0.99,0.99,0.9112,0.92,0.85,0.85,55.32,0.02,BUY,5856.78
2025-02-14,0.68,0.708,0.68,0.6997,0.77,0.78,42.20,-0.04,SELL,4454.35
2025-03-07,0.58,0.5878,0.4223,0.4847,0.62,0.74,27.67,-0.06,BUY,4454.35
2025-03-10,0.49,0.49,0.4001,0.4415,0.61,0.74,24.68,-0.07,BUY,4057.38
2025-03-11,0.426,0.44,0.3813,0.4201,0.59,0.73,23.33,-0.07,BUY,3860.74
2025-04-15,0.3,0.3,0.23,0.26,0.39,0.51,27.48,-0.05,BUY,2389.42
2025-04-16,0.256,0.3,0.2451,0.256,0.38,0.50,27.18,-0.05,BUY,2352.66
2025-04-17,0.25,0.2582,0.23,0.2535,0.37,0.49,26.98,-0.06,BUY,2329.68
2025-05-13,0.225,0.2254,0.205,0.2081,0.27,0.36,28.89,-0.04,BUY,1912.46
2025-05-28,0.166,0.177,0.166,0.17,0.22,0.30,26.86,-0.04,BUY,1562.32
2025-06-17,3.27,3.74,3.06,3.45,0.50,0.37,96.17,0.43,SELL,31705.52
2025-06-18,3.43,3.7,3.3075,3.6,0.67,0.43,96.35,0.60,SELL,31705.52
2025-07-09,4.38,4.38,4.09,4.16,3.20,1.41,75.69,0.86,SELL,31705.52
2025-07-15,3.92,4.7,3.92,4.7,3.85,1.72,75.70,0.76,SELL,31705.52
2025-08-21,3.355,3.49,3.3091,3.38,3.54,3.57,47.21,-0.05,SELL,31705.52
