Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2017-09-14,0.59,0.61,0.555,0.57,0.52,0.51,55.30,0.02,BUY,10000.00
2017-10-06,2.33,3.0,2.06,2.44,0.66,0.54,91.14,0.15,SELL,42805.41
2017-10-09,2.37,2.6,2.225,2.5,0.75,0.58,91.38,0.27,SELL,42805.41
2017-10-10,2.5,2.5,2.25,2.38,0.85,0.62,86.31,0.35,SELL,42805.41
2017-12-04,1.39,1.5,1.39,1.43,1.69,1.72,37.70,-0.11,SELL,42805.41
2018-01-04,1.85,1.96,1.85,1.91,1.74,1.73,63.46,0.06,BUY,42805.41
2018-01-19,1.99,2.29,1.95,2.12,1.85,1.71,74.15,0.08,SELL,47511.72
2018-02-16,1.79,1.8,1.62,1.62,1.76,1.78,42.16,-0.05,SELL,47511.72
2018-03-20,1.84,2.0,1.84,1.9,1.81,1.80,58.33,0.03,BUY,47511.72
2018-04-25,1.82,1.85,1.665,1.71,1.80,1.80,37.82,-0.02,SELL,42760.58
2018-05-30,2.08,2.19,2.075,2.1,1.83,1.81,66.91,0.10,BUY,42760.58
2018-06-15,2.13,2.39,2.13,2.33,2.07,1.87,72.70,0.09,SELL,47443.84
2018-06-22,3.44,3.6,2.72,3.1,2.17,1.93,80.66,0.17,SELL,47443.84
2018-08-20,2.46,2.46,2.33,2.38,2.57,2.59,42.59,-0.04,SELL,47443.84
2018-11-16,2.0,2.19,1.96,2.1,2.07,2.06,51.54,0.01,BUY,47443.84
2018-12-04,1.9,1.93,1.66,1.89,2.05,2.05,42.78,-0.04,SELL,42699.52
2019-03-15,2.91,5.07,2.5,2.68,1.61,1.68,77.93,0.03,SELL,42699.52
2019-03-18,2.25,3.19,2.15,2.58,1.66,1.69,73.93,0.10,SELL,42699.52
2019-03-20,2.15,2.2,2.03,2.05,1.71,1.71,56.77,0.13,BUY,42699.52
2019-05-14,1.98,2.03,1.85,1.9501,2.01,2.01,45.18,-0.01,SELL,40618.70
2019-05-29,2.4,2.65,2.2914,2.55,2.08,2.09,73.97,0.08,SELL,40618.70
2019-05-31,2.9,2.9795,2.8,2.95,2.17,2.11,81.98,0.17,SELL,40618.70
2019-08-01,2.29,2.35,2.05,2.08,2.65,2.67,32.58,-0.12,SELL,40618.70
2019-12-09,1.6,1.8,1.6,1.77,1.55,1.55,63.75,0.03,BUY,40618.70
2019-12-10,1.8,2.0987,1.77,1.96,1.58,1.56,71.05,0.05,SELL,44978.82
2019-12-24,2.35,2.9,2.35,2.79,1.80,1.62,79.24,0.17,SELL,44978.82
2019-12-25,2.79,2.79,2.79,2.79,1.87,1.64,79.24,0.22,SELL,44978.82
2019-12-26,2.94,4.11,2.82,2.95,1.94,1.67,81.17,0.27,SELL,44978.82
2020-01-22,3.4,3.95,3.4,3.83,2.96,2.24,75.83,0.30,SELL,44978.82
2020-01-23,3.85,3.95,3.4,3.85,3.00,2.28,76.06,0.34,SELL,44978.82
2020-03-02,2.75,2.81,2.66,2.77,3.05,3.06,42.13,-0.06,SELL,44978.82
2020-03-16,1.9,1.9,1.41,1.77,2.85,3.03,26.28,-0.23,BUY,44978.82
2020-04-22,2.8,2.95,2.71,2.76,2.67,2.64,52.73,0.12,BUY,70135.71
2020-05-05,3.37,3.9599,3.3141,3.65,3.02,2.63,71.95,0.18,SELL,92751.50
2020-05-20,3.85,4.36,3.83,4.12,3.29,2.76,74.59,0.24,SELL,92751.50
2020-05-21,4.21,4.39,4.1,4.23,3.36,2.80,76.06,0.28,SELL,92751.50
2020-06-09,1.72,2.34,1.55,2.1,3.55,3.20,27.01,-0.08,BUY,92751.50
2020-06-10,1.95,2.08,1.9,1.97,3.48,3.19,25.78,-0.17,BUY,87009.79
2020-06-17,2.1,2.1,1.91,1.98,3.07,3.14,31.32,-0.39,SELL,87451.46
2020-09-02,2.1,2.1,2.03,2.09,1.93,1.93,57.58,0.04,BUY,87451.46
2020-09-30,2.04,3.0,2.0,2.51,2.01,1.94,70.15,0.03,SELL,105025.10
2020-10-27,1.78,1.78,1.73,1.73,1.98,1.99,36.29,-0.06,SELL,105025.10
2020-11-26,1.94,1.94,1.94,1.94,1.94,1.94,49.76,0.01,BUY,105025.10
2021-01-08,2.17,2.25,2.16,2.24,1.97,1.95,73.51,0.06,SELL,121265.90
2021-02-04,2.16,2.74,2.08,2.74,2.14,2.01,76.77,0.07,SELL,121265.90
2021-02-05,2.65,2.74,2.43,2.7,2.16,2.03,74.27,0.10,SELL,121265.90
2021-02-08,2.71,3.34,2.7,3.3,2.21,2.06,83.13,0.18,SELL,121265.90
2021-03-08,1.63,1.7,1.35,1.38,2.72,2.38,26.11,-0.05,BUY,121265.90
2021-03-09,1.42,1.47,1.36,1.4,2.64,2.37,26.72,-0.13,BUY,123023.36
2021-03-16,1.69,1.78,1.59,1.64,2.29,2.33,35.37,-0.27,SELL,144112.88
2021-06-23,1.07,1.11,1.06,1.1,1.11,1.11,49.45,-0.01,BUY,144112.88
2021-07-16,1.0,1.0,0.94,0.94,1.07,1.07,32.24,-0.04,SELL,123151.12
2021-09-30,0.92,0.94,0.91,0.9245,0.91,0.91,52.61,0.01,BUY,123151.12
2021-10-15,0.8358,0.8429,0.82,0.8313,0.88,0.89,40.04,-0.02,SELL,110736.14
2021-11-22,0.71,0.7448,0.67,0.6766,0.77,0.83,28.44,-0.03,BUY,110736.14
2021-11-23,0.69,0.7,0.66,0.6682,0.76,0.82,27.47,-0.03,BUY,109361.35
2021-12-28,0.513,0.5194,0.4805,0.4827,0.56,0.67,24.14,-0.05,BUY,79001.49
2021-12-29,0.47,0.4888,0.4464,0.4601,0.55,0.67,21.76,-0.05,BUY,75302.66
2021-12-31,0.45,0.473,0.4011,0.41,0.54,0.65,19.56,-0.06,BUY,67103.05
2022-01-21,0.4,0.4199,0.36,0.373,0.44,0.55,24.40,-0.04,BUY,61047.44
2022-01-24,0.365,0.3679,0.2722,0.3093,0.43,0.54,18.08,-0.05,BUY,50621.92
2022-01-25,0.3,0.3498,0.3,0.3409,0.42,0.53,28.03,-0.05,BUY,55793.76
2022-01-26,0.35,0.368,0.33,0.3303,0.41,0.52,26.86,-0.05,BUY,54058.91
2022-03-29,0.2074,0.2288,0.2,0.222,0.30,0.33,28.14,-0.02,BUY,36333.88
2022-03-30,0.226,0.2286,0.2167,0.2177,0.29,0.33,27.54,-0.02,BUY,35630.11
2022-05-06,0.1754,0.1822,0.17,0.17,0.20,0.25,29.88,-0.02,BUY,27823.25
2022-05-09,0.17,0.1739,0.1526,0.1527,0.20,0.24,25.76,-0.02,BUY,24991.82
2022-05-10,0.1559,0.1683,0.15,0.1519,0.20,0.24,25.58,-0.02,BUY,24860.89
2022-05-11,0.1519,0.167,0.1407,0.1425,0.19,0.24,23.54,-0.02,BUY,23322.43
2022-07-06,0.196,0.198,0.1805,0.1943,0.17,0.17,58.39,0.00,BUY,31800.33
2022-08-11,0.188,0.2046,0.18,0.195,0.18,0.18,58.17,-0.00,SELL,31914.90
2022-08-26,1.95,2.11,1.88,1.92,0.26,0.21,97.64,0.14,BUY,31914.90
2022-08-29,1.91,2.3,1.9,2.11,0.36,0.25,97.88,0.26,SELL,35073.08
2022-08-30,2.06,2.22,2.0,2.17,0.46,0.29,97.95,0.36,SELL,35073.08
2022-09-15,2.15,2.3,2.1101,2.15,1.63,0.76,77.09,0.47,SELL,35073.08
2022-10-24,1.4,1.46,1.31,1.32,1.53,1.54,36.69,-0.07,SELL,35073.08
2022-12-19,1.11,2.42,1.08,1.85,1.03,1.11,80.44,0.01,SELL,35073.08
2022-12-26,1.49,1.49,1.49,1.49,1.13,1.13,62.57,0.11,BUY,35073.08
2023-01-31,2.73,2.94,2.6801,2.91,2.42,1.74,70.77,0.27,SELL,68497.04
2023-03-01,2.05,2.42,1.98,2.41,2.15,2.18,59.92,-0.06,SELL,68497.04
2023-04-10,2.48,2.515,2.34,2.45,2.24,2.22,60.86,0.07,BUY,68497.04
2023-04-11,2.38,2.74,2.3799,2.73,2.27,2.22,70.20,0.10,SELL,76325.00
2023-04-12,2.73,3.0385,2.73,2.92,2.31,2.22,74.63,0.13,SELL,76325.00
2023-04-13,2.97,3.5,2.94,3.5,2.38,2.24,82.95,0.20,SELL,76325.00
2023-04-17,3.27,3.5999,3.0,3.55,2.51,2.26,75.63,0.29,SELL,76325.00
2023-05-08,3.84,4.3331,3.8001,4.2,3.57,2.77,71.21,0.33,SELL,76325.00
2023-05-09,4.24,4.5,4.2,4.32,3.65,2.81,72.82,0.36,SELL,76325.00
