Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-11-01,2.44,2.64,2.08,2.11,8.61,9.12,22.75,-1.29,BUY,10000.00
2024-11-18,22.6,30.5109,22.46,25.52,5.32,7.55,82.28,-0.16,SELL,120939.99
2024-11-19,38.75,44.06,35.31,41.4,6.93,8.22,88.46,2.68,SELL,120939.99
2024-11-22,47.74,58.2798,46.77,54.55,12.21,10.33,83.20,8.66,SELL,120939.99
2024-11-25,63.61,74.56,62.6,71.77,15.31,11.58,87.05,11.76,SELL,120939.99
2025-01-21,39.81,45.11,39.2567,42.52,43.15,43.81,48.31,-2.00,SELL,120939.99
2025-02-10,54.74,68.02,53.0,67.5,39.60,49.24,70.31,1.14,SELL,120939.99
2025-02-14,66.57,82.39,66.56,81.69,44.70,49.50,71.02,6.26,SELL,120939.99
2025-02-18,92.6,109.8979,92.3475,108.5,48.20,50.21,78.29,10.10,SELL,120939.99
2025-03-21,43.57,51.3482,43.01,50.17,52.39,52.97,48.42,-3.97,SELL,120939.99
2025-05-27,38.02,41.065,37.0583,38.38,33.71,33.33,54.05,1.90,BUY,120939.99
2025-07-28,61.51,70.5799,60.3818,70.55,52.37,44.98,73.08,4.50,SELL,222307.66
2025-07-30,69.36,75.4,68.36,71.86,54.57,46.03,70.96,5.85,SELL,222307.66
2025-08-22,30.9,34.51,30.828,34.24,47.11,47.60,37.25,-5.27,SELL,222307.66
