Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-09-10,39.39,39.54,38.0,39.5,41.83,41.75,45.57,-0.36,BUY,10000.00
2025-01-07,50.13,50.2517,46.64,47.27,50.38,50.43,42.46,-0.99,SELL,11965.81
2025-02-12,48.83,50.638,48.6113,50.2,50.50,50.49,50.22,0.25,BUY,11965.81
2025-03-04,41.74,43.4,39.55,40.88,48.97,48.98,31.45,-1.79,SELL,9747.65
2025-04-04,26.36,26.71,22.33,22.38,35.37,43.28,23.17,-3.51,BUY,9747.65
2025-04-07,19.42,25.53,18.15,22.23,34.68,42.67,23.04,-4.16,BUY,9682.40
2025-04-08,25.16,25.68,19.41,20.76,33.97,42.09,21.81,-4.74,BUY,9042.95
2025-05-20,37.84,38.09,36.95,37.73,32.47,31.85,65.68,1.99,BUY,16424.90
2025-06-30,43.105,43.5816,42.47,43.21,39.15,35.58,70.74,1.63,SELL,18808.70
2025-07-03,44.33,45.3694,44.33,45.07,40.10,36.65,74.88,2.04,SELL,18808.70
2025-07-23,46.26,47.1,45.725,47.04,44.15,40.16,71.76,1.80,SELL,18808.70
2025-07-24,47.1,47.55,46.951,47.06,44.48,40.37,71.82,1.84,SELL,18808.70
2025-07-25,47.12,47.89,47.09,47.83,44.78,40.58,74.12,1.91,SELL,18808.70
2025-07-28,47.86,47.985,47.2861,47.71,45.05,40.78,73.12,1.94,SELL,18808.70
