Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-12-19,15.6098,15.6098,15.4702,15.5192,17.09,18.58,29.46,-0.75,BUY,10000.00
2023-01-23,19.35,20.085,19.35,19.99,17.01,16.98,71.39,0.77,BUY,12879.20
2023-02-02,21.5499,22.35,21.5499,21.97,18.92,17.36,74.29,1.04,SELL,14154.32
2023-03-16,18.095,18.53,18.095,18.5206,18.95,19.11,47.74,-0.42,SELL,14154.32
2023-04-13,21.15,22.0,21.15,21.8515,19.64,19.54,67.84,0.51,BUY,14154.32
2023-05-23,20.2081,20.23,19.6338,19.6338,19.77,19.79,48.67,-0.08,SELL,12719.46
2023-06-21,21.49,21.77,21.35,21.47,20.11,20.08,66.43,0.26,BUY,12719.46
2023-07-03,22.41,23.6,22.41,23.5037,20.89,20.23,74.69,0.69,SELL,13923.41
2023-07-13,25.75,27.78,25.744,27.7306,22.62,20.93,85.49,1.50,SELL,13923.41
2023-08-24,21.36,21.36,20.9044,20.9044,23.74,23.87,29.63,-0.97,SELL,13923.41
2023-09-21,19.86,19.86,19.6582,19.753,21.31,23.48,29.55,-0.71,BUY,13923.41
2023-09-22,19.82,19.82,19.34,19.3589,21.23,23.31,27.24,-0.78,BUY,13645.97
2023-11-10,21.42,21.42,21.225,21.3927,20.31,20.22,59.61,0.38,BUY,15077.76
2023-11-28,23.35,24.15,23.27,24.15,21.73,20.41,72.18,0.78,SELL,17018.90
2023-11-29,24.32,24.56,24.08,24.3153,21.95,20.49,72.95,0.88,SELL,17018.90
2023-12-01,24.01,25.7113,23.93,25.7113,22.35,20.68,75.81,1.07,SELL,17018.90
2023-12-04,27.0,27.3345,26.2,26.7972,22.61,20.83,79.14,1.27,SELL,17018.90
2023-12-05,26.76,27.83,26.72,27.1868,22.90,20.98,80.19,1.44,SELL,17018.90
2023-12-27,33.56,35.38,33.12,35.245,28.79,24.15,84.49,2.70,SELL,17018.90
2024-01-31,26.59,27.1901,26.352,26.352,27.67,27.71,43.94,-0.65,SELL,17018.90
2024-02-12,31.07,33.3089,31.07,33.07,26.90,28.54,70.98,0.44,SELL,17018.90
2024-02-14,34.37,34.85,33.41,34.7841,27.61,28.88,71.63,1.11,SELL,17018.90
2024-02-22,32.52,33.5982,32.33,33.34,29.58,29.49,61.62,1.59,BUY,17018.90
2024-04-23,34.99,36.5799,34.99,36.18,36.18,36.19,52.48,-0.68,SELL,18467.30
2024-06-03,37.76,37.99,36.855,37.1,36.04,35.93,54.67,0.52,BUY,18467.30
2024-07-16,41.23,42.73,40.82,42.6076,37.91,37.15,70.04,0.66,SELL,21204.58
2024-08-09,33.22,33.22,32.6761,32.94,37.39,37.53,39.17,-1.57,SELL,21204.58
2024-10-07,35.56,35.96,34.54,35.0,33.78,33.61,55.09,0.40,BUY,21204.58
2024-10-18,38.7,40.3582,38.7,40.1814,35.67,33.99,70.24,1.28,SELL,24339.33
2024-10-21,39.84,40.61,38.81,40.61,36.01,34.15,71.31,1.48,SELL,24339.33
2024-11-11,50.56,53.62,49.93,53.13,41.28,36.63,78.34,2.84,SELL,24339.33
2024-11-12,51.82,53.5,51.0599,53.3,42.08,37.07,78.51,3.41,SELL,24339.33
2025-01-13,45.01,45.6,44.11,45.58,49.22,49.29,42.97,-0.83,SELL,24339.33
2025-02-25,40.86,41.17,38.05,38.94,47.16,48.63,26.67,-1.45,BUY,24339.33
2025-02-26,38.92,40.18,38.87,39.33,46.83,48.33,28.25,-1.85,BUY,24583.08
2025-05-09,40.06,41.29,39.36,40.08,35.69,35.54,63.43,1.10,BUY,25051.83
2025-07-02,50.88,53.92,50.88,53.92,46.15,43.14,76.28,2.10,SELL,33701.83
2025-07-03,54.37,56.03,54.3071,55.08,46.74,43.51,77.93,2.51,SELL,33701.83
