Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-07-15,20.33,20.8,18.93,20.8,20.17,20.16,50.10,0.15,BUY,10000.00
2022-09-05,16.42,16.42,16.42,16.42,21.33,21.66,35.17,-1.75,SELL,7897.60
2022-12-02,60.11,64.55,59.41,64.23,17.15,14.75,92.36,6.96,SELL,7897.60
2023-02-02,78.32,85.3893,77.3,81.84,58.09,48.92,75.26,7.60,SELL,7897.60
2023-03-17,61.04,62.02,58.13,59.95,61.30,62.01,48.43,-1.37,SELL,7897.60
2023-05-30,61.28,63.63,59.5,60.47,56.87,56.63,56.22,1.11,BUY,7897.60
2023-07-13,86.28,92.61,85.33,92.21,74.70,66.80,76.03,4.67,SELL,12023.80
2023-08-17,62.1,62.1,58.96,59.07,76.61,76.75,29.98,-4.74,SELL,12023.80
2023-09-22,57.13,57.56,53.98,54.07,65.79,72.14,28.23,-3.04,BUY,12023.80
2023-11-22,67.66,68.16,65.2101,67.24,55.23,54.69,64.17,3.92,BUY,14947.54
2023-12-14,89.5,93.29,89.0,91.88,75.46,61.06,76.48,7.17,SELL,20417.62
2023-12-19,89.98,96.33,89.67,95.52,79.26,63.25,74.77,7.79,SELL,20417.62
2024-01-26,70.72,72.704,69.5,69.73,77.85,78.66,38.81,-3.08,SELL,20417.62
2024-03-05,79.5,81.3,75.81,76.9,79.66,79.15,47.48,1.49,BUY,20417.62
2024-04-08,72.33,73.52,71.91,73.24,77.31,77.54,42.88,-1.76,SELL,19447.72
2024-04-16,60.29,61.25,58.62,60.1,74.18,77.19,29.32,-3.58,BUY,19447.72
2024-07-15,68.8,70.45,67.18,69.2,61.19,61.12,71.58,1.68,BUY,22387.02
2024-07-16,70.87,74.2,69.02,74.07,61.94,61.34,78.11,2.37,SELL,23960.03
2024-08-05,40.46,48.5599,40.0,46.69,63.32,60.99,28.93,-2.44,BUY,23960.03
2024-08-12,50.74,50.88,49.06,49.54,59.18,60.01,37.22,-3.90,SELL,25422.08
2024-09-25,65.02,65.22,63.2,63.5,58.75,58.52,57.82,1.87,BUY,25422.08
2024-11-07,77.0951,78.8,77.0951,78.44,65.22,62.15,70.60,2.40,SELL,31398.08
2024-11-08,76.87,82.26,76.87,81.87,66.20,62.63,73.41,3.36,SELL,31398.08
2024-11-11,87.74,94.96,87.57,93.6,67.67,63.32,80.33,5.01,SELL,31398.08
2024-12-12,52.08,52.926,50.75,51.01,65.84,66.84,38.32,-6.26,SELL,31398.08
2025-02-10,52.87,53.5099,52.02,52.2,50.18,50.17,52.38,0.54,BUY,31398.08
2025-03-05,37.31,39.0,36.0,38.8,48.20,48.32,35.75,-3.66,SELL,23344.68
2025-04-04,23.2,23.77,20.135,21.68,30.63,41.21,29.35,-3.90,BUY,23344.68
2025-04-08,24.52,24.53,19.57,20.37,29.80,40.04,28.64,-4.49,BUY,21935.12
2025-05-14,39.42,40.19,38.17,38.92,30.21,29.94,67.67,1.68,BUY,41894.92
2025-06-11,46.38,47.64,45.87,46.41,39.27,32.75,70.83,2.93,SELL,49954.16
2025-07-16,60.87,64.69,60.86,64.18,56.87,46.21,70.31,4.53,SELL,49954.16
2025-07-17,64.68,66.49,64.25,65.9,57.61,46.95,72.22,4.75,SELL,49954.16
2025-07-18,67.74,70.21,67.095,68.32,58.47,47.69,74.70,5.07,SELL,49954.16
