Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2016-09-08,15.35,16.26,15.35,15.97,14.97,14.86,73.79,0.20,SELL,10000.00
2016-09-09,15.82,16.55,15.79,16.07,15.04,14.91,74.99,0.25,SELL,10000.00
2016-09-12,15.93,16.87,15.86,16.83,15.14,14.97,81.82,0.36,SELL,10000.00
2016-11-04,15.14,15.61,14.98,15.06,16.01,16.05,35.87,-0.24,SELL,10000.00
2016-11-30,16.82,17.08,16.58,16.65,16.30,16.27,54.18,0.23,BUY,10000.00
2016-12-22,15.79,16.02,15.67,15.73,16.11,16.14,44.57,-0.13,SELL,9448.00
2017-01-12,14.81,14.89,13.83,14.09,15.59,15.98,27.14,-0.29,BUY,9448.00
2017-02-13,16.9,16.9,16.46,16.5,15.65,15.63,60.82,0.37,BUY,11062.70
2017-03-14,14.1,14.27,14.1,14.22,15.39,15.47,27.76,-0.47,SELL,9535.10
2017-04-25,15.6,15.81,15.49,15.7,14.68,14.92,73.14,0.15,SELL,9535.10
2017-04-28,15.85,16.07,15.85,15.89,14.93,14.89,75.69,0.28,BUY,9535.10
2017-05-04,16.3,18.11,15.83,17.97,15.38,14.94,88.46,0.57,SELL,10783.10
2017-05-26,17.36,18.9,17.3,18.83,16.95,15.62,79.02,0.54,SELL,10783.10
2017-05-29,18.83,18.83,18.83,18.83,17.08,15.70,79.02,0.63,SELL,10783.10
2017-05-30,18.92,20.19,18.8,20.05,17.26,15.81,84.38,0.79,SELL,10783.10
2017-05-31,20.0,20.61,19.54,20.34,17.45,15.93,85.34,0.93,SELL,10783.10
2017-06-01,20.35,20.98,20.12,20.97,17.60,16.06,87.19,1.08,SELL,10783.10
2017-06-02,20.8,21.74,20.79,21.66,17.84,16.21,88.84,1.24,SELL,10783.10
2017-06-14,21.21,21.23,20.54,20.93,19.64,17.32,70.49,1.25,SELL,10783.10
2017-06-23,21.32,22.44,20.91,22.3,20.96,18.22,76.90,0.91,SELL,10783.10
2017-06-26,22.44,23.0,21.93,22.62,21.15,18.38,78.55,0.97,SELL,10783.10
2017-06-27,23.23,23.23,22.22,22.63,21.28,18.54,78.60,1.01,SELL,10783.10
2017-06-28,22.72,23.18,22.15,23.16,21.42,18.71,81.17,1.07,SELL,10783.10
2017-07-24,22.53,23.86,22.47,23.74,22.57,20.96,72.17,0.54,SELL,10783.10
2017-07-25,23.68,23.86,23.31,23.72,22.63,21.09,71.78,0.58,SELL,10783.10
2017-07-26,23.77,24.19,23.46,23.68,22.65,21.23,70.97,0.61,SELL,10783.10
2017-07-27,23.78,24.65,23.7,24.64,22.77,21.38,77.56,0.69,SELL,10783.10
2017-08-29,22.77,22.79,22.14,22.5,22.64,22.70,49.04,-0.10,SELL,10783.10
2017-09-26,24.48,25.51,24.03,25.42,22.68,22.82,76.71,0.54,SELL,10783.10
2017-10-18,28.06,28.29,27.96,28.19,26.77,24.12,72.03,1.24,SELL,10783.10
2017-11-03,30.0,32.39,29.1,31.72,28.20,25.55,81.13,0.91,SELL,10783.10
2017-11-06,31.77,33.0,31.63,32.68,28.47,25.75,83.49,1.17,SELL,10783.10
2018-01-11,32.26,35.06,31.96,35.04,30.96,30.55,75.32,0.72,SELL,10783.10
2018-02-22,28.55,29.15,28.3,28.64,31.78,31.93,30.78,-1.22,SELL,10783.10
2018-03-09,32.93,35.81,32.93,35.8,30.46,32.08,72.43,0.31,SELL,10783.10
2018-03-12,35.16,36.83,35.0,36.54,30.73,32.22,74.38,0.67,SELL,10783.10
