Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2012-09-03,1.6,1.6,1.6,1.6,1.62,1.62,46.54,0.01,BUY,10000.00
2012-09-20,1.46,1.5,1.43,1.44,1.60,1.60,38.69,-0.04,SELL,9000.00
2012-11-05,1.28,1.28,1.11,1.14,1.32,1.43,27.76,-0.05,BUY,9000.00
2012-11-07,1.11,1.15,1.11,1.11,1.29,1.41,27.66,-0.07,BUY,8763.18
2012-11-08,1.09,1.09,0.86,0.88,1.27,1.39,18.21,-0.09,BUY,6947.56
2012-11-09,0.75,0.85,0.71,0.78,1.24,1.38,15.70,-0.12,BUY,6158.16
2012-12-06,0.65,0.69,0.6,0.63,0.79,1.10,27.33,-0.12,BUY,4973.91
2013-01-29,0.54,0.55,0.45,0.45,0.65,0.67,28.65,-0.04,BUY,3552.81
2015-06-25,24.62,25.75,24.51,25.4,1.89,1.17,98.65,1.94,BUY,200533.06
2015-06-26,25.49,25.89,24.75,24.85,3.09,1.65,96.41,3.43,SELL,196190.81
2015-06-29,24.01,24.94,23.42,24.37,4.28,2.12,94.39,4.51,SELL,196190.81
2015-07-15,24.94,25.17,24.5,24.75,18.76,7.91,86.76,5.63,SELL,196190.81
2015-07-22,24.9,25.02,24.77,24.89,24.82,10.32,85.45,4.33,SELL,196190.81
2015-07-23,24.87,25.25,24.87,25.25,24.82,10.81,86.08,4.12,SELL,196190.81
2015-07-24,24.99,25.35,24.76,24.85,24.82,11.30,81.79,3.87,SELL,196190.81
2015-07-27,24.51,24.95,24.02,24.39,24.82,11.77,77.03,3.59,SELL,196190.81
2015-07-28,24.51,24.8,24.34,24.6,24.79,12.25,77.67,3.35,SELL,196190.81
2015-07-29,24.35,25.35,24.35,25.18,24.80,12.74,79.38,3.17,SELL,196190.81
2015-07-30,24.94,25.26,24.69,25.11,24.81,13.23,78.60,2.98,SELL,196190.81
2015-07-31,25.04,25.27,24.9,25.1,24.81,13.72,78.48,2.81,SELL,196190.81
2015-08-03,25.02,25.33,24.9,25.27,24.84,14.21,79.06,2.65,SELL,196190.81
2015-08-04,24.8,25.85,24.66,25.74,24.90,14.71,80.61,2.53,SELL,196190.81
2015-08-05,25.7,27.01,25.59,26.65,25.01,15.23,83.21,2.48,SELL,196190.81
2015-08-06,26.75,27.0,26.16,26.57,25.12,15.75,82.16,2.41,SELL,196190.81
