Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-11-30,20.58,21.17,20.5,20.8677,22.50,22.57,42.42,-0.81,SELL,10000.00
2023-12-27,14.56,14.56,14.3,14.4741,19.89,22.31,24.37,-1.22,BUY,10000.00
2023-12-28,14.19,15.17,14.19,15.15,19.63,22.20,28.74,-1.42,BUY,10466.37
2024-01-25,23.95,26.029,23.6,25.54,18.04,19.60,78.32,0.73,SELL,17635.47
2024-01-31,23.59,24.0,22.5701,23.9917,19.76,19.76,65.42,1.34,BUY,17635.47
2024-04-19,33.78,34.7794,32.904,34.55,27.26,25.15,70.25,1.88,SELL,25395.82
2024-04-22,37.62,38.44,35.851,36.9,27.78,25.41,73.74,2.34,SELL,25395.82
2024-05-09,20.96,21.79,20.78,21.63,25.50,25.52,44.36,-1.89,SELL,25395.82
2024-07-01,14.98,14.98,13.1,13.56,18.43,20.66,28.36,-1.53,BUY,25395.82
2024-07-02,12.39,12.56,10.86,10.86,17.97,20.18,22.93,-1.90,BUY,20341.42
2024-07-03,10.52,10.55,9.2501,9.38,17.42,19.63,20.61,-2.28,BUY,17569.38
2024-07-18,8.77,9.04,8.32,8.89,12.05,16.87,28.63,-2.74,BUY,16651.61
2024-08-30,10.98,11.17,10.37,10.4,11.29,11.21,45.93,-0.27,BUY,19479.84
2024-09-12,9.14,9.18,8.5971,8.73,10.10,10.23,40.39,-0.60,SELL,16351.93
2024-10-25,5.54,5.57,4.9901,5.0,7.90,8.71,29.15,-0.35,BUY,16351.93
2024-12-04,2.43,2.5,2.36,2.36,2.82,5.49,29.78,-0.92,BUY,7719.13
2024-12-05,2.33,2.34,2.14,2.21,2.73,5.39,28.49,-0.89,BUY,7228.63
2024-12-06,2.13,2.2,1.98,1.99,2.64,5.29,26.67,-0.87,BUY,6509.23
2024-12-09,1.89,2.09,1.85,1.97,2.58,5.20,26.50,-0.86,BUY,6443.83
2024-12-10,1.95,1.96,1.7735,1.86,2.54,5.11,25.56,-0.84,BUY,6084.13
2024-12-11,1.78,1.8499,1.67,1.68,2.48,5.01,24.05,-0.83,BUY,5495.35
2024-12-12,1.65,1.7162,1.61,1.69,2.42,4.89,24.32,-0.81,BUY,5528.06
2024-12-13,1.67,1.71,1.55,1.55,2.34,4.77,23.09,-0.80,BUY,5070.12
2024-12-16,1.51,1.55,1.36,1.37,2.26,4.66,21.59,-0.80,BUY,4481.34
2024-12-17,1.29,1.39,1.24,1.26,2.19,4.53,20.70,-0.80,BUY,4121.53
2025-01-13,35.96,36.32,32.5,32.51,3.10,3.14,96.95,2.20,SELL,106340.28
2025-02-04,34.89,35.08,32.86,33.13,25.51,11.37,72.21,7.05,SELL,106340.28
2025-02-10,39.82,41.15,38.55,41.09,32.76,14.19,79.91,7.05,SELL,106340.28
2025-02-11,42.44,47.075,41.47,46.25,33.44,15.06,83.45,7.49,SELL,106340.28
2025-02-12,46.1,46.1,41.29,44.0,33.96,15.89,77.07,7.58,SELL,106340.28
2025-02-25,45.8,53.82,45.7632,52.46,38.73,22.23,77.11,6.20,SELL,106340.28
2025-02-26,52.23,57.53,50.3,56.54,39.93,23.33,79.70,6.92,SELL,106340.28
2025-02-27,56.61,60.42,54.29,60.27,41.24,24.50,81.74,7.70,SELL,106340.28
2025-03-10,73.15,89.78,72.7605,88.74,52.26,33.54,83.99,11.33,SELL,106340.28
2025-04-16,47.7,52.89,46.4,50.16,54.62,55.41,47.00,-2.64,SELL,106340.28
2025-07-24,22.73,23.89,22.73,23.33,22.67,22.65,51.97,-0.80,BUY,106340.28
2025-07-28,21.39,21.7393,19.72,20.39,22.58,22.61,43.53,-0.81,SELL,92939.76
