Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-12-11,25.0,25.04,24.09,24.4775,24.34,24.16,52.23,0.36,BUY,10000.00
2024-01-19,18.97,19.43,18.65,19.43,23.84,24.06,29.49,-1.43,SELL,7940.62
2024-01-25,15.27,15.8,13.6,14.01,22.01,23.78,17.56,-2.11,BUY,7940.62
2024-05-20,11.59,11.59,11.04,11.24,11.37,11.28,49.42,-0.02,BUY,6372.80
2024-07-01,14.42,16.05,14.38,15.6,12.13,11.59,72.58,0.74,SELL,8840.56
2024-07-02,16.94,18.79,16.84,18.79,12.51,11.79,80.98,1.14,SELL,8840.56
2024-07-03,19.34,21.52,19.32,21.23,13.02,12.06,84.81,1.63,SELL,8840.56
2024-07-05,21.84,22.14,20.5,22.07,13.57,12.34,85.87,2.07,SELL,8840.56
2024-08-15,13.69,15.0793,13.66,14.89,15.55,15.85,48.13,-1.09,SELL,8840.56
2024-09-25,19.92,20.6189,19.8732,20.6,16.43,16.08,66.47,1.15,BUY,8840.56
2024-11-01,18.6,18.87,17.84,18.15,17.04,17.07,52.24,0.47,SELL,7789.51
2024-11-07,23.99,25.78,23.45,25.31,17.69,17.62,70.27,1.27,BUY,7789.51
2024-11-08,25.72,30.74,25.47,29.37,18.43,17.93,76.13,1.93,SELL,9035.93
2024-11-11,34.1,36.3188,32.17,34.78,19.44,18.33,81.40,2.85,SELL,9035.93
2024-12-06,39.27,41.76,37.99,41.76,32.93,24.08,72.73,3.97,SELL,9035.93
2024-12-09,43.55,45.05,39.32,41.87,33.56,24.50,72.85,4.25,SELL,9035.93
2024-12-10,42.44,46.07,42.13,44.23,34.03,24.96,75.36,4.61,SELL,9035.93
2024-12-11,46.19,49.47,44.53,49.47,34.98,25.53,79.82,5.26,SELL,9035.93
2024-12-13,48.44,52.0,47.29,51.99,37.07,26.78,78.51,6.09,SELL,9035.93
2024-12-16,53.09,58.39,51.97,58.39,38.55,27.56,82.44,6.93,SELL,9035.93
2024-12-17,61.53,63.6,56.93,62.57,40.07,28.45,84.45,7.85,SELL,9035.93
2025-01-31,41.32,45.17,41.32,42.02,42.62,42.78,48.41,-0.59,SELL,9035.93
2025-03-18,12.09,12.28,11.435,11.77,19.34,31.32,28.17,-5.55,BUY,9035.93
2025-05-12,20.92,20.92,19.65,20.48,15.13,15.07,64.78,0.64,BUY,15716.50
2025-05-14,23.59,24.6,22.85,24.26,16.12,15.25,72.09,1.51,SELL,18615.76
2025-06-30,19.19,19.86,18.785,18.91,19.90,19.93,44.99,-0.17,SELL,18615.76
2025-08-14,20.16,20.74,19.5599,20.17,18.91,18.86,55.93,0.35,BUY,18615.76
2025-08-15,20.4,20.57,19.125,19.54,18.89,18.94,52.51,0.34,SELL,18034.90
2025-08-25,20.4,21.68,19.95,21.32,19.09,19.01,59.55,0.37,BUY,18034.90
