Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2012-03-13,3.3238,3.4525,3.3084,3.4513,3.22,3.01,71.06,0.08,SELL,10000.00
2012-03-15,3.4542,3.5009,3.4267,3.4934,3.26,3.05,72.03,0.10,SELL,10000.00
2012-03-16,3.5171,3.5254,3.49,3.5163,3.27,3.07,72.96,0.11,SELL,10000.00
2012-05-01,3.4471,3.5863,3.4363,3.5138,3.37,3.37,57.70,0.02,SELL,10000.00
2012-06-01,2.7159,2.7438,2.6342,2.6342,2.96,3.23,28.68,-0.13,BUY,10000.00
2012-07-05,3.2304,3.2638,3.185,3.2179,3.04,3.03,58.97,0.06,BUY,12215.73
2012-09-07,3.7196,3.7484,3.71,3.7459,3.54,3.35,71.62,0.07,SELL,14220.01
2012-09-13,3.7446,3.955,3.7292,3.9246,3.59,3.39,75.51,0.10,SELL,14220.01
2012-09-14,3.9413,4.0425,3.9338,3.9729,3.61,3.41,77.05,0.12,SELL,14220.01
2012-11-01,3.5742,3.6754,3.5642,3.6625,3.71,3.72,48.34,-0.05,SELL,14220.01
2012-12-18,3.7225,3.8413,3.7084,3.8334,3.57,3.55,67.03,0.06,BUY,14220.01
2013-02-19,4.4667,4.5467,4.4663,4.5375,4.36,4.05,72.72,0.12,SELL,16831.52
2013-06-27,5.2992,5.3675,5.2834,5.3009,5.38,5.41,48.06,-0.09,SELL,16831.52
2013-07-22,6.1459,6.1834,6.105,6.1584,5.64,5.59,69.81,0.19,BUY,16831.52
2013-09-03,5.6692,5.705,5.5167,5.5842,5.79,5.82,41.81,-0.11,SELL,15262.23
2013-09-25,6.2092,6.2417,6.1309,6.1484,6.00,5.99,54.60,0.13,BUY,15262.23
2014-02-05,6.7467,6.8392,6.6225,6.7925,7.51,7.55,34.12,-0.22,SELL,16860.89
2014-03-04,8.2117,8.3659,8.2042,8.3134,7.75,7.70,66.41,0.17,BUY,16860.89
2014-04-30,8.3284,8.47,8.295,8.4567,8.17,8.17,57.49,0.07,SELL,17151.50
2014-05-08,8.3567,8.5367,8.275,8.3592,8.24,8.22,53.15,0.07,BUY,17151.50
2014-07-01,9.6384,9.845,9.6292,9.7584,9.43,8.90,70.42,0.21,SELL,20021.26
2014-07-02,9.7584,9.8217,9.7475,9.7842,9.47,8.93,71.07,0.22,SELL,20021.26
2014-07-03,9.8684,9.9425,9.8534,9.9317,9.50,8.96,74.53,0.23,SELL,20021.26
2014-08-11,9.2534,9.3567,9.2217,9.2367,9.52,9.52,44.95,-0.15,SELL,20021.26
2014-09-02,10.2784,10.285,10.1117,10.2192,9.74,9.70,66.31,0.20,BUY,20021.26
2014-10-10,9.1075,9.2409,8.7967,8.8009,9.78,9.80,34.81,-0.22,SELL,17242.81
2014-11-12,10.63,10.7625,10.62,10.7234,9.85,9.77,68.21,0.36,BUY,17242.81
2015-01-07,10.385,10.575,10.295,10.5192,10.88,10.89,43.25,-0.05,SELL,16914.66
2015-01-09,11.1517,11.1567,10.6875,10.8025,10.93,10.92,48.50,-0.03,BUY,16914.66
2015-01-16,9.955,10.4067,9.9192,10.3634,10.89,10.90,44.36,-0.16,SELL,16227.47
2015-02-16,11.62,11.62,11.62,11.62,10.83,10.80,62.28,0.21,BUY,16227.47
2015-04-02,10.9942,11.2025,10.9542,11.1042,11.23,11.25,46.85,-0.06,SELL,15507.41
2015-04-27,12.07,12.0934,11.7675,11.8,11.51,11.50,55.94,0.13,BUY,15507.41
2015-06-19,12.0134,12.0234,11.8334,11.8367,11.77,11.78,51.69,-0.01,SELL,15555.64
2015-08-05,11.7434,11.88,11.62,11.6717,11.68,11.64,50.69,0.01,BUY,15555.64
2015-08-18,11.685,11.755,11.5934,11.6384,11.58,11.60,51.10,-0.01,SELL,15511.28
2015-08-21,10.3,10.48,9.64,9.6517,11.41,11.53,25.18,-0.23,BUY,15511.28
