Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-08-18,8.84,8.97,8.51,8.57,10.48,14.27,27.36,-1.56,BUY,10000.00
2022-09-27,12.72,14.4699,12.565,13.83,10.79,10.65,69.94,0.56,BUY,16133.16
2022-11-08,8.88,9.75,8.8601,9.57,11.44,11.53,37.88,-0.86,SELL,11166.00
2022-11-22,7.61,7.61,7.15,7.19,9.16,11.23,27.54,-1.02,BUY,11166.00
2022-11-23,7.21,7.27,6.86,6.88,8.96,11.15,26.08,-1.09,BUY,10684.88
2022-11-24,6.88,6.88,6.88,6.88,8.78,11.07,26.08,-1.12,BUY,10684.88
2023-01-10,5.35,5.35,4.8129,4.82,5.88,7.05,28.01,-0.56,BUY,7485.70
2023-01-12,4.68,4.84,4.4,4.41,5.72,6.85,25.42,-0.62,BUY,6848.97
2023-01-13,4.47,4.47,4.1,4.18,5.59,6.75,23.69,-0.66,BUY,6491.78
2023-01-20,4.49,4.6,4.2,4.28,5.14,6.25,29.99,-0.63,BUY,6647.08
2023-01-25,20.43,21.65,19.2,19.28,5.60,6.27,88.86,0.59,SELL,29942.08
2023-01-26,18.85,19.69,18.64,18.88,6.26,6.48,86.80,1.51,SELL,29942.08
2023-01-27,18.88,18.89,17.56,18.25,6.88,6.69,83.51,2.16,BUY,29942.08
2023-04-10,15.22,15.36,14.42,14.55,18.54,18.77,40.62,-1.14,SELL,23874.08
2023-06-02,7.4,7.52,7.02,7.17,9.81,12.16,29.17,-1.18,BUY,23874.08
2023-06-05,7.16,7.23,6.85,6.88,9.60,11.93,28.11,-1.27,BUY,22908.67
2023-06-06,6.795,6.86,6.05,6.07,9.33,11.71,25.33,-1.39,BUY,20212.18
2023-06-19,5.41,5.41,5.41,5.41,7.37,9.97,26.35,-1.46,BUY,18015.04
2023-06-30,4.5,4.57,4.39,4.46,5.45,8.54,24.83,-1.18,BUY,14852.49
2023-07-03,4.43,4.53,4.395,4.4,5.32,8.38,24.45,-1.15,BUY,14652.69
2023-07-12,4.3,4.335,4.09,4.11,4.93,7.49,27.90,-0.84,BUY,13686.99
2023-07-13,3.98,4.164,3.895,4.14,4.86,7.33,28.51,-0.83,BUY,13786.89
2023-07-14,4.17,4.27,4.01,4.07,4.77,7.14,27.92,-0.81,BUY,13553.79
2023-07-17,4.1,4.1,3.89,4.03,4.70,6.99,27.56,-0.79,BUY,13420.59
2023-07-18,4.04,4.0401,3.88,3.93,4.63,6.85,26.65,-0.78,BUY,13087.59
2023-07-26,3.9,3.91,3.6,3.63,4.27,6.03,25.46,-0.64,BUY,12088.59
2023-10-12,30.22,34.85,28.99,32.34,6.24,4.73,95.29,4.00,SELL,107692.89
2023-10-13,31.9,41.7192,31.77,40.05,8.10,5.44,96.32,5.98,SELL,107692.89
2023-12-01,17.3,17.46,16.89,17.32,21.11,21.91,36.81,-2.16,SELL,107692.89
2023-12-13,14.46,14.92,14.12,14.27,17.89,23.93,29.45,-2.27,BUY,107692.89
2023-12-14,14.0,14.98,13.93,14.17,17.52,24.13,29.20,-2.31,BUY,106938.29
2024-04-25,10.16,10.405,9.4,9.53,10.10,10.10,45.81,0.01,BUY,71924.85
2024-05-08,7.52,7.55,7.335,7.38,9.57,9.63,34.84,-0.65,SELL,55698.80
2024-08-02,8.05,10.94,7.9822,10.4,5.89,5.89,77.19,0.54,SELL,55698.80
2024-09-03,4.24,5.97,4.215,5.63,5.55,5.93,50.51,-0.61,SELL,55698.80
2024-10-17,5.22,5.35,5.12,5.15,5.16,5.07,48.78,0.06,BUY,55698.80
2024-11-08,3.65,3.74,3.57,3.62,5.05,5.07,35.52,-0.27,SELL,39151.85
2024-12-19,4.11,5.46,4.05,5.4,3.44,4.20,74.83,-0.00,SELL,39151.85
2025-01-16,29.91,30.59,29.38,30.1,6.22,4.62,93.93,3.76,SELL,39151.85
2025-01-17,29.02,30.4,28.95,30.4,7.57,5.12,94.00,5.02,SELL,39151.85
2025-03-03,30.54,38.625,30.38,36.89,29.42,20.04,73.12,3.10,SELL,39151.85
2025-03-04,40.01,44.36,35.14,38.64,29.77,20.74,75.23,3.50,SELL,39151.85
2025-03-06,39.5,43.02,37.68,42.85,30.77,22.11,73.39,4.06,SELL,39151.85
2025-03-10,43.38,48.89,42.28,47.26,32.19,23.69,72.26,4.84,SELL,39151.85
2025-04-04,65.1,76.09,59.7,73.34,39.55,34.19,79.33,4.71,SELL,39151.85
2025-04-07,87.25,92.88,52.1101,73.49,40.86,35.11,79.38,6.77,SELL,39151.85
2025-04-08,59.03,105.1765,58.4,92.37,43.12,36.34,84.62,9.81,SELL,39151.85
2025-05-13,27.39,27.9,26.23,27.51,44.86,45.02,36.45,-4.21,SELL,39151.85
2025-07-23,18.58,18.945,17.555,17.62,20.84,25.30,27.88,-2.18,BUY,39151.85
2025-07-24,17.4,17.615,17.09,17.48,20.57,25.07,27.52,-2.22,BUY,38840.77
2025-07-28,16.45,16.72,16.23,16.25,19.96,24.63,24.34,-2.31,BUY,36107.71
