Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2012-03-16,1.63,1.72,1.61,1.7,1.42,1.29,73.41,0.08,SELL,10000.00
2012-03-19,1.71,1.78,1.66,1.68,1.44,1.30,71.17,0.09,SELL,10000.00
2012-05-09,1.5,1.51,1.45,1.49,1.53,1.53,45.48,0.00,SELL,10000.00
2012-07-16,1.49,1.54,1.48,1.53,1.47,1.47,59.39,0.01,BUY,10000.00
2012-10-12,1.9,1.95,1.88,1.94,1.83,1.67,70.31,0.06,SELL,12679.35
2012-11-16,1.63,1.65,1.61,1.65,1.80,1.81,31.06,-0.04,SELL,12679.35
2013-01-07,1.89,1.89,1.84,1.84,1.78,1.77,58.32,0.02,BUY,12679.35
2013-04-09,1.65,1.67,1.63,1.63,1.72,1.71,39.24,-0.01,BUY,11232.45
2013-04-19,1.6,1.63,1.59,1.59,1.68,1.68,41.74,-0.03,SELL,10956.81
2013-05-21,1.78,1.82,1.77,1.81,1.69,1.69,66.95,0.03,BUY,10956.81
2013-05-24,1.81,1.93,1.8,1.91,1.72,1.69,73.43,0.05,SELL,11562.11
2013-07-25,1.77,1.8,1.76,1.78,1.90,1.91,37.62,-0.04,SELL,11562.11
2013-09-25,1.8,1.8,1.75,1.76,1.77,1.77,47.39,0.01,BUY,11562.11
2013-12-19,1.8,1.8,1.75,1.78,1.82,1.82,41.34,-0.01,SELL,11693.49
2014-01-15,1.89,1.91,1.89,1.91,1.85,1.84,62.18,0.02,BUY,11693.49
2014-01-31,1.66,1.69,1.63,1.63,1.81,1.82,26.64,-0.04,SELL,9979.33
2014-03-26,1.69,1.71,1.65,1.65,1.72,1.72,35.34,-0.01,BUY,9979.33
2014-04-04,1.71,1.71,1.65,1.66,1.70,1.70,40.21,-0.01,SELL,10039.81
2014-05-05,1.65,1.71,1.62,1.71,1.71,1.71,50.03,-0.00,BUY,10039.81
2014-05-21,1.63,1.66,1.62,1.65,1.70,1.70,39.50,-0.01,SELL,9687.55
2014-06-18,1.85,1.89,1.84,1.88,1.72,1.71,79.29,0.04,SELL,9687.55
2014-08-14,1.82,1.85,1.79,1.82,1.87,1.88,44.27,-0.02,SELL,9687.55
2014-09-18,1.63,1.64,1.59,1.59,1.75,1.82,27.36,-0.05,BUY,9687.55
2014-09-19,1.58,1.58,1.46,1.5,1.73,1.82,21.95,-0.06,BUY,9139.27
2014-09-22,1.49,1.5,1.45,1.46,1.72,1.81,20.06,-0.08,BUY,8895.59
2014-10-21,1.01,1.17,1.0,1.02,1.17,1.51,22.58,-0.16,BUY,6215.11
2014-11-04,0.89,0.91,0.85,0.88,0.99,1.34,25.13,-0.12,BUY,5362.09
2014-11-17,0.87,0.9,0.84,0.85,0.94,1.18,29.94,-0.08,BUY,5179.30
2014-11-18,0.86,0.86,0.85,0.85,0.93,1.16,29.94,-0.08,BUY,5179.30
2014-11-19,0.85,0.86,0.83,0.84,0.92,1.14,29.10,-0.08,BUY,5118.37
2014-11-20,0.84,0.86,0.8,0.81,0.91,1.12,26.68,-0.08,BUY,4935.58
2014-12-10,0.69,0.7,0.61,0.63,0.78,0.92,20.87,-0.08,BUY,3838.84
2014-12-12,0.58,0.63,0.54,0.56,0.75,0.89,16.91,-0.09,BUY,3412.33
2014-12-15,0.58,0.6,0.51,0.52,0.73,0.88,15.11,-0.10,BUY,3168.61
2014-12-16,0.52,0.53,0.42,0.44,0.71,0.86,12.29,-0.11,BUY,2681.17
2015-01-07,0.42,0.42,0.35,0.37,0.48,0.69,25.43,-0.08,BUY,2254.66
2015-01-09,0.42,0.42,0.33,0.33,0.46,0.67,27.96,-0.08,BUY,2010.94
2015-02-09,0.65,0.69,0.58,0.6,0.39,0.47,70.58,0.02,SELL,3656.05
2015-02-17,0.52,0.53,0.47,0.48,0.45,0.45,51.31,0.03,BUY,3656.05
2015-03-11,0.33,0.33,0.32,0.32,0.40,0.40,29.76,-0.03,SELL,2437.49
2015-04-15,0.4,0.54,0.4,0.5,0.33,0.38,77.69,0.01,SELL,2437.49
2015-04-24,0.41,0.41,0.37,0.38,0.37,0.36,51.17,0.02,BUY,2437.49
2015-06-08,0.36,0.38,0.35,0.36,0.38,0.38,45.84,-0.01,SELL,2309.21
2015-06-18,0.34,0.35,0.29,0.29,0.35,0.39,29.83,-0.01,BUY,2309.21
2015-06-19,0.3,0.3,0.24,0.24,0.35,0.38,23.24,-0.02,BUY,1911.11
2015-06-22,0.23,0.24,0.23,0.24,0.34,0.38,23.24,-0.03,BUY,1911.11
2015-06-23,0.24,0.24,0.18,0.19,0.33,0.38,18.50,-0.03,BUY,1513.01
