Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2012-04-09,1.86,1.86,1.76,1.79,1.95,2.02,25.36,-0.04,BUY,10000.00
2012-04-10,1.65,1.67,1.55,1.56,1.93,2.01,15.19,-0.06,BUY,8715.22
2012-04-11,1.56,1.56,1.53,1.55,1.91,1.99,14.91,-0.08,BUY,8659.36
2012-04-12,1.56,1.56,1.35,1.41,1.89,1.98,11.66,-0.11,BUY,7877.32
2012-04-13,1.41,1.44,1.33,1.37,1.86,1.96,10.93,-0.13,BUY,7653.88
2012-06-15,1.24,1.26,1.21,1.26,1.25,1.25,49.97,-0.01,BUY,7039.42
2012-07-09,1.47,1.7,1.47,1.68,1.34,1.26,78.28,0.06,SELL,9385.54
2012-07-10,1.66,1.68,1.62,1.68,1.36,1.27,78.28,0.07,SELL,9385.54
2012-07-11,1.59,1.75,1.55,1.72,1.38,1.28,79.75,0.09,SELL,9385.54
2012-07-13,2.0,2.1,1.99,2.01,1.45,1.31,87.03,0.14,SELL,9385.54
2012-08-27,1.61,1.61,1.57,1.58,1.67,1.68,40.45,-0.03,SELL,9385.54
2013-01-17,1.67,1.67,1.65,1.65,1.68,1.68,45.47,-0.01,SELL,9385.54
2013-02-21,2.85,3.01,2.77,2.96,1.71,1.70,89.56,0.09,BUY,9385.54
2013-02-22,2.9,2.97,2.86,2.96,1.78,1.73,89.56,0.17,SELL,9385.54
2013-02-25,3.04,3.04,2.9,2.96,1.84,1.75,89.56,0.23,SELL,9385.54
2013-03-14,3.07,3.07,3.06,3.06,2.72,2.09,87.92,0.32,SELL,9385.54
2013-03-20,3.08,3.1,3.06,3.1,3.01,2.21,85.09,0.27,SELL,9385.54
2013-03-21,3.06,3.08,3.06,3.07,3.02,2.23,80.62,0.25,SELL,9385.54
2013-03-22,3.06,3.1,3.05,3.09,3.03,2.26,81.32,0.24,SELL,9385.54
2013-03-25,3.08,3.09,3.06,3.08,3.03,2.29,79.76,0.23,SELL,9385.54
2013-03-26,3.08,3.09,3.06,3.08,3.04,2.32,79.76,0.21,SELL,9385.54
2013-03-27,3.07,3.1,3.06,3.1,3.05,2.35,80.62,0.20,SELL,9385.54
2013-03-28,3.09,3.1,3.09,3.09,3.05,2.37,78.82,0.19,SELL,9385.54
2013-03-29,3.09,3.09,3.09,3.09,3.06,2.40,78.82,0.18,SELL,9385.54
2013-04-01,3.09,3.1,3.06,3.1,3.07,2.43,79.35,0.17,SELL,9385.54
2013-04-02,3.06,3.1,3.06,3.1,3.07,2.46,79.35,0.16,SELL,9385.54
2013-04-03,3.07,3.1,3.07,3.09,3.08,2.48,77.09,0.15,SELL,9385.54
2013-04-04,3.09,3.1,3.07,3.09,3.08,2.51,77.09,0.14,SELL,9385.54
2013-04-05,3.09,3.1,3.07,3.1,3.08,2.54,77.82,0.13,SELL,9385.54
2013-04-08,3.07,3.1,3.07,3.1,3.08,2.57,77.82,0.12,SELL,9385.54
2013-04-09,3.08,3.09,3.08,3.09,3.09,2.60,75.03,0.11,SELL,9385.54
2013-04-10,3.09,3.1,3.07,3.09,3.09,2.62,75.03,0.11,SELL,9385.54
2013-04-11,3.09,3.1,3.09,3.09,3.09,2.65,75.03,0.10,SELL,9385.54
2013-04-12,3.09,3.1,3.09,3.09,3.09,2.68,75.03,0.09,SELL,9385.54
2013-04-15,3.09,3.09,3.09,3.09,3.09,2.71,75.03,0.08,SELL,9385.54
2013-04-16,3.09,3.1,3.09,3.09,3.09,2.74,75.03,0.08,SELL,9385.54
2013-04-17,3.09,3.1,3.09,3.1,3.09,2.77,76.35,0.07,SELL,9385.54
2013-04-18,3.09,3.1,3.08,3.1,3.09,2.79,76.35,0.07,SELL,9385.54
2013-04-19,3.1,3.1,3.08,3.09,3.09,2.82,71.93,0.06,SELL,9385.54
2013-04-22,3.1,3.1,3.08,3.1,3.09,2.85,73.58,0.06,SELL,9385.54
2013-04-30,3.09,3.1,3.09,3.1,3.09,3.03,71.65,0.04,SELL,9385.54
2013-05-01,3.08,3.1,3.08,3.1,3.09,3.06,71.65,0.04,SELL,9385.54
2013-05-21,3.06,3.06,3.05,3.06,3.09,3.09,46.21,0.01,SELL,9385.54
2013-07-17,3.04,3.04,3.04,3.04,3.06,3.06,44.95,0.00,BUY,9385.54
2013-07-30,3.05,3.05,2.96,3.01,3.05,3.05,43.92,-0.01,SELL,9292.93
2013-08-07,2.84,2.84,2.72,2.81,3.00,3.03,27.72,-0.04,BUY,9292.93
2013-08-08,2.78,2.78,1.61,1.85,2.94,3.01,8.44,-0.13,BUY,6118.21
2013-08-09,2.0,2.0,1.85,1.91,2.88,2.99,12.53,-0.19,BUY,6316.63
2013-08-12,1.91,1.91,1.66,1.78,2.82,2.96,11.35,-0.24,BUY,5886.72
2013-09-24,2.56,2.56,1.99,2.04,2.64,2.66,25.42,-0.06,BUY,6746.54
2013-09-25,2.11,2.14,2.05,2.06,2.61,2.64,26.70,-0.09,BUY,6812.68
2013-11-15,2.5,2.72,2.5,2.71,2.25,2.27,78.13,0.09,SELL,8962.23
2013-11-18,2.73,2.73,2.6,2.66,2.28,2.27,73.12,0.11,BUY,8962.23
2013-12-06,2.85,2.89,2.85,2.86,2.72,2.36,72.54,0.15,SELL,9636.03
2014-01-03,2.6,2.6,2.39,2.46,2.75,2.62,25.88,-0.01,BUY,9636.03
2014-01-06,2.41,2.41,2.0,2.15,2.71,2.62,16.02,-0.05,BUY,8421.76
