Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2016-02-10,9.8,10.5,9.59,9.72,13.32,14.35,25.44,-1.01,BUY,10000.00
2016-03-10,14.5,15.72,14.0,14.7,13.60,13.51,55.78,0.46,BUY,15119.44
2016-03-15,16.81,19.95,15.59,19.45,14.66,13.61,72.95,0.93,SELL,20002.44
2016-03-16,20.16,21.49,18.75,19.8,15.14,13.72,73.79,1.21,SELL,20002.44
2016-04-14,12.78,13.98,11.99,12.66,13.65,13.78,40.25,-0.51,SELL,20002.44
2016-05-16,15.36,15.36,14.28,14.74,14.40,14.38,53.52,0.41,BUY,20002.44
2016-06-16,17.0,19.46,16.9,18.79,16.03,14.88,72.73,0.54,SELL,25498.29
2016-06-17,18.4,19.71,18.4,19.33,16.21,15.00,74.81,0.74,SELL,25498.29
2016-06-20,19.93,23.06,19.34,20.5,16.42,15.15,78.63,0.97,SELL,25498.29
2016-07-12,21.97,23.21,21.97,23.0,20.37,17.49,73.16,1.36,SELL,25498.29
2016-07-18,22.89,27.18,22.89,26.63,21.29,18.16,79.18,1.67,SELL,25498.29
2016-08-16,20.36,21.32,20.36,20.89,19.77,19.98,56.57,-0.06,SELL,25498.29
2016-08-29,25.0,25.0,23.89,24.91,21.15,21.08,74.29,1.14,BUY,25498.29
2016-09-20,26.41,28.33,26.06,27.22,25.19,22.58,70.31,1.12,SELL,27861.42
2016-09-21,27.44,29.51,27.21,29.27,25.47,22.71,77.05,1.34,SELL,27861.42
2016-09-22,29.65,34.23,29.25,33.61,25.94,22.94,84.87,1.83,SELL,27861.42
2016-09-23,33.44,34.9,31.21,34.32,26.43,23.17,85.73,2.26,SELL,27861.42
2016-11-04,32.45,34.45,32.35,34.05,30.81,29.25,70.73,0.98,SELL,27861.42
2016-12-22,28.65,29.44,27.05,27.2,33.08,33.46,24.14,-1.90,SELL,27861.42
2017-02-14,29.7,29.7,28.3,29.5,28.75,28.75,54.43,0.22,BUY,27861.42
2017-03-15,26.65,27.19,26.15,27.0,28.28,28.37,41.88,-0.67,SELL,25501.42
2017-05-31,19.8,20.5,18.55,18.9,20.91,22.84,28.78,-0.82,BUY,25501.42
2017-08-16,17.05,17.7,16.65,17.5,19.12,19.05,41.58,-0.36,BUY,23612.82
2017-08-21,16.95,17.1,16.55,16.65,18.77,18.83,38.27,-0.56,SELL,22466.17
2017-08-29,20.5,23.6,19.81,22.85,18.39,18.64,70.96,0.24,SELL,22466.17
2017-08-30,22.55,24.1,22.0,23.55,18.60,18.69,72.84,0.59,SELL,22466.17
2017-08-31,23.55,23.825,22.5,23.5,18.82,18.75,72.48,0.87,BUY,22466.17
2017-11-02,23.0,23.35,22.9,23.1,22.98,23.02,52.94,0.04,SELL,22083.77
2017-11-15,24.55,27.8,24.2,26.7,23.08,23.16,73.12,0.51,SELL,22083.77
2017-11-17,29.8,32.4,29.6,31.75,23.90,23.46,84.17,1.44,SELL,22083.77
2017-11-20,31.75,33.25,31.3,32.9,24.39,23.66,85.68,1.90,SELL,22083.77
2018-02-14,41.95,48.8,41.95,48.35,40.22,37.56,81.04,1.82,SELL,22083.77
2018-02-15,48.85,52.5,48.85,52.25,40.93,37.87,85.13,2.55,SELL,22083.77
2018-02-16,52.4,55.0,50.38,54.7,41.76,38.23,87.02,3.28,SELL,22083.77
2018-02-19,54.7,54.7,54.7,54.7,42.53,38.55,87.02,3.82,SELL,22083.77
2018-03-28,39.65,39.9,37.6,38.55,43.30,43.87,35.50,-1.76,SELL,22083.77
2018-05-07,43.0,43.6,41.9,42.65,43.44,43.31,46.84,0.34,BUY,22083.77
2018-06-20,41.3,41.95,38.15,38.2,46.77,44.37,29.54,0.18,BUY,19783.12
2018-06-21,38.45,38.9,34.74,35.425,46.36,44.22,25.66,-0.67,BUY,18348.44
2018-06-22,35.45,35.45,32.25,33.95,45.81,44.08,23.86,-1.45,BUY,17585.87
2018-06-29,37.2,39.0,36.875,38.25,43.21,43.46,40.10,-2.50,SELL,19808.97
2018-08-13,43.75,48.75,43.5,46.7,40.00,40.57,71.40,0.96,SELL,19808.97
