Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-01-26,12.2,12.85,12.2,12.56,11.32,10.85,74.75,0.40,SELL,10000.00
2024-01-29,12.57,13.3525,12.57,13.26,11.44,10.90,80.07,0.50,SELL,10000.00
2024-02-23,13.09,14.71,12.83,14.48,12.59,11.67,75.19,0.34,SELL,10000.00
2024-02-26,14.93,15.1599,14.43,14.75,12.70,11.76,76.63,0.49,SELL,10000.00
2024-02-27,14.382,15.15,14.382,14.98,12.79,11.85,77.81,0.61,SELL,10000.00
2024-05-21,13.86,14.4,13.8,14.31,14.60,14.63,47.71,-0.26,SELL,10000.00
2024-09-18,11.47,11.61,11.37,11.37,11.94,11.93,39.54,-0.09,BUY,10000.00
2024-10-02,10.86,10.86,9.85,10.38,11.51,11.57,32.89,-0.23,SELL,9129.79
2024-10-04,10.18,10.18,9.695,9.78,11.29,11.50,27.50,-0.38,BUY,9129.79
2024-10-07,9.6,9.75,9.5,9.57,11.16,11.46,25.89,-0.45,BUY,8933.86
2024-10-08,9.47,9.57,9.05,9.13,11.03,11.40,22.86,-0.55,BUY,8523.34
2024-11-19,9.14,9.15,8.76,8.91,10.21,10.47,28.14,-0.28,BUY,8318.08
2024-12-13,7.71,7.71,7.11,7.11,8.53,9.49,26.58,-0.55,BUY,6638.68
2025-01-10,6.8,6.85,6.26,6.38,7.40,8.61,29.31,-0.50,BUY,5957.59
2025-01-14,6.38,6.41,5.54,6.15,7.25,8.44,28.60,-0.55,BUY,5743.00
2025-02-28,7.43,7.72,7.33,7.68,6.95,6.89,63.04,0.29,BUY,7170.49
2025-04-02,5.77,6.26,5.77,6.05,6.72,6.77,39.12,-0.19,SELL,5649.70
2025-05-09,6.98,6.99,6.655,6.71,6.68,6.62,50.69,0.12,BUY,5649.70
2025-05-27,6.05,6.09,5.62,5.69,6.32,6.38,37.84,-0.23,SELL,4791.88
2025-06-03,6.5,7.8792,6.44,7.74,6.16,6.31,72.15,0.00,SELL,4791.88
2025-06-04,8.2,8.61,7.8922,8.06,6.23,6.32,74.61,0.15,SELL,4791.88
2025-06-05,8.0,8.2466,7.88,8.15,6.29,6.34,75.27,0.26,SELL,4791.88
2025-06-09,8.3,8.31,7.595,7.8,6.44,6.40,66.92,0.39,BUY,4791.88
2025-07-23,63.1,71.35,62.5,68.6,11.49,8.51,98.49,5.51,SELL,42123.08
2025-07-24,68.98,72.9,67.33,69.76,14.63,9.78,98.52,9.20,SELL,42123.08
2025-08-11,69.83,70.92,68.54,69.0,51.81,25.15,84.08,15.16,SELL,42123.08
2025-08-19,69.07,69.56,68.4,68.96,69.89,32.64,75.75,11.05,SELL,42123.08
2025-08-20,67.73,72.01,67.15,71.89,70.05,33.92,78.27,10.56,SELL,42123.08
2025-08-21,72.2,74.7883,71.5,74.43,70.29,35.26,80.20,10.25,SELL,42123.08
2025-08-22,75.1,78.49,75.05,77.28,70.83,36.66,82.11,10.12,SELL,42123.08
2025-08-25,77.08,77.86,75.99,77.46,71.37,38.07,82.23,9.92,SELL,42123.08
2025-08-26,76.02,80.0,75.83,79.7,71.87,39.53,83.66,9.83,SELL,42123.08
2025-08-27,80.4,81.3644,79.37,79.43,72.29,41.00,82.80,9.62,SELL,42123.08
2025-08-28,78.71,81.949,78.0,81.64,72.79,42.51,84.23,9.53,SELL,42123.08
2025-08-29,82.0,82.13,79.95,81.03,73.24,44.01,82.19,9.30,SELL,42123.08
