Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2025-03-03,70.0488,70.16,68.54,68.8784,71.54,71.61,33.36,-0.64,SELL,10000.00
2025-04-04,61.187,61.187,59.53,59.54,65.75,69.07,22.84,-1.56,BUY,10000.00
2025-04-07,60.05,61.235,58.01,59.2042,65.40,68.79,22.26,-1.89,BUY,9943.92
2025-04-08,61.39,61.4255,58.2325,58.2325,65.03,68.51,20.63,-2.22,BUY,9781.65
2025-05-15,68.98,69.3401,68.8889,69.2561,65.30,65.01,68.42,1.21,BUY,11622.59
2025-06-30,72.15,72.326,71.88,72.326,70.44,68.40,71.89,0.85,SELL,12135.26
2025-07-01,72.225,72.3207,72.121,72.2886,70.57,68.62,71.39,0.90,SELL,12135.26
2025-07-03,73.12,73.2154,73.1001,73.2154,70.88,69.00,76.03,1.04,SELL,12135.26
2025-07-24,73.81,73.81,73.68,73.7122,72.79,70.90,71.04,0.81,SELL,12135.26
2025-07-25,73.88,74.08,73.88,74.0522,72.92,71.00,73.51,0.83,SELL,12135.26
2025-07-28,73.92,74.21,73.92,74.0668,73.03,71.09,73.62,0.84,SELL,12135.26
