Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2020-11-10,1.93,1.94,1.8611,1.91,2.04,2.03,42.59,-0.06,BUY,10000.00
2020-11-20,2.0,2.0,1.9,1.95,1.97,1.98,46.59,-0.04,SELL,10209.40
2020-12-10,2.04,2.39,2.0,2.39,1.98,2.00,72.39,0.03,SELL,10209.40
2020-12-11,2.4,3.32,2.31,2.48,2.01,2.01,75.06,0.06,SELL,10209.40
2020-12-14,2.53,2.59,2.08,2.22,2.02,2.01,57.72,0.06,BUY,10209.40
2021-01-21,3.1,6.73,3.08,3.8,2.35,2.16,86.65,0.21,SELL,17474.24
2021-01-22,3.5,3.61,3.19,3.6,2.41,2.19,78.58,0.27,SELL,17474.24
2021-02-11,4.17,5.59,4.17,5.26,3.39,2.66,77.72,0.47,SELL,17474.24
2021-03-17,3.27,3.59,3.15,3.46,3.24,3.29,52.94,-0.03,SELL,17474.24
2021-06-14,2.94,3.09,2.9194,2.94,2.71,2.70,59.98,0.08,BUY,17474.24
2021-07-12,2.52,2.65,2.52,2.62,2.66,2.66,47.82,-0.05,SELL,15572.48
2021-08-16,2.05,2.08,1.81,1.83,2.20,2.47,27.01,-0.12,BUY,15572.48
2021-08-17,1.85,1.85,1.7599,1.8,2.17,2.45,26.15,-0.14,BUY,15317.21
2021-08-25,2.78,3.95,2.63,3.04,2.11,2.36,73.37,-0.04,SELL,25868.37
2021-11-18,1.11,1.11,1.0402,1.06,1.66,1.68,34.00,-0.13,SELL,25868.37
2021-12-16,0.6921,0.6978,0.6687,0.6725,0.91,1.38,27.86,-0.20,BUY,25868.37
2021-12-28,0.7,0.708,0.55,0.5602,0.73,1.20,28.09,-0.15,BUY,21548.75
2021-12-29,0.58,0.602,0.513,0.56,0.71,1.18,28.08,-0.15,BUY,21541.06
2021-12-30,0.55,0.5949,0.5261,0.5584,0.70,1.16,28.01,-0.15,BUY,21479.51
2022-01-05,0.5452,0.5452,0.4838,0.4902,0.64,1.07,27.52,-0.14,BUY,18856.13
2022-01-07,0.4868,0.4999,0.475,0.479,0.61,1.02,27.59,-0.13,BUY,18425.31
2022-01-24,0.38,0.3899,0.3451,0.362,0.48,0.72,23.26,-0.10,BUY,13924.79
2022-03-31,0.44,0.4698,0.43,0.4565,0.41,0.41,55.70,0.01,BUY,17559.83
2022-04-27,0.34,0.3448,0.3311,0.3328,0.39,0.39,37.95,-0.02,SELL,12801.58
2022-06-13,0.26,0.2699,0.1956,0.2012,0.28,0.32,27.47,-0.02,BUY,12801.58
2022-06-16,0.189,0.189,0.1562,0.159,0.26,0.31,29.54,-0.03,BUY,10116.56
2022-06-17,0.16,0.1645,0.139,0.139,0.26,0.30,27.54,-0.03,BUY,8844.04
2022-08-23,0.1627,0.1753,0.1627,0.1668,0.16,0.16,48.56,-0.00,BUY,10612.85
2022-08-31,0.1627,0.1627,0.1503,0.1526,0.17,0.17,42.45,-0.00,SELL,9709.36
2022-09-13,0.1693,0.404,0.1521,0.37,0.17,0.17,81.67,0.01,SELL,9709.36
2022-09-15,12.01,12.08,8.76,10.39,1.24,0.60,90.58,1.52,SELL,9709.36
2022-11-07,1.94,1.99,1.86,1.91,2.76,2.77,36.49,-0.22,SELL,9709.36
2022-12-19,1.65,1.65,1.45,1.45,1.68,2.13,29.38,-0.14,BUY,9709.36
2022-12-20,1.38,1.44,1.1,1.18,1.66,2.09,21.92,-0.17,BUY,7901.44
2022-12-21,1.2,1.21,1.15,1.16,1.63,2.05,21.48,-0.19,BUY,7767.52
2023-02-08,1.37,1.4695,1.33,1.39,1.42,1.42,47.91,-0.00,BUY,9307.60
2023-02-23,1.23,1.3,1.11,1.18,1.34,1.34,37.83,-0.05,SELL,7901.44
2023-03-17,1.0,1.0,0.9,0.9,1.12,1.28,23.92,-0.09,BUY,7901.44
2023-03-20,0.92,0.92,0.88,0.885,1.10,1.27,23.19,-0.10,BUY,7769.75
2023-06-26,0.4886,0.4886,0.46,0.4602,0.58,0.62,26.26,-0.03,BUY,4040.43
2023-06-27,0.451,0.451,0.4112,0.422,0.57,0.61,22.96,-0.04,BUY,3705.08
2023-07-21,0.4294,0.4294,0.402,0.4075,0.44,0.53,27.98,-0.04,BUY,3577.78
2023-07-24,0.41,0.4168,0.3921,0.3921,0.43,0.53,25.36,-0.04,BUY,3442.58
2023-07-25,0.4,0.409,0.3922,0.4,0.43,0.52,29.03,-0.04,BUY,3511.94
2023-07-26,0.4,0.409,0.3904,0.3952,0.43,0.52,28.13,-0.04,BUY,3469.80
2023-07-27,0.395,0.4,0.39,0.39,0.43,0.52,27.14,-0.04,BUY,3424.15
2023-08-08,0.3811,0.3811,0.352,0.37,0.41,0.48,26.85,-0.03,BUY,3248.57
2023-08-09,0.37,0.3764,0.3551,0.3621,0.40,0.48,25.16,-0.03,BUY,3179.21
2023-08-10,0.358,0.358,0.3372,0.3423,0.40,0.47,21.51,-0.03,BUY,3005.39
2023-08-11,0.34,0.34,0.32,0.328,0.39,0.47,19.32,-0.03,BUY,2879.85
2023-08-14,0.3067,0.33,0.3067,0.321,0.39,0.46,18.34,-0.03,BUY,2818.39
2023-08-15,0.3199,0.3199,0.2858,0.305,0.38,0.46,16.31,-0.04,BUY,2677.91
2023-08-21,13.88,14.85,11.99,12.0,1.78,1.00,75.55,1.92,SELL,105360.01
