Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-01-25,14.8,15.91,14.58,15.9039,14.63,14.55,59.94,0.48,BUY,10000.00
2023-02-02,19.17,20.13,18.88,19.85,16.00,14.80,77.79,1.00,SELL,12478.15
2023-03-09,14.86,15.42,14.5,14.52,15.36,15.46,40.85,-0.35,SELL,12478.15
2023-04-07,16.69,16.69,16.69,16.69,16.11,16.01,57.02,0.35,BUY,12478.15
2023-05-18,20.17,20.6,20.04,20.49,17.98,16.91,71.54,0.80,SELL,15316.75
2023-10-02,21.77,22.6,21.625,22.34,24.03,24.13,41.01,-0.76,SELL,15316.75
2023-11-15,26.68,26.7,25.4537,25.61,23.53,23.37,60.77,0.89,BUY,15316.75
2024-02-02,31.58,32.5,31.11,32.3,28.04,27.24,72.86,0.83,SELL,19317.37
2024-04-11,36.33,37.504,35.87,37.21,34.35,33.06,72.51,1.00,SELL,19317.37
2024-06-05,32.91,33.455,32.51,33.4,34.29,34.32,47.13,-0.49,SELL,19317.37
2024-06-26,34.92,37.91,34.7988,37.47,34.33,34.30,63.78,0.41,BUY,19317.37
2024-08-05,22.78,25.76,22.115,25.12,33.95,34.79,25.81,-1.87,BUY,12957.12
2024-09-23,34.68,35.705,34.38,35.54,31.13,30.96,66.07,1.13,BUY,18323.42
2024-11-07,39.34,41.14,39.3,40.38,33.96,32.76,71.26,1.47,SELL,20816.02
2024-12-06,43.91,46.37,43.82,46.34,39.45,35.73,72.74,2.09,SELL,20816.02
2025-02-27,40.63,41.12,36.88,37.01,44.40,44.61,29.19,-1.91,SELL,20816.02
2025-04-03,27.58,27.91,25.62,26.05,32.10,39.01,29.57,-2.32,BUY,20816.02
2025-04-04,22.74,25.9594,22.4603,23.92,31.62,38.53,26.59,-2.74,BUY,19114.15
2025-05-20,32.68,32.95,32.07,32.51,29.89,29.54,57.55,1.27,BUY,25977.56
2025-08-27,38.73,38.98,38.3,38.69,37.47,37.56,53.55,0.25,SELL,30915.38
