Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2018-02-08,16.58,18.11,14.955,15.01,17.38,17.47,36.08,-0.90,SELL,10000.00
2018-03-13,23.79,23.8,21.27,22.4,18.62,18.40,67.14,1.67,BUY,10000.00
2018-04-16,26.9,32.0,26.9,30.0,24.19,20.93,71.48,1.57,SELL,13389.60
2018-05-16,23.92,24.06,23.27,23.81,23.99,24.14,48.68,0.10,SELL,13389.60
2018-09-12,18.12,19.07,17.72,18.74,18.45,18.38,52.08,-0.02,BUY,13389.60
2018-10-05,16.4,16.75,15.44,15.83,18.09,18.14,33.60,-0.50,SELL,11311.86
2018-10-24,13.34,14.0,11.45,11.47,15.60,17.37,23.24,-1.32,BUY,11311.86
2018-12-03,15.96,18.4,15.96,18.06,15.35,15.34,63.48,0.32,BUY,17809.60
2019-01-03,13.6,13.95,13.3,13.51,15.22,15.28,39.58,-0.81,SELL,13323.30
2019-02-26,14.84,15.0,14.415,14.5,13.91,13.86,54.15,0.11,BUY,13323.30
2019-03-01,15.3,18.63,15.3,18.31,14.25,13.97,73.64,0.48,SELL,16820.88
2019-03-04,18.37,18.95,18.08,18.45,14.49,14.08,74.08,0.72,SELL,16820.88
2019-05-09,18.3,19.36,18.3,19.2,19.20,19.24,50.66,0.05,SELL,16820.88
2019-06-04,20.7,21.41,20.15,21.18,19.48,19.41,59.68,0.47,BUY,16820.88
2019-06-19,22.93,24.33,22.55,23.82,21.06,19.87,70.40,0.82,SELL,18917.04
2019-06-20,24.19,24.22,23.72,24.03,21.28,19.97,71.23,0.94,SELL,18917.04
2019-07-22,27.39,29.51,26.8,29.16,26.13,22.93,72.06,1.39,SELL,18917.04
2019-09-25,24.76,25.82,24.58,25.3,28.01,28.04,39.41,-0.92,SELL,18917.04
2019-11-01,29.53,30.97,29.27,30.5,27.16,27.13,68.94,0.93,BUY,18917.04
2019-12-10,24.18,26.59,24.15,26.55,27.45,27.49,46.65,-0.60,SELL,16468.04
2020-01-03,30.93,31.53,30.4,31.52,28.76,28.60,63.86,0.82,BUY,16468.04
2020-01-07,40.89,42.48,34.61,38.73,29.67,28.83,76.47,1.43,SELL,20231.66
2020-01-08,39.07,41.48,37.61,39.14,30.31,29.04,77.03,1.96,SELL,20231.66
2020-03-06,35.85,36.39,33.16,34.43,38.35,38.82,38.80,-1.15,SELL,20231.66
2020-03-11,30.74,31.09,26.39,27.23,36.35,38.79,25.70,-2.29,BUY,20231.66
2020-03-12,25.06,27.0,24.11,24.65,35.47,38.66,22.55,-2.85,BUY,18317.30
2020-03-16,24.57,24.57,20.15,20.16,33.56,38.34,20.44,-3.84,BUY,14981.23
2020-03-17,20.65,20.65,16.88,17.91,32.43,37.92,18.60,-4.49,BUY,13309.48
2020-04-27,37.36,39.32,36.99,38.49,30.72,30.65,68.26,2.23,BUY,28600.42
2020-06-18,31.13,32.09,31.13,31.71,32.84,33.01,47.35,-0.28,SELL,23562.88
2020-09-15,30.96,31.85,30.6601,31.2,29.62,29.58,56.57,0.32,BUY,23562.88
2020-11-20,41.07,46.04,40.89,45.43,36.98,34.42,78.06,2.38,SELL,34306.53
2020-11-23,46.77,49.36,45.66,47.85,37.58,34.76,81.15,2.86,SELL,34306.53
2020-12-22,53.99,56.0,53.05,55.63,50.06,42.24,73.84,3.37,SELL,34306.53
2020-12-28,56.4,57.04,55.1813,56.14,51.72,43.90,74.34,3.33,SELL,34306.53
2021-01-29,45.62,46.44,44.2,44.27,50.96,51.30,34.68,-2.22,SELL,34306.53
2021-04-30,48.28,51.09,47.85,50.67,44.50,44.94,71.63,0.99,SELL,34306.53
2021-05-04,49.78,50.99,49.1696,49.7,45.28,45.11,66.36,1.38,BUY,34306.53
2021-07-01,64.0,68.58,62.66,67.8,61.78,54.41,70.35,3.03,SELL,46795.53
2021-07-02,68.54,73.0,68.41,69.84,62.41,54.92,73.18,3.34,SELL,46795.53
2021-07-05,69.84,69.84,69.84,69.84,62.97,55.42,73.18,3.54,SELL,46795.53
2021-08-16,56.95,57.4,55.73,56.2,63.14,63.45,34.08,-1.75,SELL,46795.53
