Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2016-12-29,31.08,33.6,30.52,33.32,28.81,28.76,63.89,0.92,BUY,10000.00
2017-01-04,35.7,41.16,35.14,40.04,30.65,29.06,77.11,2.04,SELL,12016.00
2017-02-08,27.02,27.16,25.9,26.74,30.93,30.99,33.91,-1.66,SELL,12016.00
2017-04-24,27.16,27.16,26.46,27.16,27.10,27.10,50.57,0.11,BUY,12016.00
2017-06-21,30.94,34.58,30.8,33.88,29.48,28.83,71.07,0.61,SELL,14986.24
2017-06-22,33.6,36.12,32.34,35.42,29.77,29.01,74.78,0.99,SELL,14986.24
2017-07-13,25.48,25.9,25.06,25.34,29.02,29.07,35.40,-1.12,SELL,14986.24
2017-08-24,20.3,21.0,18.34,18.76,23.76,26.19,25.70,-1.47,BUY,14986.24
2017-08-25,19.6,19.6,16.8,17.78,23.30,25.98,23.52,-1.73,BUY,14204.20
2017-08-28,17.64,18.06,16.66,16.66,22.85,25.71,21.30,-2.00,BUY,13310.44
2017-09-20,28.7,29.12,27.72,27.86,24.72,24.61,56.82,1.22,BUY,22248.04
2017-10-05,39.2,53.9,37.8,38.22,29.11,25.80,74.72,2.35,SELL,30515.32
2017-10-06,37.8,40.6,35.7,37.8,29.70,26.01,73.11,2.70,SELL,30515.32
2017-12-04,42.0,51.8,41.72,48.3,41.21,37.42,70.48,1.98,SELL,30515.32
2017-12-05,48.58,51.1,47.6,48.72,41.63,37.80,71.11,2.33,SELL,30515.32
2017-12-06,49.0,52.92,48.3,52.5,42.25,38.23,76.03,2.88,SELL,30515.32
2017-12-07,51.94,54.32,49.98,52.78,42.76,38.68,76.36,3.30,SELL,30515.32
2017-12-08,53.62,63.0,53.62,59.22,43.61,39.23,82.25,4.11,SELL,30515.32
2018-01-02,59.22,67.48,58.66,66.5,57.90,47.53,75.29,4.22,SELL,30515.32
2018-01-03,67.76,67.9,60.9,65.1,58.53,48.15,71.01,4.37,SELL,30515.32
2018-01-04,64.96,67.06,61.81,65.24,59.15,48.71,71.18,4.45,SELL,30515.32
2018-01-31,48.3,49.0,46.48,47.46,53.69,53.78,41.40,-2.42,SELL,30515.32
2018-04-11,49.7,53.62,48.44,53.06,44.88,44.73,64.84,1.04,BUY,30515.32
2018-04-12,53.2,59.92,52.92,57.4,45.63,44.93,70.11,1.81,SELL,33010.82
2018-05-15,71.4,82.18,70.0,81.48,62.82,53.02,78.73,5.13,SELL,33010.82
2018-05-16,81.2,84.84,77.98,79.38,63.66,53.75,74.35,5.79,SELL,33010.82
2018-05-17,79.1,88.9,78.68,83.16,64.81,54.57,76.85,6.53,SELL,33010.82
2018-07-09,71.4,74.76,70.56,72.38,71.97,71.99,51.30,-0.24,SELL,33010.82
2018-08-28,74.76,75.46,72.94,73.5,70.04,69.97,54.74,2.08,BUY,33010.82
2018-10-03,66.92,68.18,63.7,64.12,70.32,70.46,32.66,-1.28,SELL,28799.20
2018-10-24,51.94,54.32,43.82,44.52,61.27,68.52,14.04,-4.89,BUY,28799.20
2018-11-15,38.5,39.41,34.44,37.52,47.81,59.33,28.31,-4.52,BUY,24277.20
2018-11-20,35.98,39.34,35.0,35.0,45.37,57.23,28.74,-5.38,BUY,22646.76
2018-12-11,28.98,29.96,28.0,28.0,34.47,46.15,27.32,-4.83,BUY,18117.76
2018-12-14,27.58,28.28,27.02,27.3,32.70,44.02,29.92,-4.63,BUY,17664.86
2018-12-17,27.72,27.72,25.2,26.18,32.16,43.26,28.41,-4.66,BUY,16940.22
2018-12-18,25.76,27.65,22.54,22.96,31.56,42.45,24.59,-4.89,BUY,14856.88
2018-12-19,22.4,23.52,22.26,22.26,30.84,41.69,23.84,-5.07,BUY,14403.98
