Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-02-06,42.24,42.655,42.24,42.5312,42.15,42.28,52.32,-0.03,SELL,10000.00
2024-02-12,47.67,49.5548,47.67,49.5548,42.33,42.92,71.65,1.07,SELL,10000.00
2024-02-15,51.71,52.1799,51.0609,51.0609,43.60,43.54,72.32,2.02,BUY,10000.00
2024-03-04,64.16,66.6,64.16,66.5519,51.59,46.30,85.99,4.84,SELL,13020.75
2024-05-01,54.85,55.371,54.33,54.4996,62.55,63.02,34.78,-1.47,SELL,13020.75
2024-06-04,66.2112,67.1816,66.2112,66.9146,63.32,63.18,58.74,1.21,BUY,13020.75
2024-07-02,57.88,57.88,57.88,57.88,61.75,61.87,42.28,-1.68,SELL,11268.03
2024-11-11,56.42,59.4769,56.42,59.4769,48.33,49.12,73.25,1.59,SELL,11268.03
2024-11-12,58.39,61.3049,58.39,61.3049,49.10,49.28,75.28,2.32,SELL,11268.03
2024-11-13,62.03,63.85,61.2793,61.2793,49.85,49.43,75.19,2.86,BUY,11268.03
2025-01-21,68.44,69.68,68.0,69.08,63.79,64.02,61.18,0.69,SELL,12695.56
2025-02-10,63.22,63.22,62.74,62.9406,65.38,65.35,44.82,-0.36,BUY,12695.56
2025-02-18,61.71,61.71,60.54,60.76,64.79,65.07,40.77,-0.84,SELL,12257.26
2025-02-27,54.93,54.93,53.74,53.74,61.84,63.92,29.88,-2.18,BUY,12257.26
2025-05-01,60.8395,60.8395,60.8395,60.8395,55.36,55.34,63.26,1.55,BUY,13875.95
2025-07-14,74.5036,74.5036,74.16,74.2688,67.41,66.42,71.73,1.65,SELL,16937.83
2025-09-04,67.8403,67.899,67.16,67.4401,70.50,70.59,42.67,-0.92,SELL,16937.83
