Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-02-06,30.51,30.9803,30.48,30.9803,31.13,31.20,49.86,-0.11,SELL,10000.00
2024-02-20,37.44,37.44,36.82,37.3043,32.54,32.34,71.77,1.50,BUY,10000.00
2024-04-26,41.77,42.0629,41.77,42.0629,43.16,43.35,47.20,-0.62,SELL,11275.30
2024-06-05,46.0,46.3495,45.3255,46.3495,42.98,42.90,62.98,1.03,BUY,11275.30
2024-07-10,40.7424,40.7424,40.7424,40.7424,42.60,42.64,40.83,-0.75,SELL,9912.78
2024-08-05,33.07,35.3,33.07,34.5994,42.27,43.15,27.29,-1.08,BUY,9912.78
2024-10-11,37.39,38.1636,37.39,38.1636,38.42,38.41,50.08,-0.51,BUY,10932.14
2024-10-17,40.64,40.64,39.81,39.9527,38.66,38.71,56.46,0.18,SELL,11443.82
2024-10-29,41.85,41.85,41.55,41.7307,38.98,38.96,60.87,0.60,BUY,11443.82
2024-11-11,48.57,51.3699,48.57,51.15,41.35,39.39,77.82,1.81,SELL,14024.71
2024-11-12,50.9,52.32,50.9,52.191,41.97,39.68,79.05,2.40,SELL,14024.71
2024-12-06,56.88,58.5,56.88,58.2002,52.75,44.68,74.71,3.35,SELL,14024.71
2025-01-15,49.09,50.24,49.09,49.7692,50.51,50.94,48.98,-1.06,SELL,14024.71
2025-02-25,42.46,42.46,40.74,41.8751,48.49,50.11,28.16,-1.45,BUY,14024.71
2025-02-26,41.83,42.35,40.814,41.3418,48.03,49.81,27.18,-1.78,BUY,13846.59
2025-04-08,33.5985,33.69,31.5334,31.5334,36.90,42.09,28.86,-2.30,BUY,10570.58
2025-05-08,42.3782,42.3782,42.3782,42.3782,38.16,37.84,65.81,0.93,BUY,14203.59
2025-05-13,44.95,47.6597,44.88,47.6597,39.69,38.11,77.46,1.82,SELL,15972.89
2025-07-17,59.11,60.22,58.5,59.85,53.07,49.62,76.22,2.63,SELL,15972.89
