Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-02-14,34.1,34.1084,33.77,34.1084,29.44,29.17,70.27,0.95,SELL,10000.00
2024-04-19,37.07,37.2,36.64,37.1498,40.33,40.34,41.71,-1.13,SELL,10000.00
2024-05-31,45.36,45.36,44.361,44.941,39.59,39.45,66.09,2.03,BUY,10000.00
2024-07-09,35.92,35.94,35.6699,35.89,39.88,39.89,37.24,-1.32,SELL,7990.68
2024-08-05,25.48,28.83,25.48,27.99,37.83,40.24,24.24,-1.50,BUY,7990.68
2024-08-06,28.6,29.55,28.2281,29.0105,37.48,39.92,28.07,-1.97,BUY,8281.52
2024-08-07,28.71,28.71,27.16,27.315,37.03,39.58,25.74,-2.46,BUY,7798.30
2024-10-30,30.681,30.7871,30.2,30.2,28.77,28.76,56.01,0.14,BUY,8620.53
2024-11-11,35.95,38.28,35.86,38.28,30.02,28.88,75.60,1.20,SELL,10923.33
2024-11-12,37.31,37.51,37.0,37.46,30.42,29.07,71.89,1.60,SELL,10923.33
2024-12-04,42.2414,43.8399,42.2414,43.83,37.20,32.14,72.11,2.87,SELL,10923.33
2024-12-06,44.36,46.12,44.3599,45.69,38.46,32.72,73.23,3.22,SELL,10923.33
2025-01-16,36.8,36.8,36.23,36.6476,37.94,38.11,46.71,-0.72,SELL,10923.33
2025-03-03,25.72,25.72,22.98,23.1533,28.21,33.62,27.22,-2.59,BUY,10923.33
2025-03-10,21.82,21.92,20.22,20.2292,26.58,31.93,24.34,-2.80,BUY,9546.08
2025-04-07,16.045,16.86,16.045,16.62,20.71,25.37,27.18,-1.83,BUY,7846.14
2025-04-08,16.88,16.88,15.75,15.75,20.44,25.00,25.31,-2.03,BUY,7435.50
2025-05-09,25.01,25.42,24.6,24.908,19.06,20.15,72.26,0.48,SELL,11758.08
2025-05-12,27.37,27.5,26.071,26.2772,19.53,20.19,75.33,0.91,SELL,11758.08
2025-05-13,27.13,28.7418,27.1186,28.7418,20.09,20.31,79.68,1.43,SELL,11758.08
2025-05-14,27.97,27.97,27.449,27.86,20.62,20.40,74.61,1.75,BUY,11758.08
2025-07-16,33.56,35.6061,33.56,35.6061,27.82,27.41,76.87,1.66,SELL,15026.93
2025-08-08,40.91,42.56,40.91,42.509,37.85,31.51,70.76,2.62,SELL,15026.93
2025-08-11,43.83,45.62,43.82,44.4958,38.50,31.85,74.03,2.88,SELL,15026.93
2025-08-12,46.02,47.1886,45.68,47.1886,39.25,32.25,77.68,3.27,SELL,15026.93
2025-08-13,49.39,49.63,48.29,49.491,39.95,32.68,80.23,3.72,SELL,15026.93
