Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2015-01-09,26.64,26.82,25.25,25.37,26.85,26.93,45.29,-0.07,SELL,10000.00
2015-01-12,25.33,27.8,25.0,27.46,27.10,27.00,53.23,0.00,BUY,10000.00
2015-01-14,25.37,27.26,25.36,26.73,27.00,27.07,50.65,-0.06,SELL,9734.28
2015-02-09,19.29,19.53,18.28,18.3,23.29,25.95,29.61,-1.65,BUY,9734.28
2015-03-12,32.57,35.41,32.32,33.12,23.72,23.62,76.23,2.47,BUY,17603.70
2015-04-16,48.02,53.48,47.66,53.28,42.83,31.80,79.68,4.97,SELL,28308.66
2015-04-22,56.71,64.13,56.15,63.79,46.48,34.81,85.23,6.27,SELL,28308.66
2015-04-23,64.0,64.17,61.11,64.02,47.93,35.73,85.36,6.80,SELL,28308.66
2015-05-20,38.16,39.53,38.0,39.4,42.40,42.58,45.58,-1.80,SELL,28308.66
2015-06-15,48.99,56.83,44.56,56.19,42.17,44.39,75.94,2.07,SELL,28308.66
2015-06-19,52.84,54.9,52.02,54.07,45.28,45.02,64.04,3.34,BUY,28308.66
2015-07-13,55.43,62.42,54.27,62.03,51.64,45.17,70.55,2.05,SELL,32471.74
2015-07-14,61.97,65.56,60.89,63.11,52.19,45.65,71.57,2.80,SELL,32471.74
2015-08-20,46.44,46.64,42.25,42.8,52.99,53.56,33.21,-2.27,SELL,32471.74
2015-09-29,35.01,37.72,32.86,33.09,43.47,47.36,28.78,-2.16,BUY,32471.74
2015-09-30,33.5,34.34,30.49,31.44,42.88,46.79,26.97,-2.78,BUY,30853.09
2015-10-22,24.71,25.95,23.91,24.43,31.56,38.96,27.67,-4.01,BUY,23976.28
2015-10-23,24.68,25.08,23.81,24.15,30.77,38.50,27.31,-4.14,BUY,23701.60
2015-11-26,38.42,38.42,38.42,38.42,32.70,32.69,65.38,1.44,BUY,37700.47
2015-12-14,20.0,26.35,19.5,21.0,34.78,31.80,26.76,-0.73,BUY,20611.45
2015-12-24,24.01,24.2,23.44,23.61,30.29,30.43,35.59,-2.90,SELL,23171.86
2016-03-31,19.08,20.1,18.85,19.03,17.08,17.06,57.01,0.32,BUY,23171.86
2016-05-12,16.05,16.05,14.28,15.26,18.27,18.29,34.32,-1.02,SELL,18583.77
2016-06-15,19.75,20.37,19.56,20.11,18.64,18.53,59.48,0.67,BUY,18583.77
2016-08-29,19.93,19.93,19.26,19.6,22.18,22.36,34.50,-0.64,SELL,18112.53
2016-11-09,17.6,20.9,17.09,20.75,15.18,18.00,70.98,-0.21,SELL,18112.53
2016-11-25,19.45,20.2,18.9,19.8,17.75,17.69,60.16,0.71,BUY,18112.53
2016-12-27,15.6,16.0,15.1,15.15,16.95,16.99,40.10,-0.77,SELL,13862.43
2017-02-27,13.7,16.2,13.65,16.2,15.06,14.92,57.53,0.10,BUY,13862.43
2017-03-10,19.15,21.25,18.75,21.0,16.32,15.35,74.49,1.00,SELL,17966.43
2017-03-13,21.0,23.0,20.55,22.7,16.70,15.52,78.38,1.35,SELL,17966.43
2017-04-27,17.9,17.9,17.25,17.35,18.07,18.17,46.42,-0.35,SELL,17966.43
2017-07-13,14.65,14.95,14.3,14.9,14.36,14.23,54.82,0.14,BUY,17966.43
2017-08-22,13.25,13.9,13.2,13.65,14.61,14.63,40.03,-0.38,SELL,16460.18
2017-09-20,15.75,15.8,15.25,15.6,15.06,14.98,58.55,0.26,BUY,16460.18
2017-09-26,16.0,16.85,15.85,16.75,15.39,15.02,70.49,0.37,SELL,17673.43
2017-09-27,16.9,17.4,16.45,17.05,15.51,15.05,72.78,0.45,SELL,17673.43
2017-10-27,13.7,13.9,13.4,13.6,15.12,15.15,33.91,-0.45,SELL,17673.43
2017-12-19,14.8,15.5,14.75,15.0,14.41,14.40,57.55,0.08,BUY,17673.43
2017-12-29,16.25,21.8,15.9,18.1,14.97,14.58,79.29,0.48,SELL,21325.23
2018-01-01,18.1,18.1,18.1,18.1,15.14,14.65,79.29,0.65,SELL,21325.23
2018-01-03,18.0,19.525,16.6,19.25,15.62,14.81,83.55,0.95,SELL,21325.23
2018-01-11,20.7,22.2,20.5,22.15,17.14,15.48,82.40,1.52,SELL,21325.23
2018-01-12,22.15,30.4,22.15,28.25,17.83,15.74,90.20,2.16,SELL,21325.23
2018-01-15,28.25,28.25,28.25,28.25,18.51,15.98,90.20,2.64,SELL,21325.23
2018-02-09,37.4,41.85,35.85,41.7,34.18,23.68,72.12,4.21,SELL,21325.23
2018-02-13,39.25,45.2,38.25,45.05,35.62,24.79,72.34,4.55,SELL,21325.23
2018-02-14,44.6,49.9,43.55,48.35,36.62,25.49,75.35,5.06,SELL,21325.23
2018-02-15,42.85,48.9,42.6,47.05,37.60,26.16,72.03,5.29,SELL,21325.23
2018-04-04,35.75,37.65,35.15,37.35,40.24,40.41,44.29,-0.80,SELL,21325.23
2018-05-04,40.3,41.15,39.8,40.45,40.42,40.28,50.98,0.33,BUY,21325.23
2018-05-18,48.15,50.845,47.8,50.05,42.33,40.71,72.79,1.98,SELL,26384.43
2018-05-21,50.3,54.45,50.26,51.45,42.90,40.82,74.91,2.38,SELL,26384.43
2018-06-28,35.45,37.38,35.25,36.15,44.14,44.40,29.84,-1.86,SELL,26384.43
2018-09-11,39.5,41.15,38.9,41.05,38.75,38.73,59.09,0.53,BUY,26384.43
2018-10-19,35.88,36.85,34.385,34.97,38.82,38.99,39.13,-1.07,SELL,22481.07
2018-12-03,40.52,42.76,39.89,42.46,37.43,37.28,65.17,1.16,BUY,22481.07
2018-12-21,33.78,33.82,30.89,30.9,39.70,37.31,29.07,-0.55,BUY,16365.83
2019-01-03,34.9,34.9,27.85,28.4,36.59,36.91,29.97,-1.68,SELL,15043.33
2019-02-08,37.52,39.08,37.22,38.49,36.59,36.54,58.39,0.77,BUY,15043.33
2019-04-12,36.43,36.62,35.59,36.05,38.48,38.54,41.41,-0.32,SELL,14091.73
2019-05-10,27.35,27.35,25.83,26.0,32.98,36.23,29.40,-1.71,BUY,14091.73
2019-05-13,25.15,25.4999,23.58,24.2,32.42,35.94,26.86,-2.21,BUY,13117.93
2019-06-24,21.23,21.5,20.17,20.43,22.27,26.66,29.11,-1.48,BUY,11074.59
2019-06-25,20.65,20.775,19.95,20.0,22.16,26.34,27.46,-1.51,BUY,10841.53
2019-06-26,19.8,20.1,18.76,19.05,21.94,26.07,24.20,-1.60,BUY,10326.63
2019-07-16,17.81,18.37,15.31,15.93,19.48,22.01,18.46,-1.48,BUY,8635.59
2019-07-17,15.93,16.075,14.92,15.01,19.14,21.62,16.23,-1.66,BUY,8136.95
2019-07-18,14.92,15.35,14.31,15.28,18.83,21.39,19.31,-1.75,BUY,8283.29
2019-07-30,14.52,14.685,14.36,14.58,16.71,19.83,24.00,-1.76,BUY,7903.89
2019-09-20,15.19,15.94,15.095,15.81,14.42,14.25,59.40,0.36,BUY,8570.55
2019-10-16,12.8,13.48,12.75,12.95,13.83,13.95,42.37,-0.43,SELL,7020.43
2019-11-28,14.02,14.02,14.02,14.02,13.38,13.27,58.10,0.30,BUY,7020.43
2019-12-12,15.73,16.4,15.63,15.99,14.18,13.32,70.76,0.54,SELL,8005.43
2019-12-24,15.97,16.85,15.82,16.79,14.86,13.68,70.44,0.63,SELL,8005.43
2020-02-03,13.39,13.8,13.3,13.79,15.16,15.24,39.27,-0.61,SELL,8005.43
2020-02-25,11.92,12.14,11.0,11.12,13.76,14.99,29.99,-0.62,BUY,8005.43
2020-03-12,9.14,9.67,8.05,8.15,12.33,13.92,25.67,-1.05,BUY,5870.00
2020-03-16,7.7,7.99,6.14,6.14,11.63,13.55,21.46,-1.50,BUY,4422.80
2020-03-17,6.48,6.53,5.42,5.69,11.18,13.32,20.51,-1.74,BUY,4098.80
2020-05-13,10.65,11.38,9.7,10.36,8.89,8.73,61.43,0.36,BUY,7461.20
2020-05-20,11.4,14.96,11.3,14.27,9.66,8.72,76.10,0.85,SELL,10276.40
2020-05-21,14.17,15.06,13.75,14.93,9.98,8.86,77.83,1.12,SELL,10276.40
2020-08-18,12.44,12.51,11.33,11.92,12.86,12.95,41.43,-0.29,SELL,10276.40
2020-09-15,15.77,16.0,14.98,15.64,13.58,13.40,67.97,0.53,BUY,10276.40
2020-11-06,13.86,14.1,13.39,13.45,13.87,13.90,46.95,-0.10,SELL,8837.57
2020-11-13,18.64,19.2904,17.37,18.05,14.41,14.24,73.06,0.73,SELL,8837.57
