Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-11-09,1.74,1.7658,1.6,1.65,2.17,3.93,1.07,-4.30,BUY,10000.00
2022-11-10,1.65,1.74,1.65,1.69,2.12,3.37,1.16,-4.00,BUY,10242.40
2022-11-11,1.7,1.84,1.6817,1.78,2.07,3.21,1.37,-3.72,BUY,10787.80
2022-11-14,1.84,1.94,1.76,1.76,2.03,3.06,1.37,-3.45,BUY,10666.60
2022-11-15,1.84,2.1391,1.79,1.89,1.99,2.98,1.74,-3.20,BUY,11454.40
2022-11-16,2.04,2.05,1.8,1.81,1.96,2.89,1.73,-2.97,BUY,10969.60
2022-11-17,1.81,1.8549,1.66,1.77,1.93,2.82,1.73,-2.76,BUY,10727.20
2022-11-18,1.72,1.775,1.63,1.65,1.90,2.76,1.72,-2.57,BUY,10000.00
2022-11-21,1.68,1.7,1.5372,1.55,1.87,2.70,1.72,-2.40,BUY,9394.00
2022-11-22,1.54,1.6,1.52,1.53,1.84,2.65,1.72,-2.24,BUY,9272.80
2022-11-23,1.59,2.18,1.53,1.98,1.82,2.59,3.61,-2.06,BUY,11999.80
2022-11-24,1.98,1.98,1.98,1.98,1.82,2.53,3.61,-1.89,BUY,11999.80
2022-11-25,1.93,2.09,1.82,1.95,1.82,2.48,3.61,-1.74,BUY,11818.00
2022-11-28,1.82,1.99,1.73,1.74,1.80,2.41,3.57,-1.62,BUY,10545.40
2022-11-29,1.87,1.87,1.68,1.7001,1.78,2.36,3.56,-1.51,BUY,10303.61
2022-11-30,1.69,1.8,1.6587,1.7,1.77,2.31,3.56,-1.40,BUY,10303.00
2022-12-01,1.76,1.76,1.6815,1.69,1.77,2.27,3.56,-1.31,BUY,10242.40
2022-12-02,1.67,1.8,1.66,1.7773,1.76,2.23,4.15,-1.21,BUY,10771.44
2022-12-05,1.77,1.85,1.7,1.7,1.75,2.19,4.13,-1.12,BUY,10303.00
2022-12-06,1.74,1.74,1.52,1.57,1.74,2.16,4.08,-1.06,BUY,9515.20
2022-12-07,1.57,1.64,1.5,1.53,1.74,2.13,4.07,-0.99,BUY,9272.80
2022-12-08,1.54,1.5867,1.5,1.53,1.73,2.10,4.07,-0.93,BUY,9272.80
2022-12-09,1.55,1.56,1.4,1.449,1.71,2.07,4.04,-0.88,BUY,8781.94
2022-12-12,1.45,1.4884,1.4,1.4,1.69,2.05,4.02,-0.84,BUY,8485.00
2022-12-13,1.46,1.51,1.4072,1.45,1.67,2.02,4.56,-0.79,BUY,8788.00
2022-12-14,1.43,1.4689,1.32,1.37,1.65,2.00,4.52,-0.74,BUY,8303.20
2022-12-15,1.36,1.3948,1.25,1.32,1.63,1.95,4.49,-0.71,BUY,8000.20
2022-12-16,1.29,1.32,1.2,1.27,1.61,1.92,4.46,-0.67,BUY,7697.20
2023-01-25,1.56,1.59,1.4,1.53,1.52,1.50,28.52,-0.01,BUY,9272.80
2023-02-23,1.23,1.25,1.2,1.24,1.40,1.40,30.45,-0.09,SELL,7515.40
2023-03-13,1.1,1.11,1.06,1.06,1.23,1.41,29.05,-0.08,BUY,7515.40
2023-03-24,1.0,1.03,0.99,1.0181,1.13,1.33,29.93,-0.09,BUY,7218.37
2023-04-05,0.99,1.03,0.91,0.918,1.03,1.22,29.31,-0.07,BUY,6508.66
2023-04-06,0.94,0.9798,0.88,0.91,1.02,1.21,28.80,-0.07,BUY,6451.94
2023-04-07,0.91,0.91,0.91,0.91,1.01,1.20,28.80,-0.07,BUY,6451.94
2023-04-10,0.8827,0.925,0.8827,0.8905,1.00,1.19,27.44,-0.08,BUY,6313.69
2023-04-25,0.84,0.84,0.7505,0.7586,0.92,1.06,26.42,-0.07,BUY,5378.52
2023-04-26,0.76,0.78,0.7301,0.7386,0.90,1.04,25.19,-0.08,BUY,5236.72
2023-04-27,0.76,0.7841,0.7111,0.715,0.88,1.03,23.78,-0.08,BUY,5069.39
2023-06-30,6.47,12.0,5.58,6.57,1.03,0.89,95.82,0.45,BUY,46581.34
2023-07-03,6.07,6.63,5.06,5.06,1.25,0.98,76.30,0.69,SELL,35875.44
2023-08-23,2.1,2.1135,1.87,1.9201,2.85,2.95,29.55,-0.35,SELL,35875.44
2023-09-13,1.7,1.74,1.66,1.68,1.96,3.07,29.92,-0.30,BUY,35875.44
2023-09-15,1.65,1.696,1.6,1.6,1.90,2.96,28.34,-0.29,BUY,34167.12
2023-09-18,1.58,1.64,1.55,1.58,1.87,2.91,27.87,-0.29,BUY,33740.04
2023-09-19,1.59,1.6048,1.47,1.48,1.84,2.85,25.61,-0.29,BUY,31604.64
2023-09-21,1.48,1.5149,1.41,1.4513,1.79,2.72,26.82,-0.28,BUY,30991.78
2023-09-25,1.39,1.4,1.28,1.28,1.73,2.59,23.04,-0.29,BUY,27333.84
2023-09-27,1.28,1.3299,1.25,1.27,1.66,2.46,22.82,-0.29,BUY,27120.30
2024-01-02,1.58,1.58,1.3453,1.44,1.25,1.25,62.92,0.02,BUY,30750.48
2024-01-23,1.16,1.18,1.13,1.13,1.22,1.22,40.86,-0.03,SELL,24130.74
2024-02-14,1.35,1.7708,1.3,1.55,1.18,1.22,77.40,0.04,SELL,24130.74
2024-05-10,1.07,1.07,1.0,1.015,0.95,0.95,57.80,0.02,BUY,24130.74
2024-06-25,0.8601,0.8601,0.8202,0.84,0.97,0.97,35.40,-0.04,SELL,19970.29
2024-09-03,0.5111,0.554,0.485,0.5101,0.62,0.70,29.54,-0.04,BUY,19970.29
2024-10-04,0.7381,0.83,0.72,0.8197,0.60,0.62,70.73,0.04,SELL,32090.82
2024-10-09,0.7241,0.7569,0.7108,0.7108,0.63,0.62,57.01,0.04,BUY,32090.82
2024-11-15,0.59,0.618,0.55,0.618,0.63,0.64,47.10,-0.01,SELL,27901.18
2024-12-30,0.65,0.7,0.65,0.6899,0.62,0.62,59.49,0.01,BUY,27901.18
2025-02-07,0.9088,1.08,0.8,1.03,0.72,0.67,77.64,0.05,SELL,41655.50
2025-02-10,1.07,1.18,1.03,1.16,0.75,0.68,81.90,0.07,SELL,41655.50
2025-03-27,0.8485,0.8485,0.82,0.822,0.87,0.87,45.50,-0.02,SELL,41655.50
2025-06-12,0.709,0.7319,0.7004,0.729,0.71,0.71,49.55,0.01,BUY,41655.50
2025-06-30,0.6026,0.69,0.6026,0.67,0.69,0.70,49.04,-0.03,SELL,38284.24
2025-08-01,0.49,0.5,0.3606,0.4056,0.61,0.66,26.31,-0.05,BUY,38284.24
