Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-03-13,27.53,28.16,27.53,28.0216,25.62,25.41,68.19,0.74,BUY,10000.00
2024-03-28,29.31,29.6999,29.24,29.6082,27.56,25.87,70.74,0.80,SELL,10564.83
2024-04-01,30.28,30.33,29.67,29.9288,27.78,25.98,72.20,0.90,SELL,10564.83
2024-04-02,30.07,30.13,29.78,30.0027,27.96,26.08,72.54,0.97,SELL,10564.83
2024-04-03,30.16,30.83,30.16,30.7636,28.16,26.20,75.83,1.08,SELL,10564.83
2024-04-05,30.71,31.3072,30.71,31.28,28.48,26.42,74.98,1.21,SELL,10564.83
2024-06-20,31.23,31.6128,31.23,31.6128,31.27,31.33,53.04,-0.23,SELL,10564.83
2024-07-11,35.8,35.8,34.8701,34.8701,31.80,31.69,69.12,0.79,BUY,10564.83
2024-10-18,40.29,41.5335,40.29,41.5335,38.19,36.48,73.57,0.92,SELL,12577.18
2024-10-21,41.77,41.77,41.17,41.17,38.33,36.65,70.37,1.04,SELL,12577.18
2024-10-22,41.8,41.92,41.715,41.92,38.47,36.82,72.98,1.19,SELL,12577.18
2024-11-20,37.22,37.22,37.012,37.1844,38.02,38.21,47.70,-0.67,SELL,12577.18
2025-01-28,38.608,39.37,38.5445,39.37,37.01,36.96,62.26,0.68,BUY,12577.18
2025-04-11,53.1,53.1,51.35,51.97,46.73,44.16,70.48,1.35,SELL,16596.58
2025-04-14,51.78,52.93,51.62,52.615,47.03,44.41,71.70,1.67,SELL,16596.58
2025-04-15,54.31,54.31,52.8,54.07,47.43,44.67,74.30,2.02,SELL,16596.58
2025-04-16,57.01,57.01,55.4,55.8,47.89,44.95,77.00,2.41,SELL,16596.58
2025-07-18,54.57,54.57,53.59,53.6747,54.86,54.99,42.64,-0.44,SELL,16596.58
2025-08-14,59.53,59.65,59.244,59.3835,56.05,55.98,64.41,1.19,BUY,16596.58
2025-08-29,64.23,65.6617,64.23,65.6617,60.26,56.88,75.93,2.22,SELL,18348.19
