Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2016-02-09,5.51,7.8,5.5,6.3,9.70,9.71,33.22,-1.18,SELL,10000.00
2016-03-31,9.15,9.15,7.17,8.6,8.37,8.32,50.93,0.03,BUY,10000.00
2016-04-27,10.68,12.69,10.59,12.44,9.87,8.96,76.96,0.58,SELL,14462.08
2016-04-28,12.44,12.45,12.03,12.41,10.06,9.04,76.50,0.70,SELL,14462.08
2016-05-27,8.81,8.85,7.03,8.02,10.39,9.94,29.65,-0.36,BUY,14462.08
2016-06-02,7.69,8.4,7.25,7.5,9.74,9.87,26.39,-0.70,SELL,13524.52
2016-07-29,7.95,7.97,7.77,7.82,7.78,7.73,50.11,0.04,BUY,13524.52
2016-08-25,7.3,7.51,7.3,7.44,7.50,7.52,47.38,-0.08,SELL,12867.50
2016-09-30,7.74,7.96,7.69,7.88,7.52,7.51,58.99,0.10,BUY,12867.50
2016-10-06,8.33,9.11,8.18,8.71,7.71,7.55,71.42,0.24,SELL,14222.06
2016-11-02,7.15,7.15,6.1,6.4,7.41,7.49,35.71,-0.26,SELL,14222.06
2017-02-17,4.4,4.4,4.1,4.18,4.65,5.56,28.13,-0.32,BUY,14222.06
2017-02-20,4.18,4.18,4.18,4.18,4.62,5.52,28.13,-0.33,BUY,14222.06
2017-02-23,4.4,4.4,4.05,4.05,4.52,5.41,29.37,-0.32,BUY,13779.80
2017-03-22,3.65,3.65,3.55,3.55,4.63,4.72,29.87,-0.18,BUY,12078.80
2017-05-19,4.1,4.4,4.0,4.1,4.02,4.02,52.78,-0.00,BUY,13949.90
2017-06-20,4.6,5.3,4.6,5.1,4.12,4.04,75.30,0.13,SELL,17351.90
2017-06-21,5.0,5.45,4.86,5.25,4.17,4.06,77.14,0.19,SELL,17351.90
2017-06-22,5.25,5.6,5.05,5.4,4.25,4.09,78.84,0.26,SELL,17351.90
2017-08-24,4.75,4.95,4.705,4.85,5.41,5.46,37.87,-0.20,SELL,17351.90
2017-10-05,5.65,6.0,5.6,6.0,5.32,5.28,72.18,0.18,BUY,17351.90
2017-11-02,4.75,4.75,4.4,4.45,5.11,5.16,31.61,-0.18,SELL,12870.85
2017-12-19,4.8,4.9,4.75,4.75,4.94,4.91,46.22,-0.06,BUY,12870.85
2018-01-09,4.35,4.39,3.2,3.55,5.12,4.98,27.11,0.01,BUY,9620.05
2018-01-10,3.4,3.5,3.2,3.425,5.05,4.95,26.15,-0.12,BUY,9281.43
2018-01-15,3.3,3.3,3.3,3.3,4.83,4.87,25.13,-0.39,SELL,8942.80
2018-02-01,2.75,2.9,2.7,2.8,3.33,4.39,25.93,-0.50,BUY,8942.80
2018-02-05,2.75,2.75,2.625,2.7,3.04,4.29,24.45,-0.48,BUY,8623.50
2018-02-06,2.6,2.7,2.5,2.6,2.99,4.24,22.92,-0.47,BUY,8304.20
2018-02-07,2.6,2.75,2.6,2.65,2.95,4.18,25.42,-0.46,BUY,8463.85
2018-02-08,2.7,2.7,2.55,2.55,2.91,4.12,23.76,-0.45,BUY,8144.55
2018-02-09,2.6,2.6,2.45,2.5,2.87,4.07,22.96,-0.44,BUY,7984.90
2018-02-12,2.55,2.7,2.5,2.55,2.83,4.02,25.67,-0.43,BUY,8144.55
2018-04-26,2.85,3.15,2.76,3.0,2.50,2.59,71.92,0.04,SELL,9581.40
2018-04-27,3.05,3.145,2.9,3.1,2.53,2.60,74.61,0.08,SELL,9581.40
2018-04-30,3.2,3.5,3.15,3.4,2.59,2.61,80.61,0.13,SELL,9581.40
2018-05-01,3.45,3.7,3.3,3.35,2.65,2.63,77.33,0.16,BUY,9581.40
2018-07-03,3.2,3.25,3.2,3.25,3.31,3.32,48.75,-0.03,SELL,9295.40
2018-07-26,2.85,2.875,2.6,2.65,3.11,3.26,25.61,-0.10,BUY,9295.40
2018-07-27,2.65,2.695,2.55,2.6,3.08,3.24,24.34,-0.12,BUY,9120.05
2018-08-29,3.1,3.39,3.05,3.3,2.54,2.87,71.21,0.00,SELL,11574.95
2018-08-30,3.4,3.5,3.3,3.45,2.59,2.87,73.90,0.07,SELL,11574.95
2018-09-11,3.1,3.4,3.09,3.3,2.93,2.89,60.48,0.18,BUY,11574.95
