Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-04-08,0.34,0.35,0.32,0.35,0.37,0.36,47.71,0.00,BUY,10000.00
2022-05-02,0.2515,0.3133,0.2515,0.2934,0.33,0.33,41.59,-0.02,SELL,8382.88
2022-07-08,0.2261,0.2301,0.2187,0.23,0.16,0.19,71.90,-0.00,SELL,8382.88
2022-07-11,0.23,0.23,0.23,0.23,0.16,0.19,71.90,0.00,SELL,8382.88
2022-07-19,0.2301,0.2301,0.2301,0.2301,0.18,0.18,71.92,0.02,BUY,8382.88
2022-09-06,0.1551,0.1551,0.1551,0.1551,0.22,0.21,18.77,0.00,BUY,5650.56
2022-09-07,0.1551,0.1551,0.1551,0.1551,0.22,0.21,18.77,-0.00,BUY,5650.56
2022-09-13,0.1551,0.1551,0.1551,0.1551,0.20,0.21,18.77,-0.01,SELL,5650.56
2022-11-14,0.0427,0.0427,0.026,0.0269,0.11,0.12,13.53,-0.01,BUY,5650.56
2022-11-15,0.0269,0.0269,0.0269,0.0269,0.10,0.12,13.53,-0.02,BUY,5650.56
2022-11-16,0.0269,0.0269,0.0269,0.0269,0.10,0.12,13.53,-0.02,BUY,5650.56
2022-11-30,0.0268,0.0268,0.0268,0.0268,0.06,0.09,21.06,-0.02,BUY,5629.55
2022-12-09,0.019,0.0206,0.018,0.02,0.03,0.08,18.11,-0.02,BUY,4201.16
2023-01-19,0.0361,0.0362,0.0249,0.0249,0.03,0.03,41.86,-0.00,BUY,5230.45
2023-02-01,0.061,0.062,0.061,0.062,0.04,0.03,71.89,0.00,SELL,13023.60
2023-04-11,0.062,0.062,0.062,0.062,0.04,0.04,71.64,0.00,SELL,13023.60
2023-04-12,0.062,0.062,0.062,0.062,0.04,0.04,71.64,0.00,SELL,13023.60
2023-04-21,0.03,0.03,0.03,0.03,0.04,0.04,37.28,-0.00,SELL,13023.60
2023-05-18,0.03,0.03,0.0201,0.0201,0.03,0.04,20.61,-0.00,BUY,13023.60
2023-05-19,0.0201,0.0201,0.0201,0.0201,0.03,0.04,20.61,-0.00,BUY,13023.60
2023-05-22,0.0201,0.0201,0.0201,0.0201,0.03,0.04,20.61,-0.00,BUY,13023.60
2023-06-08,0.48,0.48,0.48,0.48,0.07,0.05,95.11,0.06,SELL,311011.21
2023-06-13,0.64,0.77,0.63,0.7252,0.15,0.08,93.75,0.13,SELL,311011.21
2023-06-14,0.85,0.8882,0.84,0.879,0.19,0.10,95.00,0.17,SELL,311011.21
2023-06-22,0.8,1.4,0.8,1.4,0.44,0.20,85.02,0.25,SELL,311011.21
2023-06-23,1.9201,3.0,1.9201,3.0,0.59,0.25,93.20,0.42,SELL,311011.21
2023-08-28,3.2,4.2,3.02,3.6,2.29,1.63,73.55,0.36,SELL,311011.21
2023-08-29,4.3,4.3,3.78,3.78,2.36,1.71,75.05,0.43,SELL,311011.21
2023-08-30,4.3,4.9,4.3,4.9,2.49,1.80,81.92,0.57,SELL,311011.21
2023-09-07,5.5,6.39,5.26,6.36,3.21,2.28,78.59,0.92,SELL,311011.21
2023-09-11,8.18,9.2,7.4,8.05,3.74,2.55,83.97,1.24,SELL,311011.21
2023-09-20,10.49,44.145,10.4601,23.385,6.44,3.80,93.26,2.95,SELL,311011.21
2023-11-03,2.22,2.22,2.22,2.22,5.77,5.98,37.96,-1.59,SELL,311011.21
2024-01-11,5.4,5.9,5.4,5.9,3.22,3.14,75.11,0.64,BUY,311011.21
2024-01-24,6.5,8.0,6.37,8.0,4.86,3.19,77.50,0.95,SELL,421708.51
2024-01-25,9.0,10.2,8.8,9.5,5.17,3.34,81.96,1.18,SELL,421708.51
2024-01-26,10.0,10.5,10.0,10.5,5.52,3.50,84.21,1.44,SELL,421708.51
2024-01-29,12.43,12.5,11.7,12.5,5.97,3.71,87.55,1.78,SELL,421708.51
2024-01-30,12.5601,16.24,12.5601,13.9,6.47,3.94,89.26,2.14,SELL,421708.51
2024-01-31,15.7,18.1,14.51,14.99,7.02,4.19,90.37,2.48,SELL,421708.51
2024-02-01,15.09,18.3,15.09,16.7,7.66,4.48,91.80,2.86,SELL,421708.51
2024-05-15,40.0,40.0,40.0,40.0,20.61,15.97,74.56,4.53,SELL,421708.51
2024-07-09,47.5,70.44,47.5,70.44,30.79,20.79,82.21,9.22,SELL,421708.51
2024-07-11,69.9999,69.9999,69.9999,69.9999,33.62,21.89,81.63,10.90,SELL,421708.51
