Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2020-05-15,19.53,21.9999,19.25,21.41,17.56,17.48,62.61,0.77,BUY,10000.00
2020-05-20,23.95,27.25,23.75,25.58,18.63,17.57,72.09,1.56,SELL,11947.39
2020-07-24,21.72,21.8599,20.85,21.16,25.96,26.02,32.20,-1.20,SELL,11947.39
2020-09-02,25.98,26.43,25.31,26.2,24.58,24.49,60.33,0.65,BUY,11947.39
2020-11-25,41.37,45.15,41.03,44.69,37.66,32.70,70.65,2.70,SELL,20378.83
2020-11-27,44.8,47.84,44.1953,47.66,38.75,33.39,74.93,3.24,SELL,20378.83
2020-11-30,48.15,50.24,45.0474,50.0,39.52,33.80,77.69,3.67,SELL,20378.83
2020-12-01,51.27,56.49,50.92,54.86,40.56,34.34,82.10,4.35,SELL,20378.83
2020-12-02,54.0,57.93,51.45,57.22,41.66,34.96,83.78,5.02,SELL,20378.83
2020-12-07,61.0,69.11,60.875,67.68,45.49,37.09,89.21,7.03,SELL,20378.83
2020-12-08,67.8,76.5,66.58,75.26,47.37,38.10,91.50,8.29,SELL,20378.83
2021-01-07,86.36,98.87,86.36,98.63,84.07,61.29,71.55,7.54,SELL,20378.83
2021-01-08,98.5,117.0,98.0757,101.67,85.24,62.64,73.22,8.25,SELL,20378.83
2021-01-14,97.55,111.42,97.27,111.32,89.97,67.84,73.29,9.11,SELL,20378.83
2021-01-15,114.44,122.81,105.85,113.04,92.00,69.38,74.07,9.90,SELL,20378.83
2021-03-08,72.01,79.3,70.59,71.28,96.56,97.33,31.19,-6.41,SELL,20378.83
2021-06-08,86.9,88.66,80.72,85.6,75.94,75.34,66.40,2.47,BUY,20378.83
2021-06-28,110.5,113.24,103.72,108.85,87.09,79.29,80.55,4.90,SELL,25912.33
2021-06-29,109.53,112.1,106.03,110.79,88.74,80.08,81.51,6.11,SELL,25912.33
2021-06-30,110.78,134.556,108.66,128.71,91.20,81.17,87.57,8.43,SELL,25912.33
2021-07-01,129.46,136.79,123.436,133.6,93.89,82.35,88.66,10.53,SELL,25912.33
2021-08-03,90.66,92.5,87.63,92.31,92.23,92.98,48.79,-1.56,SELL,25912.33
2021-08-16,99.27,103.42,94.28,101.94,97.56,97.40,53.30,2.59,BUY,25912.33
2021-08-19,99.7,102.22,95.81,97.78,98.20,98.24,48.34,1.77,SELL,24855.69
2021-08-20,96.68,102.65,96.68,101.95,98.68,98.51,53.06,1.71,BUY,24855.69
2021-09-30,87.99,89.67,86.94,87.01,100.35,100.82,32.03,-3.91,SELL,21225.27
2021-11-19,89.44,90.94,88.96,89.71,92.62,92.51,46.53,-1.01,BUY,21225.27
2021-11-22,89.9,90.445,81.4,81.74,91.90,92.12,37.90,-1.68,SELL,19344.35
2022-03-08,62.06,65.42,59.5801,62.47,68.57,68.47,42.59,-0.53,BUY,19344.35
2022-03-16,57.19,62.46,55.76,59.84,66.03,66.23,43.65,-2.67,SELL,18531.68
2022-06-28,43.06,43.1,39.9,40.4,36.74,36.66,56.24,1.15,BUY,18531.68
2022-09-08,54.44,58.38,54.44,57.07,57.40,58.13,50.33,-1.18,SELL,26166.54
2022-12-07,43.0,44.3692,42.63,44.1,45.99,45.92,46.46,-0.46,BUY,26166.54
2022-12-09,44.5,44.9,42.02,42.12,45.58,45.76,41.93,-0.63,SELL,24992.40
2023-01-31,42.19,44.23,42.19,43.45,42.78,42.64,51.81,0.56,BUY,24992.40
2023-03-06,39.43,39.4526,37.72,38.13,41.59,42.00,39.69,-1.36,SELL,21933.40
2023-03-10,34.59,34.65,30.35,32.14,39.58,41.76,27.32,-2.14,BUY,21933.40
2023-05-15,33.36,37.47,33.14,35.99,32.21,32.00,63.20,0.86,BUY,24559.10
2023-07-03,31.91,32.25,31.72,31.93,32.97,33.03,43.49,-0.34,SELL,21790.18
2023-08-07,27.1,27.26,25.18,25.54,30.35,31.76,27.60,-1.31,BUY,21790.18
2023-10-19,20.4,20.46,17.76,18.36,22.28,23.51,28.81,-1.02,BUY,15665.64
2023-10-20,17.76,18.34,16.95,17.69,21.97,23.36,27.01,-1.25,BUY,15094.13
2023-11-20,27.83,31.09,27.59,30.76,22.73,22.74,72.95,1.44,SELL,26242.84
2023-11-21,30.19,30.32,27.94,27.95,23.15,22.78,62.05,1.58,BUY,26242.84
2024-01-19,23.46,23.99,22.7504,23.69,26.85,27.08,37.41,-0.86,SELL,22246.96
2024-02-16,32.4,33.75,32.26,32.9,27.69,27.41,63.47,1.58,BUY,22246.96
2024-02-27,39.75,49.5,38.52,45.07,30.68,28.36,79.86,2.96,SELL,30473.88
2024-04-09,28.86,29.34,28.2,29.32,32.89,32.97,37.44,-1.47,SELL,30473.88
2024-06-13,25.98,26.53,25.05,25.24,24.41,24.30,54.81,0.12,BUY,30473.88
2024-07-25,29.88,33.43,29.88,32.17,25.73,24.85,71.97,1.51,SELL,38838.39
2024-08-27,26.91,27.12,25.26,26.29,25.75,25.87,51.32,-0.21,SELL,38838.39
2024-11-11,27.58,32.29,27.5,30.35,24.13,24.30,72.41,0.81,SELL,38838.39
2024-11-20,25.25,25.87,24.39,24.49,24.68,24.56,48.29,0.36,BUY,38838.39
2025-01-16,23.45,23.74,22.8,23.4,26.31,26.48,37.81,-0.73,SELL,37110.74
2025-02-14,29.25,34.49,28.8405,32.4,26.71,26.72,71.90,0.90,SELL,37110.74
2025-02-19,33.14,34.82,33.1215,34.09,27.69,27.03,75.38,1.61,SELL,37110.74
2025-03-20,23.17,23.75,22.61,22.87,26.41,26.78,38.68,-1.20,SELL,37110.74
2025-04-01,19.45,19.45,17.5501,17.635,23.91,26.27,27.84,-1.92,BUY,37110.74
2025-07-08,19.37,20.71,19.28,20.3,17.65,17.63,66.83,0.53,BUY,42717.90
2025-07-09,21.76,22.39,20.8575,21.46,17.82,17.67,71.45,0.73,SELL,45158.54
2025-08-20,16.16,16.41,15.61,16.06,18.51,18.73,32.70,-0.80,SELL,45158.54
