Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2017-08-18,25.31,28.79,25.2,28.52,25.00,24.84,73.05,0.37,SELL,10000.00
2017-08-21,28.73,30.74,28.73,30.33,25.23,25.01,78.11,0.74,SELL,10000.00
2017-08-22,30.61,34.0,30.32,33.5,25.59,25.23,83.83,1.28,SELL,10000.00
2017-08-23,33.37,33.7,32.29,33.02,25.94,25.42,80.40,1.64,SELL,10000.00
2017-09-13,38.33,38.81,37.93,38.17,35.32,28.93,74.78,2.96,SELL,10000.00
2017-10-19,32.16,32.76,32.0,32.72,34.21,34.29,43.17,-0.83,SELL,10000.00
2017-11-09,27.57,27.7,25.92,26.25,30.35,33.95,26.46,-1.53,BUY,10000.00
2017-11-13,26.56,26.74,25.1,25.39,29.78,33.47,25.15,-1.79,BUY,9673.20
2017-11-14,25.41,25.41,24.01,24.39,29.40,33.21,22.77,-1.96,BUY,9293.20
2017-12-01,23.12,23.24,20.63,22.58,25.67,29.89,25.14,-1.64,BUY,8603.59
2017-12-04,22.62,23.15,20.82,21.18,25.24,29.56,21.51,-1.82,BUY,8070.19
2017-12-05,21.18,21.99,20.75,21.1,24.84,29.22,21.32,-1.94,BUY,8039.71
2017-12-06,21.01,21.23,18.95,20.44,24.48,28.86,19.77,-2.07,BUY,7788.25
2018-01-05,28.95,30.275,28.51,29.96,26.04,25.74,71.37,1.08,BUY,11415.37
2018-01-22,31.24,32.85,31.24,32.06,28.13,25.72,70.78,1.01,SELL,12215.47
2018-01-23,32.0,33.25,31.71,33.15,28.41,25.89,73.49,1.29,SELL,12215.47
2018-03-22,28.2,28.49,26.99,27.21,30.51,30.62,38.63,-0.88,SELL,12215.47
2018-05-09,27.31,27.55,26.74,27.23,27.59,27.43,48.81,0.22,BUY,12215.47
2018-05-21,31.5,33.0,31.5,32.45,28.52,27.13,70.81,0.98,SELL,14554.03
2018-05-22,32.45,33.72,32.45,33.21,28.86,27.22,72.97,1.21,SELL,14554.03
2018-06-13,37.35,39.18,37.1,38.58,34.58,30.18,75.56,2.00,SELL,14554.03
2018-06-14,38.58,39.69,38.1,39.65,35.05,30.48,77.96,2.17,SELL,14554.03
2018-06-15,39.6,41.58,39.23,40.87,35.53,30.83,80.33,2.37,SELL,14554.03
2018-06-18,40.47,42.7,39.545,41.64,35.99,31.17,81.67,2.57,SELL,14554.03
2018-06-19,42.08,44.28,42.0,42.29,36.44,31.51,82.74,2.74,SELL,14554.03
2018-08-01,34.49,35.64,34.12,35.45,37.81,37.87,42.71,-1.16,SELL,14554.03
