Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2012-03-15,5.03,5.39,4.25,4.3,5.28,5.49,27.36,-0.15,BUY,10000.00
2021-11-16,28.06,28.68,28.06,28.2,6.30,5.89,94.09,1.64,BUY,65567.50
2021-11-17,28.34,28.455,27.63,27.94,7.43,6.33,93.09,3.07,SELL,64963.00
2022-01-13,18.92,18.92,17.955,17.955,19.75,19.86,40.56,-0.58,SELL,64963.00
2022-01-24,13.78,15.04,13.5601,15.04,18.27,21.54,28.87,-1.04,BUY,64963.00
2022-03-29,19.06,19.54,18.6112,18.83,16.22,16.21,64.44,0.53,BUY,81332.01
2022-04-25,13.68,14.209,13.621,14.19,15.93,16.06,37.13,-0.62,SELL,61291.85
2022-05-09,11.48,11.49,10.42,10.56,13.89,15.43,25.89,-1.01,BUY,61291.85
2022-05-10,10.94,11.08,10.45,10.6,13.68,15.30,26.28,-1.14,BUY,61524.01
2022-05-11,9.98,10.405,9.54,9.56,13.40,15.15,22.90,-1.31,BUY,55487.85
2022-06-13,8.21,8.21,7.31,7.45,9.57,11.99,25.50,-0.82,BUY,43241.41
2022-06-14,7.36,7.4,7.16,7.38,9.44,11.79,25.19,-0.92,BUY,42835.13
2022-06-15,7.14,7.32,6.9,7.24,9.32,11.61,24.54,-0.99,BUY,42022.57
2022-06-16,7.0232,7.0232,6.83,6.86,9.18,11.42,22.84,-1.07,BUY,39817.05
2022-08-08,8.98,9.06,8.79,8.94,7.81,7.77,62.72,0.26,BUY,51889.37
2022-09-09,7.6,7.95,7.6,7.95,7.73,7.75,54.05,-0.23,SELL,46143.41
2022-11-09,5.73,5.767,5.5,5.51,6.62,6.85,29.65,-0.20,BUY,46143.41
2022-12-20,19.895,19.895,19.69,19.69,5.95,6.15,92.83,0.97,SELL,164886.73
2022-12-22,19.41,19.41,19.1,19.3451,7.37,6.66,90.76,2.52,SELL,164886.73
2023-01-16,25.46,25.46,25.46,25.46,20.67,11.47,93.00,3.83,SELL,164886.73
2023-01-17,27.13,27.67,26.95,27.5,21.07,11.91,94.31,3.99,SELL,164886.73
2023-01-26,29.19,29.19,28.55,28.86,24.13,15.03,82.34,3.89,SELL,164886.73
2023-04-13,35.45,36.75,35.45,36.75,32.36,29.85,70.29,1.63,SELL,164886.73
2023-04-14,37.33,37.33,35.96,36.78,32.63,29.96,70.36,1.78,SELL,164886.73
2023-05-26,32.73,32.9801,32.73,32.91,32.98,32.99,49.70,0.07,SELL,164886.73
2023-05-29,32.91,32.91,32.91,32.91,33.02,33.01,49.70,0.06,BUY,164886.73
2023-06-02,34.24,34.55,34.24,34.55,33.22,33.23,56.47,0.37,SELL,173103.13
2023-06-21,37.8,38.47,37.55,38.07,33.67,33.57,69.00,0.61,BUY,173103.13
2023-06-23,38.11,40.13,38.015,39.16,34.24,33.64,71.88,1.13,SELL,178058.27
2023-07-13,44.26,49.0899,44.26,48.8,39.86,35.83,80.86,3.01,SELL,178058.27
2023-08-18,34.46,34.65,34.2,34.44,41.04,40.36,26.17,-1.25,BUY,178058.27
2023-08-22,33.95,33.95,33.78,33.78,40.12,40.44,24.76,-1.79,SELL,174646.07
2023-10-25,39.38,40.18,39.12,39.43,33.91,34.10,70.09,0.79,SELL,174646.07
2023-10-26,38.67,38.67,37.8824,37.9,34.14,34.09,62.32,0.94,BUY,174646.07
2023-11-28,44.5,46.85,44.5,46.45,40.93,36.78,70.74,2.04,SELL,214044.47
2023-12-01,45.79,48.72,45.61,48.17,42.10,37.56,72.06,2.47,SELL,214044.47
2023-12-04,52.36,53.0399,50.61,52.59,42.74,37.97,78.37,2.96,SELL,214044.47
2023-12-05,52.46,54.84,52.0,53.99,43.44,38.40,79.92,3.43,SELL,214044.47
2023-12-27,64.49,67.5499,64.49,67.49,55.03,45.63,80.14,5.25,SELL,214044.47
2024-01-26,45.51,46.5,44.91,46.1981,49.69,50.32,43.50,-2.45,SELL,214044.47
2024-02-23,59.23,59.23,58.06,58.06,53.40,53.13,57.10,3.00,BUY,214044.47
2024-04-24,67.29,67.95,65.265,65.41,65.80,66.08,50.45,-0.65,SELL,241136.57
2024-06-04,68.92,70.2577,68.8686,70.01,65.52,65.37,59.20,1.30,BUY,241136.57
2024-08-09,60.96,61.7,60.96,61.7,69.16,69.21,42.93,-2.86,SELL,212516.93
2024-10-04,63.86,64.995,63.33,64.55,62.67,62.46,53.58,0.66,BUY,212516.93
2024-11-11,90.22,96.16,90.22,95.4337,74.68,67.12,77.33,4.90,SELL,314186.07
2024-11-12,91.67,96.1885,91.67,95.8,76.06,67.88,77.54,5.89,SELL,314186.07
2024-12-30,68.0,68.5,65.8599,67.89,95.32,88.40,29.72,-1.90,BUY,314186.07
2024-12-31,69.05,69.3756,66.2543,66.86,93.82,88.29,29.20,-3.58,BUY,309420.26
2025-01-07,75.58,75.58,71.5,71.88,88.16,88.30,36.97,-5.60,SELL,332647.80
2025-02-25,60.0,60.4311,57.0,58.74,68.89,76.53,26.62,-3.32,BUY,332647.80
2025-02-26,58.12,59.389,56.98,57.32,68.25,75.68,25.16,-3.82,BUY,324606.34
2025-02-27,59.3,59.3,56.47,56.47,67.50,74.84,24.30,-4.24,BUY,319792.79
2025-05-07,58.92,59.0,58.29,58.29,54.96,54.45,56.82,1.29,BUY,330099.45
