Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-07-01,29.23,30.18,28.9399,29.52,32.71,32.80,44.22,-1.88,SELL,10000.00
2024-10-07,25.48,26.56,25.14,25.66,24.53,24.41,53.42,0.28,BUY,10000.00
2024-11-11,41.22,46.53,40.98,46.02,31.33,26.93,78.26,3.18,SELL,17920.04
2024-11-12,44.91,49.08,44.06,48.68,32.34,27.46,80.23,4.10,SELL,17920.04
2024-11-13,49.12,52.96,48.38,48.76,33.33,27.99,80.29,4.77,SELL,17920.04
2025-01-22,60.79,61.435,59.18,60.38,53.86,53.89,57.96,1.66,SELL,17920.04
2025-01-29,57.6,60.7199,56.75,60.06,55.46,55.45,56.16,1.67,BUY,17920.04
2025-02-05,52.37,52.91,49.9,50.8,55.89,55.91,42.52,0.18,SELL,15160.56
2025-02-06,51.79,52.57,49.084,50.4,55.80,55.75,41.99,-0.27,BUY,15160.56
2025-02-14,49.77,52.23,49.3504,50.41,55.12,55.16,44.49,-1.51,SELL,15163.56
2025-05-02,44.34,45.22,44.03,44.26,37.11,37.03,63.52,2.01,BUY,15163.56
2025-07-14,65.31,65.77,62.635,63.41,52.45,51.44,71.68,2.45,SELL,21712.86
2025-08-29,51.33,51.4,48.91,49.19,56.26,56.43,37.92,-1.66,SELL,21712.86
