Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-10-19,11.79,12.152,11.73,12.05,10.93,10.90,60.48,0.19,BUY,10000.00
2023-10-23,13.53,14.272,13.3501,14.2,11.25,10.90,73.17,0.49,SELL,11782.35
2023-10-24,17.02,17.11,15.92,16.37,11.56,10.96,80.22,0.81,SELL,11782.35
2023-10-25,17.04,17.79,16.87,17.38,11.92,11.04,82.52,1.13,SELL,11782.35
2023-12-05,23.96,26.0,23.68,25.73,19.72,15.78,73.35,1.82,SELL,11782.35
2023-12-06,26.24,26.2697,25.57,25.62,20.09,16.09,72.80,2.06,SELL,11782.35
2024-02-02,22.23,23.0399,22.22,22.49,22.83,22.89,50.19,-0.31,SELL,11782.35
2024-02-12,28.12,30.6242,28.07,30.41,22.55,23.56,71.56,0.98,SELL,11782.35
2024-02-16,32.89,33.18,32.08,32.43,24.50,24.32,72.97,2.36,BUY,11782.35
2024-02-28,42.83,48.245,41.541,43.09,29.46,25.82,80.98,3.86,SELL,15651.93
2024-03-04,49.01,52.6,48.5601,52.07,33.17,27.25,87.04,5.73,SELL,15651.93
2024-04-26,41.05,42.4076,40.29,40.94,45.49,45.55,44.30,-1.29,SELL,15651.93
2024-06-07,47.87,48.42,43.6112,44.94,43.90,43.54,52.03,1.14,BUY,15651.93
2024-06-27,33.61,34.4927,33.27,33.38,40.95,41.00,36.11,-2.54,SELL,11629.05
2024-10-09,26.87,27.36,25.89,26.11,27.58,27.37,45.58,-0.14,BUY,11629.05
2024-11-11,44.62,50.4586,44.43,49.98,34.21,29.74,77.76,3.26,SELL,22251.20
2024-11-12,48.96,53.28,47.91,52.83,35.29,30.30,79.75,4.26,SELL,22251.20
2024-11-13,53.26,57.45,52.4302,53.0,36.34,30.85,79.86,5.02,SELL,22251.20
2025-01-17,61.68,65.55,61.06,63.92,55.98,56.22,59.18,0.53,SELL,22251.20
2025-02-12,50.77,54.14,50.5109,53.37,58.49,58.45,44.38,-1.32,BUY,22251.20
2025-02-13,52.09,52.69,51.21,52.49,58.22,58.29,43.09,-1.45,SELL,21885.12
2025-02-27,41.18,41.33,37.7,38.44,51.90,55.93,29.65,-3.89,BUY,21885.12
2025-05-05,43.87,44.7,43.365,44.11,39.91,39.50,55.70,1.92,BUY,25111.35
2025-07-14,68.37,68.81,65.5596,66.36,55.05,54.16,71.06,2.44,SELL,37771.60
2025-08-29,53.25,53.32,50.6903,50.96,59.03,59.11,36.82,-1.83,SELL,37771.60
