Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2021-12-03,27.03,27.44,27.03,27.3701,26.29,25.35,70.11,0.45,SELL,10000.00
2022-01-06,25.21,25.42,25.21,25.38,26.22,26.25,35.43,-0.23,SELL,10000.00
2022-03-07,25.89,26.25,25.86,26.03,25.54,25.52,58.65,0.08,BUY,10000.00
2022-03-22,24.78,24.84,24.6427,24.74,25.41,25.43,38.54,-0.16,SELL,9504.64
2022-04-14,23.95,23.9502,23.58,23.59,25.02,25.29,27.46,-0.36,BUY,9504.64
2022-05-05,23.27,23.27,22.916,23.12,23.83,24.78,29.86,-0.38,BUY,9315.70
2022-05-06,22.89,23.0795,22.82,22.9239,23.75,24.73,27.68,-0.41,BUY,9236.87
2022-05-09,22.59,22.89,22.49,22.83,23.67,24.67,26.67,-0.44,BUY,9199.12
2022-07-28,22.8,22.91,22.6201,22.63,22.74,22.73,46.16,0.04,BUY,9118.72
2022-08-29,22.5226,22.5226,22.35,22.46,22.65,22.67,46.70,-0.12,SELL,9050.38
2022-10-21,19.84,20.0,19.73,19.79,21.27,21.78,20.39,-0.42,BUY,9050.38
2022-10-24,19.73,19.82,19.56,19.6,21.15,21.72,18.96,-0.49,BUY,8963.55
2022-12-06,21.65,21.779,21.56,21.7257,20.82,20.79,67.53,0.24,BUY,9934.99
2022-12-28,15.13,15.15,14.91,14.958,21.11,20.69,10.57,-0.51,BUY,6842.16
2022-12-29,15.0,15.18,15.0,15.1,20.80,20.58,12.27,-0.88,BUY,6907.05
2022-12-30,15.07,15.175,15.035,15.055,20.48,20.49,12.19,-1.16,SELL,6886.49
2023-01-16,15.4014,15.4014,15.4014,15.4014,16.97,19.43,22.18,-1.40,BUY,6886.49
2023-01-24,15.29,15.4625,15.22,15.4305,15.29,18.86,28.72,-1.03,BUY,6899.49
2023-01-25,15.42,15.44,15.34,15.4351,15.31,18.76,28.83,-0.96,BUY,6901.55
2023-01-26,15.41,15.44,15.364,15.41,15.33,18.65,28.56,-0.90,BUY,6890.33
2023-01-27,15.36,15.42,15.34,15.3566,15.34,18.55,27.96,-0.85,BUY,6866.46
2023-01-30,15.44,15.485,15.42,15.42,15.36,18.44,29.84,-0.79,BUY,6894.80
2023-01-31,15.37,15.37,15.235,15.36,15.37,18.33,29.07,-0.74,BUY,6867.98
2023-03-08,15.92,15.985,15.855,15.88,15.52,15.41,56.56,-0.03,BUY,7100.42
2023-05-01,15.78,15.78,15.48,15.55,15.78,15.79,38.97,-0.05,SELL,6952.91
2023-06-19,15.9,15.9,15.9,15.9,15.60,15.57,65.75,0.09,BUY,6952.91
2023-08-02,15.39,15.39,15.26,15.33,15.88,15.83,28.28,-0.07,BUY,6703.82
2023-08-03,15.07,15.0871,14.92,14.98,15.82,15.82,21.87,-0.13,BUY,6550.87
2023-09-26,14.42,14.48,14.3415,14.3556,15.04,15.29,29.57,-0.18,BUY,6278.01
2023-11-28,14.36,14.36,14.2101,14.25,14.13,14.11,52.33,0.08,BUY,6231.86
2023-12-14,14.99,15.2,14.9602,15.1909,14.53,14.16,70.84,0.22,SELL,6643.03
2023-12-15,15.24,15.29,15.1907,15.29,14.59,14.19,72.50,0.25,SELL,6643.03
2024-01-25,14.28,14.31,14.15,14.21,14.64,14.65,31.91,-0.15,SELL,6643.03
2024-03-01,14.82,14.91,14.82,14.905,14.70,14.70,58.85,0.09,BUY,6643.03
2024-04-11,14.96,14.96,14.85,14.8823,14.78,14.78,53.51,0.00,SELL,6632.93
2024-05-28,14.87,14.87,14.74,14.74,14.73,14.73,49.07,0.04,BUY,6632.93
2024-07-15,14.36,14.41,14.35,14.3556,14.75,14.76,34.09,-0.10,SELL,6460.34
2024-08-22,14.81,14.82,14.8,14.8,14.67,14.67,54.69,0.08,BUY,6460.34
2024-10-03,14.4,14.43,14.37,14.37,14.64,14.65,37.60,-0.08,SELL,6272.86
2024-12-12,14.01,14.01,13.965,13.965,14.15,14.14,42.01,0.01,BUY,6272.86
2024-12-27,13.61,13.61,13.535,13.535,14.03,14.05,32.97,-0.13,SELL,6079.79
2025-02-28,13.65,13.73,13.5902,13.73,13.55,13.53,57.26,0.03,BUY,6079.79
2025-03-26,13.25,13.279,13.25,13.2502,13.47,13.48,37.52,-0.06,SELL,5867.71
2025-05-21,12.41,12.4308,12.24,12.2567,12.68,12.96,29.77,-0.14,BUY,5867.71
2025-05-22,12.12,12.26,12.12,12.25,12.65,12.94,29.60,-0.15,BUY,5864.51
2025-09-05,97.611,98.2846,97.39,98.2846,16.41,13.95,99.50,6.81,BUY,46989.05
2025-09-08,99.14,99.581,98.98,99.581,20.78,15.69,99.51,12.23,SELL,47608.73
