Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-10-07,25.9,26.94,25.58,26.14,24.94,24.84,54.05,0.21,BUY,10000.00
2024-11-11,41.91,47.23,41.68,46.85,31.86,27.38,78.29,3.23,SELL,17911.22
2024-11-12,45.75,49.9,44.83,49.42,32.89,27.92,80.16,4.16,SELL,17911.22
2024-11-13,49.96,53.72,49.2,49.6,33.89,28.46,80.28,4.85,SELL,17911.22
2024-12-17,69.09,69.81,66.45,69.65,58.27,43.55,70.64,5.84,SELL,17911.22
2025-01-17,58.31,61.83,57.72,60.58,53.04,53.25,59.17,0.42,SELL,17911.22
2025-02-27,39.16,39.3935,36.055,37.08,49.37,53.14,29.83,-3.58,BUY,17911.22
2025-05-02,45.49,46.37,45.22,45.49,38.10,37.99,63.78,2.10,BUY,21973.25
2025-07-14,67.64,68.2291,65.035,65.79,54.43,53.10,72.04,2.62,SELL,31778.15
2025-09-02,52.46,54.8207,52.32,53.98,58.83,58.92,42.97,-1.74,SELL,31778.15
