Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-05-02,58.82,59.6,58.32,59.47,64.73,65.23,41.43,-1.46,SELL,10000.00
2024-06-03,69.77,70.36,68.66,69.21,66.10,65.87,56.76,1.30,BUY,10000.00
2024-07-03,60.31,60.64,59.92,60.4,64.81,64.96,40.90,-1.58,SELL,8731.36
2024-10-03,60.5,61.06,60.0,61.02,60.81,60.65,49.32,0.68,BUY,8731.36
2024-11-11,81.93,87.5336,81.69,86.98,70.64,64.77,78.22,3.93,SELL,12443.64
2024-11-12,86.04,89.99,85.185,89.54,71.76,65.40,79.93,4.87,SELL,12443.64
2024-11-13,90.0,93.5,89.31,89.725,72.86,66.04,80.05,5.57,SELL,12443.64
2024-12-17,107.7,108.26,105.58,106.43,98.06,82.71,70.48,5.75,SELL,12443.64
2025-02-24,95.26,95.605,93.5,93.8,98.08,98.58,42.83,-1.05,SELL,12443.64
2025-02-27,86.12,86.12,82.33,83.19,95.52,97.74,29.83,-3.03,BUY,12443.64
2025-04-30,94.42,94.42,92.69,94.01,86.71,86.48,61.42,2.54,BUY,14055.82
2025-07-11,117.46,118.08,116.44,117.93,107.47,105.62,70.94,2.38,SELL,17619.90
2025-07-14,121.58,121.9,119.02,119.69,108.20,106.08,72.88,2.96,SELL,17619.90
2025-09-05,112.6,113.0,109.9,111.295,113.93,114.09,46.74,-1.26,SELL,17619.90
