Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-05-02,62.38,63.29,61.85,63.09,68.75,69.29,41.19,-1.56,SELL,10000.00
2024-06-03,74.15,74.79,72.88,73.62,70.18,69.95,56.99,1.38,BUY,10000.00
2024-07-03,63.99,64.33,63.61,64.25,68.84,68.98,41.09,-1.67,SELL,8735.05
2024-10-03,64.14,64.87,63.61,64.87,64.56,64.39,49.54,0.72,BUY,8735.05
2024-11-11,87.04,92.92,86.79,92.41,75.00,68.77,78.02,4.18,SELL,12425.41
2024-11-12,91.46,95.52,90.67,95.06,76.19,69.44,79.69,5.18,SELL,12425.41
2024-11-13,95.37,99.16,94.95,95.17,77.35,70.11,79.75,5.92,SELL,12425.41
2024-12-17,114.45,115.02,112.5901,113.42,104.23,87.86,70.75,6.20,SELL,12425.41
2025-02-21,105.2,105.38,100.3,100.46,104.77,104.83,44.11,-0.96,SELL,12425.41
2025-02-27,91.42,91.42,87.51,88.23,101.44,103.86,29.84,-3.26,BUY,12425.41
2025-04-30,100.12,100.15,98.44,99.74,92.05,91.79,61.08,2.71,BUY,14036.81
2025-07-11,124.76,125.37,123.72,125.3,114.09,112.14,70.75,2.54,SELL,17615.21
2025-07-14,129.12,129.4,126.475,127.21,114.88,112.63,72.72,3.17,SELL,17615.21
2025-09-05,119.8,120.01,116.99,118.26,121.04,121.20,46.84,-1.33,SELL,17615.21
