Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-06-06,40.48,40.93,39.53,39.6074,36.65,36.34,56.64,1.23,BUY,10000.00
2024-07-01,29.75,30.0101,29.54,29.8,34.13,34.36,41.00,-1.99,SELL,7528.54
2024-08-05,16.44,21.57,16.3402,19.63,29.00,31.77,29.97,-1.04,BUY,7528.54
2024-10-07,27.38,28.5,27.0655,27.68,25.06,24.64,58.68,0.75,BUY,10611.69
2024-11-11,44.17,49.67,43.96,49.4088,33.72,28.29,78.68,3.57,SELL,18933.82
2024-11-12,48.35,52.7,47.3815,52.39,34.80,28.89,80.70,4.55,SELL,18933.82
2024-11-13,52.74,56.48,52.0914,52.49,35.86,29.50,80.77,5.27,SELL,18933.82
2025-01-21,60.86,63.3391,58.19,62.04,56.31,56.72,57.15,0.77,SELL,18933.82
2025-02-27,39.1396,39.1396,36.24,36.79,49.31,54.57,29.26,-3.97,BUY,18933.82
2025-05-05,42.09,42.47,42.09,42.47,38.25,37.86,56.19,1.89,BUY,21853.34
2025-07-11,64.07,64.68,63.0715,64.616,53.57,52.35,72.31,2.32,SELL,33236.38
2025-07-14,68.61,68.799,65.96,66.4755,54.33,52.78,74.33,2.94,SELL,33236.38
