Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2021-11-02,30.78,31.43,30.54,31.06,27.25,27.05,69.42,1.18,BUY,10000.00
2021-12-16,27.88,27.95,24.6,25.13,29.25,29.41,39.64,-1.19,SELL,8096.47
2022-04-11,11.58,11.7681,11.17,11.32,13.99,13.82,39.81,-0.26,BUY,8096.47
2022-04-21,10.15,10.42,8.66,8.79,12.85,12.87,34.16,-1.10,SELL,6287.52
2022-08-03,5.76,6.295,5.74,6.23,4.95,4.93,65.84,0.30,BUY,6287.52
2022-09-08,3.87,4.15,3.8,4.12,5.02,5.04,38.29,-0.44,SELL,4158.53
2022-09-23,2.99,3.02,2.78,2.92,3.82,4.92,29.27,-0.52,BUY,4158.53
2022-11-01,28.13,28.35,26.04,26.07,5.06,4.26,91.88,3.22,SELL,37124.13
2023-01-02,21.29,21.29,21.29,21.29,23.65,24.07,43.28,-1.12,SELL,37124.13
2023-01-26,33.12,33.82,31.8499,33.73,25.96,25.95,73.41,2.16,BUY,37124.13
2023-02-02,40.75,43.84,40.16,42.36,29.67,26.70,78.17,3.57,SELL,46617.13
2023-05-16,41.1,42.92,41.1,42.17,40.07,40.16,56.11,0.35,SELL,46617.13
2023-05-18,45.0,48.54,45.0,48.37,40.66,40.67,70.14,1.13,SELL,46617.13
2023-05-19,48.29,48.64,47.19,47.86,41.05,41.00,68.16,1.47,BUY,46617.13
2023-05-26,52.73,58.77,52.685,58.13,43.99,42.44,79.02,3.16,SELL,56620.11
2023-07-13,77.8,80.39,77.0,79.55,72.16,60.84,70.35,3.46,SELL,56620.11
2023-07-17,79.65,82.58,79.07,81.5,72.58,62.48,71.61,4.04,SELL,56620.11
2023-07-18,81.04,84.6,79.46,83.76,73.00,63.34,73.94,4.44,SELL,56620.11
2023-08-18,59.2,62.2863,58.95,61.56,73.34,73.44,33.93,-2.70,SELL,56620.11
2023-11-15,85.83,85.83,83.28,84.76,67.97,67.64,72.17,4.46,BUY,56620.11
2023-12-13,94.93,98.3827,94.053,97.3,88.22,75.61,72.38,4.63,SELL,64996.83
2023-12-14,97.6,99.34,94.6,97.44,88.86,76.28,72.52,4.93,SELL,64996.83
2023-12-15,97.33,101.24,97.33,99.96,89.53,77.00,74.88,5.31,SELL,64996.83
2023-12-18,100.29,104.2299,99.93,103.23,90.34,77.71,77.58,5.80,SELL,64996.83
2023-12-19,103.45,105.37,103.3262,105.27,91.07,78.45,79.09,6.29,SELL,64996.83
2024-01-19,113.58,119.17,111.94,118.95,103.82,94.23,72.11,4.94,SELL,64996.83
2024-05-29,136.11,140.19,136.0,138.37,128.20,127.56,60.89,4.32,BUY,64996.83
2024-06-14,154.94,157.76,153.59,156.54,136.92,127.61,73.15,5.71,SELL,73518.56
2024-06-17,158.13,165.15,155.01,162.69,138.37,128.20,76.34,6.99,SELL,73518.56
2024-07-05,183.85,189.07,181.92,188.82,157.37,138.47,79.25,11.34,SELL,73518.56
2024-08-06,101.83,106.94,97.4616,102.4,148.93,151.32,29.58,-13.79,SELL,73518.56
2024-10-01,147.17,147.17,134.95,138.41,129.46,128.39,53.75,4.64,BUY,73518.56
2025-01-16,164.25,164.33,157.48,157.48,168.56,169.04,44.85,-4.64,SELL,83644.73
2025-02-13,187.13,194.71,186.38,194.56,174.87,174.13,61.57,4.28,BUY,83644.73
2025-03-05,130.62,136.36,125.29,135.76,168.34,168.68,37.31,-10.85,SELL,58419.53
2025-04-04,78.35,80.2151,67.68,69.06,112.54,144.42,26.48,-14.15,BUY,58419.53
2025-04-07,59.39,80.9599,57.0,70.45,110.80,142.20,27.41,-15.85,BUY,59594.08
2025-04-08,80.52,83.0,62.4,66.07,108.70,140.32,26.28,-17.35,BUY,55892.98
2025-05-15,139.85,143.53,136.3885,140.7,105.25,104.83,69.51,9.57,BUY,118955.33
2025-06-25,171.52,173.47,168.0,169.98,150.88,128.67,70.42,8.81,SELL,143696.93
2025-06-26,173.27,175.36,170.68,174.72,152.69,130.63,72.72,9.62,SELL,143696.93
2025-08-12,206.98,211.91,200.77,211.2,189.14,173.33,70.24,7.62,SELL,143696.93
