Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2021-11-05,78.25,94.97,77.1,93.6,69.19,65.51,76.12,4.34,SELL,10000.00
2021-12-15,63.24,64.95,60.18,63.86,73.43,73.44,39.15,-3.39,SELL,10000.00
2022-05-06,25.24,25.24,21.17,23.73,34.68,36.99,28.35,-3.18,BUY,10000.00
2022-05-09,22.95,23.66,19.9,19.93,33.73,36.53,24.72,-3.87,BUY,8400.20
2022-07-07,26.96,28.68,26.96,28.65,22.72,22.43,67.90,1.22,BUY,12071.32
2022-08-05,31.35,34.31,31.12,33.73,26.21,24.10,72.00,1.61,SELL,14210.00
2022-09-13,27.05,27.59,26.42,26.58,27.52,27.70,46.88,-0.45,SELL,14210.00
2023-02-02,25.0,27.52,25.0,27.08,21.87,21.93,70.42,0.91,SELL,14210.00
2023-02-03,25.35,27.14,24.64,25.36,22.23,21.99,61.17,1.00,BUY,14210.00
2023-03-21,22.0,23.42,21.92,23.15,23.64,23.72,47.99,-0.59,SELL,12972.40
2023-04-26,22.0,23.37,21.94,22.82,23.57,23.56,47.53,-0.02,BUY,12972.40
2023-05-11,23.09,23.78,22.65,23.6,22.93,22.96,53.72,-0.13,SELL,13415.44
2023-05-17,24.5,26.83,24.5,26.79,22.89,22.87,64.83,0.40,BUY,13415.44
2023-07-19,38.51,41.2235,38.45,39.27,35.23,32.59,70.17,1.42,SELL,19655.44
2023-08-15,33.23,33.71,32.84,33.16,34.83,35.01,44.48,-0.36,SELL,19655.44
2023-11-02,15.95,16.48,14.69,16.28,28.56,30.27,20.84,-1.70,BUY,19655.44
2023-11-03,16.97,18.57,16.92,17.75,27.96,29.98,26.10,-2.28,BUY,21429.73
2023-12-26,24.01,24.38,23.91,24.21,23.38,23.05,55.45,0.61,BUY,29226.95
2024-01-30,23.32,23.69,22.69,23.01,22.40,22.41,52.66,-0.03,SELL,27778.55
2024-02-09,33.07,33.125,31.29,31.72,23.72,23.44,77.10,1.47,SELL,27778.55
2024-04-10,29.19,30.07,29.11,29.6,30.53,30.68,43.41,-0.40,SELL,27778.55
2024-04-19,27.42,27.52,26.525,26.89,29.39,31.35,29.74,-0.88,BUY,27778.55
2024-05-21,31.63,31.84,30.95,31.54,29.88,29.87,58.03,0.69,BUY,32582.00
2024-06-11,26.45,26.47,25.7,25.86,28.91,28.92,35.36,-1.13,SELL,26714.56
2024-08-01,22.07,23.0,20.51,20.63,25.52,27.01,27.98,-1.14,BUY,26714.56
2024-08-02,19.77,19.96,18.79,19.285,25.02,26.77,25.03,-1.47,BUY,24974.13
2024-08-05,17.99,19.35,17.79,18.67,24.49,26.50,23.80,-1.76,BUY,24177.71
2024-10-21,22.4,22.92,21.93,22.17,20.79,20.74,59.55,0.53,BUY,28710.21
2024-10-31,27.61,28.95,25.55,26.17,22.10,20.94,77.42,0.84,SELL,33890.21
2024-11-01,25.93,26.66,25.24,26.22,22.38,21.04,77.56,1.05,SELL,33890.21
2024-11-04,26.0,26.815,25.9,26.63,22.72,21.14,78.78,1.23,SELL,33890.21
2024-11-25,32.22,33.26,32.21,32.23,27.56,23.58,78.07,2.09,SELL,33890.21
2025-01-14,27.35,27.58,26.98,27.21,29.15,29.39,39.38,-0.54,SELL,33890.21
2025-02-12,33.0,37.9,32.33,37.65,29.49,29.85,75.39,1.00,SELL,33890.21
2025-02-14,36.1,36.25,34.81,34.85,30.31,30.03,63.30,1.49,BUY,33890.21
2025-03-17,26.36,27.6,26.16,27.2,29.50,29.55,44.04,-1.28,SELL,26454.40
2025-04-03,22.17,22.57,21.05,21.2,25.55,28.86,29.71,-1.65,BUY,26454.40
2025-04-04,20.0,20.4276,18.705,20.17,25.23,28.70,27.52,-1.89,BUY,25170.00
2025-04-07,18.79,21.31,18.26,20.39,25.03,28.53,28.73,-2.04,BUY,25444.34
2025-06-04,23.46,23.91,23.36,23.74,22.40,22.18,59.59,0.27,BUY,29621.78
2025-07-03,25.65,26.7,25.63,26.3,24.30,23.07,70.91,0.63,SELL,32814.10
2025-07-25,26.7,27.66,26.65,27.35,25.38,24.12,71.36,0.66,SELL,32814.10
2025-07-31,18.25,19.12,17.51,17.725,25.29,24.34,21.80,-0.03,BUY,32814.10
2025-08-01,17.53,17.56,16.56,17.2,24.83,24.25,20.94,-0.64,BUY,31842.33
2025-08-04,17.445,17.5,16.72,17.12,24.40,24.15,20.80,-1.12,BUY,31694.25
2025-08-05,17.21,17.69,16.95,17.15,23.98,24.06,21.01,-1.48,SELL,31749.78
