Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2015-06-15,41.16,41.52,39.6,41.4,50.51,54.92,27.63,-2.86,BUY,10000.00
2015-06-16,35.16,41.04,35.16,39.0,49.93,54.36,24.93,-3.39,BUY,9421.60
2015-06-17,39.6,39.6,36.0,36.0,49.09,53.77,22.03,-4.01,BUY,8698.60
2015-07-29,46.8,50.04,41.04,46.56,45.31,45.22,53.66,0.41,BUY,11243.56
2015-08-20,35.88,35.88,35.88,35.88,41.43,41.77,33.88,-1.83,SELL,8669.68
2015-08-25,36.0,36.12,30.72,31.56,40.04,41.40,29.75,-2.37,BUY,8669.68
2015-08-26,31.68,31.8,21.84,24.36,38.93,41.16,22.23,-3.26,BUY,6696.88
2015-08-27,26.28,26.4,24.36,25.2,38.24,40.88,24.62,-3.85,BUY,6927.04
2015-10-15,38.4,39.24,37.32,37.32,33.81,33.55,56.05,1.11,BUY,10247.92
2015-11-17,32.16,32.16,32.16,32.16,33.41,33.52,45.83,-0.84,SELL,8834.08
2015-12-11,25.2,25.44,24.36,24.36,26.77,31.24,28.96,-1.99,BUY,8834.08
2016-02-03,25.2,26.4,25.08,26.4,24.37,24.29,62.14,0.19,BUY,9572.56
2016-02-17,32.16,33.0,32.16,33.0,26.59,24.88,75.72,1.67,SELL,11961.76
2016-04-15,35.16,35.16,35.16,35.16,34.42,34.57,51.94,0.10,SELL,11961.76
2016-05-06,34.8,34.8,29.76,29.76,34.50,35.22,27.40,-0.65,BUY,11961.76
2016-05-19,28.8,28.8,24.0,25.44,32.17,33.91,26.26,-1.71,BUY,10229.44
2016-06-16,15.6,15.72,15.6,15.6,19.82,27.83,21.22,-3.54,BUY,6273.76
2016-06-27,12.0,13.2,12.0,12.48,16.12,24.82,19.00,-3.44,BUY,5019.52
2016-08-04,21.12,40.2,21.12,29.28,16.25,16.54,80.53,0.77,SELL,11773.12
2016-10-10,23.04,23.04,21.72,22.44,24.10,24.23,42.05,-0.29,SELL,11773.12
2016-10-26,26.28,28.32,25.92,28.08,23.18,23.79,72.62,0.44,SELL,11773.12
2016-11-07,26.04,26.04,24.36,25.2,24.28,24.26,53.47,0.61,BUY,11773.12
2016-11-17,32.4,34.92,31.44,34.8,27.10,25.02,80.46,1.98,SELL,16256.32
2017-01-11,28.8,28.8,27.96,28.2,28.37,28.43,47.46,0.15,SELL,16256.32
2017-01-26,28.8,29.88,28.32,29.04,28.58,28.53,56.16,0.13,BUY,16256.32
2017-02-01,27.0,27.48,26.88,26.88,28.39,28.40,36.06,-0.17,SELL,15048.88
