Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2021-07-20,216.71,226.89,213.23,224.96,238.00,236.69,42.64,-3.85,BUY,10000.00
2021-09-28,229.68,232.51,227.52,229.84,249.51,249.91,36.76,-6.11,SELL,10214.72
2021-10-18,275.74,296.98,271.5,293.34,245.08,252.10,72.79,6.92,SELL,10214.72
2021-10-19,300.0,307.85,294.1101,305.63,248.44,252.82,75.99,10.17,SELL,10214.72
2021-10-21,311.96,317.18,298.0,300.01,255.21,254.42,67.90,14.46,BUY,10214.72
2021-12-13,252.14,256.5,244.8,251.37,299.64,302.88,33.50,-14.66,SELL,8560.96
2022-01-21,209.98,210.19,186.86,191.97,237.27,267.30,25.21,-14.88,BUY,8560.96
2022-01-24,173.18,191.86,162.51,191.48,232.83,264.22,25.09,-16.43,BUY,8539.40
2022-01-25,185.16,193.12,177.15,185.63,229.05,261.09,23.58,-17.93,BUY,8282.00
2022-05-06,112.5,112.5,100.25,103.74,133.94,160.98,29.51,-14.90,BUY,4678.84
2022-05-09,96.0,96.43,81.78,83.51,130.42,158.84,24.06,-17.08,BUY,3768.49
2022-05-10,87.0,89.38,70.19,72.99,126.58,156.37,21.81,-19.42,BUY,3295.09
2022-05-11,54.85,61.28,50.15,53.72,121.52,153.56,18.41,-22.58,BUY,2427.94
2022-08-02,60.91,69.59,60.8,67.23,60.82,60.47,55.26,1.14,BUY,3035.89
2022-08-05,86.58,98.87,86.52,93.05,65.49,61.48,70.50,5.77,SELL,4197.79
2022-08-08,97.84,103.55,93.8096,98.02,67.69,61.94,72.63,7.35,SELL,4197.79
2022-09-14,75.3,79.2,74.11,78.7,71.37,71.54,55.84,0.71,SELL,4197.79
2022-10-28,72.0,73.72,69.35,72.07,69.13,69.06,54.07,0.58,BUY,4197.79
2022-11-01,69.0,69.71,63.13,63.29,68.59,68.80,42.99,-0.24,SELL,3688.55
2022-11-09,47.09,49.6899,44.62,45.98,63.99,67.19,29.60,-4.30,BUY,3688.55
2023-01-23,55.0,56.69,53.21,55.96,42.33,42.18,68.26,3.73,BUY,4486.95
2023-02-02,68.46,85.54,68.31,81.46,52.67,44.34,78.43,6.87,SELL,6526.95
2023-03-21,76.24,85.05,75.77,83.99,64.30,61.05,71.13,3.86,SELL,6526.95
2023-04-24,58.96,59.09,54.08,54.75,64.33,64.48,36.50,-1.18,SELL,6526.95
2023-06-27,63.8,70.3725,62.84,69.89,57.52,57.39,69.45,1.23,BUY,6526.95
2023-07-13,85.345,109.21,83.42,107.0,71.23,63.13,83.82,9.01,SELL,9978.18
2023-08-25,74.32,75.59,72.41,74.26,82.38,82.59,38.31,-3.48,SELL,9978.18
2023-11-07,86.2,89.49,84.3,89.07,77.86,77.78,65.83,2.28,BUY,9978.18
2023-11-28,122.05,129.26,119.7,128.27,96.91,83.84,86.90,10.38,SELL,14368.58
2023-12-22,169.77,178.6955,167.9,175.48,144.13,109.53,80.18,16.52,SELL,14368.58
2023-12-27,176.32,186.97,175.5,185.24,149.60,113.71,80.26,17.73,SELL,14368.58
2024-01-30,136.05,136.7,130.44,130.82,137.69,139.73,45.25,-5.35,SELL,14368.58
2024-02-16,189.05,193.64,178.8,180.31,134.89,145.05,72.19,6.39,SELL,14368.58
2024-02-27,205.18,209.94,192.09,199.22,150.54,149.45,70.61,13.38,BUY,14368.58
2024-03-25,261.0,283.48,260.25,279.71,237.75,179.34,70.89,23.43,SELL,20163.86
2024-05-01,199.0,218.52,198.2,210.09,230.70,232.01,43.40,-5.55,SELL,20163.86
2024-06-10,241.11,253.43,239.53,249.81,229.43,229.36,57.47,7.28,BUY,20163.86
2024-07-12,215.34,222.15,214.57,218.02,226.56,226.90,44.26,-3.98,SELL,17620.66
2024-07-23,263.6,272.55,257.2903,257.63,232.10,231.54,59.53,6.52,BUY,17620.66
2024-08-01,226.6,227.1,207.82,212.64,234.44,234.74,40.81,-1.22,SELL,14561.34
2024-09-06,163.24,164.15,146.12,147.35,190.28,211.72,26.93,-14.09,BUY,14561.34
2024-10-21,215.4,216.86,208.13,213.72,181.86,180.76,65.34,9.05,BUY,21065.60
2024-11-08,257.67,273.5,257.15,270.74,211.78,184.92,71.51,14.82,SELL,26653.56
2024-11-11,300.3,334.86,296.0,324.24,218.18,187.74,79.03,21.88,SELL,26653.56
2024-11-12,310.05,327.0,306.1,319.13,224.32,190.74,76.94,26.75,SELL,26653.56
2025-01-10,257.77,261.8699,248.05,258.78,279.36,281.14,43.73,-7.31,SELL,26653.56
2025-05-07,199.82,200.4831,193.81,196.56,190.41,190.29,52.22,3.43,BUY,26653.56
2025-05-13,231.71,260.42,231.49,256.9,198.97,190.83,74.67,8.37,SELL,34799.46
2025-05-14,256.86,264.49,253.55,263.41,203.36,191.85,76.03,12.11,SELL,34799.46
2025-05-16,249.76,270.45,248.83,266.46,211.55,193.34,70.41,16.01,SELL,34799.46
2025-06-20,303.58,310.75,298.1,308.38,259.84,232.44,71.21,13.87,SELL,34799.46
2025-06-24,314.39,348.97,311.9,344.82,265.98,238.45,77.91,20.05,SELL,34799.46
2025-06-25,360.595,369.28,343.62,355.37,271.04,242.04,79.45,24.02,SELL,34799.46
2025-06-26,354.53,382.0,354.53,375.07,277.35,246.10,81.97,28.42,SELL,34799.46
2025-08-19,320.69,322.59,301.45,302.07,339.13,340.19,36.04,-11.59,SELL,34799.46
