Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2021-12-29,2.71,3.46,2.57,3.26,1.86,2.36,77.38,-0.01,SELL,10000.00
2021-12-31,2.83,3.76,2.79,3.63,2.01,2.37,74.21,0.17,SELL,10000.00
2022-01-13,2.05,2.08,1.7402,1.77,2.27,2.25,41.78,0.00,BUY,10000.00
2022-01-28,1.37,1.4,1.3019,1.35,1.90,1.98,37.68,-0.24,SELL,7627.42
2022-04-05,1.41,1.44,1.37,1.37,1.44,1.44,45.91,0.00,BUY,7627.42
2022-04-07,1.46,1.462,1.3,1.34,1.44,1.44,44.96,-0.01,SELL,7460.41
2022-04-08,1.46,1.49,1.31,1.33,1.44,1.44,44.52,-0.02,BUY,7460.41
2022-04-14,1.24,1.24,1.15,1.21,1.41,1.42,39.85,-0.05,SELL,6787.33
2022-05-11,0.83,0.8626,0.75,0.7654,1.05,1.25,20.41,-0.12,BUY,6787.33
2022-06-09,1.54,1.79,1.54,1.58,1.13,1.13,76.44,0.12,BUY,14010.39
2022-08-19,1.4,1.46,1.31,1.4,1.49,1.50,42.11,-0.02,SELL,12414.33
2022-09-23,1.05,1.05,0.96,0.9976,1.16,1.37,28.85,-0.09,BUY,12414.33
2022-10-13,0.92,0.9766,0.89,0.9,1.03,1.22,27.98,-0.07,BUY,11199.79
2022-12-07,0.7474,0.7483,0.7201,0.7211,0.82,0.89,28.42,-0.04,BUY,8973.56
2023-01-11,0.96,1.0,0.95,0.95,0.83,0.83,65.59,0.02,BUY,11821.99
2023-01-12,0.97,1.09,0.95,1.01,0.84,0.83,70.58,0.03,SELL,12568.63
2023-03-03,0.8302,0.9,0.8302,0.88,0.93,0.93,44.05,-0.03,SELL,12568.63
2023-06-02,0.54,0.595,0.4707,0.4999,0.61,0.71,28.07,-0.05,BUY,12568.63
2023-06-05,0.52,0.52,0.4892,0.49,0.60,0.70,27.21,-0.05,BUY,12319.73
2023-07-21,0.4218,0.435,0.406,0.406,0.47,0.52,27.22,-0.03,BUY,10207.80
2023-08-21,0.3507,0.3686,0.3303,0.3467,0.40,0.44,29.68,-0.02,BUY,8716.88
2023-08-23,0.3303,0.335,0.3101,0.3166,0.39,0.44,24.67,-0.03,BUY,7960.11
2023-10-19,0.35,0.3821,0.319,0.3389,0.34,0.34,48.64,0.01,BUY,8520.77
2023-10-27,2.6,2.6,2.0701,2.2,0.44,0.37,94.08,0.15,SELL,55312.55
2023-10-31,1.48,2.76,1.48,1.95,0.57,0.42,72.78,0.28,SELL,55312.55
2023-12-26,1.14,1.1499,1.08,1.12,1.31,1.33,37.37,-0.08,SELL,55312.55
2024-02-20,3.02,9.4,2.61,7.19,1.52,1.29,93.90,0.60,SELL,55312.55
2024-02-21,4.85,9.67,4.81,6.22,1.77,1.39,81.31,0.87,SELL,55312.55
2024-04-10,2.08,2.36,2.05,2.2,2.60,2.63,42.87,-0.18,SELL,55312.55
2024-05-09,3.53,4.3,2.78,3.12,1.78,2.34,74.41,-0.06,SELL,55312.55
2024-10-08,1.2,1.2,1.12,1.16,1.17,1.17,48.20,0.02,BUY,55312.55
2024-11-27,1.12,1.16,1.12,1.15,1.20,1.21,44.62,-0.02,SELL,54835.72
2025-01-06,1.28,1.62,1.27,1.52,1.14,1.17,73.50,0.04,SELL,54835.72
2025-01-24,1.09,1.12,1.07,1.1,1.15,1.15,47.39,-0.02,BUY,54835.72
2025-01-30,0.99,0.99,0.9208,0.9262,1.13,1.13,35.75,-0.03,SELL,46171.79
2025-01-31,0.95,0.9775,0.61,0.67,1.11,1.12,25.42,-0.06,BUY,46171.79
2025-06-02,0.5821,0.5861,0.572,0.58,0.58,0.58,48.66,-0.00,BUY,39969.62
2025-06-17,0.55,0.57,0.5444,0.5444,0.58,0.58,39.97,-0.01,SELL,37516.32
2025-07-09,0.66,0.8353,0.6202,0.695,0.57,0.58,71.19,0.01,SELL,37516.32
2025-07-31,0.72,1.95,0.71,1.61,0.75,0.64,82.06,0.11,SELL,37516.32
