Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2017-02-01,17.5,18.37,17.01,17.22,20.45,20.55,31.34,-0.86,SELL,10000.00
2017-02-28,20.16,24.0,19.25,23.73,17.16,19.30,72.47,0.38,SELL,10000.00
2017-03-10,21.62,23.37,21.03,21.15,19.59,19.49,56.07,0.99,BUY,10000.00
2017-04-20,17.36,17.8,17.11,17.29,19.52,19.59,35.86,-0.45,SELL,8178.08
2017-05-30,15.04,15.39,13.9,14.24,16.07,17.66,26.11,-0.79,BUY,8178.08
2017-05-31,14.01,14.2,13.5,13.62,15.94,17.56,22.87,-0.88,BUY,7822.20
2017-07-10,15.99,16.2,15.67,16.03,15.72,15.64,53.23,0.16,BUY,9205.54
2017-08-30,19.91,20.92,19.91,20.66,18.85,17.57,71.89,0.68,SELL,11863.16
2017-10-02,18.09,18.95,17.52,18.39,18.66,18.66,48.51,-0.29,SELL,11863.16
2017-12-07,18.79,19.385,18.55,19.14,18.75,18.74,53.53,0.06,BUY,11863.16
2017-12-29,21.42,25.0,21.42,23.48,19.66,19.11,75.30,0.83,SELL,14549.62
2018-01-02,24.0,27.39,24.0,25.17,20.25,19.30,80.34,1.23,SELL,14549.62
2018-01-22,31.0,34.18,30.56,33.75,26.09,21.87,79.12,2.71,SELL,14549.62
2018-01-23,36.34,39.19,34.77,38.78,26.97,22.29,84.60,3.34,SELL,14549.62
2018-01-25,37.72,41.57,37.48,40.45,28.75,23.13,81.82,4.16,SELL,14549.62
2018-01-29,39.45,44.65,39.01,44.39,30.59,24.06,82.40,4.93,SELL,14549.62
2018-02-26,43.75,49.72,43.51,48.34,39.91,32.41,71.68,3.10,SELL,14549.62
2018-04-23,54.0,54.45,48.5,49.6,48.17,48.43,49.98,1.53,SELL,14549.62
2018-05-03,48.39,48.99,47.57,47.77,49.72,49.61,47.36,-0.08,BUY,14549.62
2018-05-17,57.69,65.99,57.2,65.4,51.75,50.82,76.41,2.70,SELL,19909.14
2018-07-10,63.4,64.23,61.84,62.21,61.46,61.56,50.94,0.00,SELL,19909.14
2018-09-19,52.75,53.97,51.26,51.89,52.26,51.98,49.41,0.29,BUY,19909.14
2018-10-02,42.1,42.99,39.19,39.72,48.87,49.31,31.13,-2.44,SELL,15248.03
2018-10-24,35.0,36.0,31.6,31.81,38.17,45.75,28.41,-3.29,BUY,15248.03
2018-10-29,33.02,33.62,30.55,31.28,36.36,44.73,29.96,-3.47,BUY,14994.16
2018-12-10,35.06,36.14,34.12,35.3,36.18,36.17,45.69,-0.17,BUY,16919.74
2018-12-17,32.34,33.75,31.29,31.58,35.73,35.74,36.04,-0.87,SELL,15137.86
2018-12-21,27.49,27.49,22.22,22.73,34.23,34.94,21.18,-2.50,BUY,15137.86
2019-01-25,32.44,33.23,31.81,33.2,33.25,33.01,50.23,0.52,BUY,22100.41
2019-02-25,34.95,40.05,34.0,39.65,32.01,31.46,71.14,0.40,SELL,26389.66
2019-06-03,35.49,36.72,35.05,35.99,38.02,38.03,41.32,-0.68,SELL,26389.66
2019-06-13,43.65,44.5,43.04,44.26,38.90,38.85,67.88,1.30,BUY,26389.66
2019-07-26,50.0,52.09,49.76,51.92,48.82,44.29,70.17,1.55,SELL,30955.02
2019-08-28,44.5,46.29,43.9512,46.09,47.86,48.00,44.37,-0.50,SELL,30955.02
2019-10-01,41.06,41.7,38.45,38.53,46.03,47.30,26.03,-1.54,BUY,30955.02
2019-10-29,45.0,49.0,44.8,48.92,39.32,43.46,72.00,0.07,SELL,39298.19
2019-10-30,49.14,52.28,49.11,52.04,39.96,43.52,76.30,0.91,SELL,39298.19
2019-11-11,50.22,51.39,49.0301,50.91,44.57,44.00,65.97,2.36,BUY,39298.19
2019-11-19,62.0,74.0,61.54,68.46,50.42,45.46,85.54,4.72,SELL,52829.24
2020-01-14,58.79,60.33,57.6006,59.68,62.97,63.17,41.64,-1.14,SELL,52829.24
2020-01-24,56.75,57.0014,53.9,54.75,59.47,64.05,29.21,-1.79,BUY,52829.24
2020-01-27,52.5,54.68,52.0,53.59,59.06,63.96,26.86,-2.04,BUY,51711.00
2020-03-12,39.99,41.61,38.0,38.12,51.16,54.69,25.04,-3.36,BUY,36797.92
2020-03-16,34.22,36.84,32.3,33.68,49.15,53.72,21.18,-4.60,BUY,32513.32
2020-04-27,53.99,56.38,53.75,55.0,47.04,46.64,67.22,2.55,BUY,53087.12
2020-05-11,54.62,63.0,54.0,61.29,52.04,46.49,72.36,2.38,SELL,59156.97
2020-06-23,74.0,79.92,73.4,75.37,65.10,59.93,70.92,2.90,SELL,59156.97
2020-07-07,84.36,93.99,83.705,91.41,72.33,65.24,79.13,5.73,SELL,59156.97
2020-09-09,82.69,86.49,81.92,85.25,89.62,89.88,45.11,-1.35,SELL,59156.97
2020-10-14,103.91,110.719,100.75,101.37,89.10,88.92,66.08,3.66,BUY,59156.97
2020-11-30,124.01,127.6503,119.36,126.92,106.13,98.18,77.86,6.00,SELL,74052.62
2020-12-01,129.97,134.5,128.2528,129.58,108.26,98.99,79.31,6.95,SELL,74052.62
2020-12-02,128.71,132.11,125.218,131.54,110.07,99.93,80.33,7.78,SELL,74052.62
2020-12-03,131.61,147.8179,130.35,140.46,111.92,101.07,84.16,9.05,SELL,74052.62
2020-12-04,141.43,151.11,138.18,147.54,114.17,102.34,86.42,10.50,SELL,74052.62
2020-12-18,150.25,151.87,147.0,148.61,136.37,114.52,70.60,11.42,SELL,74052.62
2021-01-07,169.39,195.89,169.39,194.43,160.57,133.16,76.62,10.04,SELL,74052.62
