Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2019-10-23,16.62,16.95,15.35,15.74,18.74,21.33,28.99,-0.98,BUY,10000.00
2019-11-13,26.44,27.81,24.335,26.17,20.73,20.73,69.84,1.21,BUY,16623.05
2020-02-13,31.37,32.37,30.9925,31.73,30.83,30.99,54.15,-0.05,SELL,20153.65
2020-03-16,22.13,23.18,21.01,23.08,29.50,30.69,29.65,-1.39,BUY,20153.65
2020-04-22,29.45,29.5,27.67,27.85,29.00,28.96,46.34,0.22,BUY,24317.86
2020-05-12,32.55,37.99,32.11,36.88,29.97,28.83,70.49,1.06,SELL,32201.05
2020-06-18,38.41,43.36,38.41,42.95,38.22,34.08,72.21,1.52,SELL,32201.05
2020-09-18,49.21,51.435,48.66,51.04,47.53,44.09,70.53,1.65,SELL,32201.05
2020-09-21,49.65,52.32,48.561,52.03,47.86,44.30,73.09,1.81,SELL,32201.05
2020-10-05,51.64,53.41,51.47,53.19,50.17,46.15,71.01,1.57,SELL,32201.05
2020-11-09,50.42,51.64,47.78,47.78,50.06,50.19,43.29,-0.29,SELL,32201.05
2020-12-15,61.35,62.7614,58.17,61.06,51.23,50.92,73.24,3.08,BUY,32201.05
2021-01-07,72.26,76.86,72.25,76.16,68.20,57.04,70.28,4.26,SELL,40158.75
2021-01-08,76.59,80.12,76.59,79.61,69.19,57.70,73.61,4.74,SELL,40158.75
2021-03-12,67.74,67.74,62.68,64.19,77.85,78.52,37.63,-4.63,SELL,40158.75
2021-06-08,67.72,73.32,66.73,72.8,59.32,63.65,70.68,1.03,SELL,40158.75
2021-06-16,72.42,73.33,70.07,72.13,64.30,63.69,66.78,3.08,BUY,40158.75
2021-07-30,67.84,70.65,66.995,69.85,68.52,68.60,52.84,-0.54,SELL,38891.07
2021-09-06,76.79,76.79,76.79,76.79,69.75,69.65,62.47,2.45,BUY,38891.07
2021-10-04,64.99,64.99,59.49,60.44,72.13,70.70,28.54,-2.11,BUY,30617.97
2021-10-07,64.51,66.03,64.05,65.06,70.28,70.53,40.71,-2.47,SELL,32955.69
2022-01-18,35.73,36.18,33.35,33.66,40.51,43.00,29.81,-2.18,BUY,32955.69
2022-02-16,42.64,43.43,41.43,43.16,40.71,40.53,54.97,1.22,BUY,42256.19
2022-04-07,36.05,36.9,34.72,34.95,42.11,42.50,35.83,-0.81,SELL,34218.60
2022-04-12,31.75,32.25,27.51,27.65,41.00,41.85,27.14,-2.75,BUY,34218.60
2022-05-06,21.65,21.74,20.0,21.15,24.43,35.13,28.95,-3.73,BUY,26178.10
2022-05-09,20.73,20.73,19.005,19.17,23.85,34.65,25.70,-3.82,BUY,23728.84
2022-05-11,19.87,21.27,18.085,18.1,22.96,33.56,26.82,-3.84,BUY,22405.25
2022-07-11,25.4,25.6,24.52,25.04,21.09,20.85,61.10,1.19,BUY,30990.03
2022-08-10,31.87,34.5399,30.87,34.32,27.81,23.86,70.71,2.10,SELL,42469.39
2022-09-19,26.69,27.24,25.355,25.81,28.88,28.96,36.84,-0.61,SELL,42469.39
2022-12-15,24.1,24.75,23.4,24.69,22.86,22.72,56.49,0.49,BUY,42469.39
2023-03-06,24.73,25.12,24.24,24.28,25.24,25.27,45.42,-0.51,SELL,41764.19
2023-03-10,21.25,22.04,19.4,19.47,24.17,25.18,28.21,-1.19,BUY,41764.19
