Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2023-01-13,25.357,25.357,25.357,25.357,22.01,21.70,80.30,0.56,SELL,10000.00
2023-01-17,27.8417,27.8417,27.8417,27.8417,22.54,21.77,87.17,1.02,SELL,10000.00
2023-02-16,32.02,32.02,31.9248,31.9248,29.83,25.56,70.62,1.19,SELL,10000.00
2023-02-17,32.1931,32.1931,32.1931,32.1931,30.00,25.77,71.51,1.31,SELL,10000.00
2023-03-20,35.83,36.0238,35.83,36.0238,30.37,29.24,70.58,1.17,SELL,10000.00
2023-05-18,34.1451,34.1451,34.1451,34.1451,35.62,35.67,44.28,-0.40,SELL,10000.00
2023-06-23,39.6,39.8349,39.6,39.8349,34.67,35.22,70.46,0.80,SELL,10000.00
2023-06-28,38.6044,38.6044,38.6044,38.6044,35.31,35.27,62.16,1.19,BUY,10000.00
2023-08-16,36.6372,36.6372,36.6372,36.6372,37.02,37.06,45.24,-0.16,SELL,9490.50
2023-08-18,32.5375,32.5375,32.5375,32.5375,36.62,37.06,24.74,-0.61,BUY,9490.50
2023-08-21,32.6349,32.6349,32.6349,32.6349,36.41,37.04,25.63,-0.84,BUY,9518.84
2023-08-22,32.17,32.42,32.17,32.2086,36.17,37.03,24.28,-1.04,BUY,9394.79
2023-10-18,34.8,35.22,34.8,35.0318,33.82,33.72,57.95,0.29,BUY,10216.34
2023-10-23,38.3499,38.8378,38.29,38.8378,34.43,33.72,73.94,0.81,SELL,11323.88
2023-10-24,42.569,42.57,41.7138,41.7138,34.88,33.81,80.29,1.25,SELL,11323.88
2023-10-25,42.53,43.43,42.53,42.8753,35.39,33.94,82.18,1.68,SELL,11323.88
2023-12-04,51.04,51.1074,50.4701,51.0108,45.69,40.34,70.74,2.05,SELL,11323.88
2023-12-05,51.49,53.3966,51.49,53.3966,46.20,40.75,74.57,2.44,SELL,11323.88
2023-12-06,54.49,54.49,53.4626,53.4626,46.65,41.16,74.67,2.72,SELL,11323.88
2024-02-06,51.035,51.44,51.035,51.26,50.89,51.04,51.89,-0.10,SELL,11323.88
2024-02-12,57.45,59.62,57.44,59.62,51.02,51.81,71.15,1.23,SELL,11323.88
2024-02-16,62.56,62.56,61.4855,61.4855,53.13,52.71,72.02,2.62,BUY,11323.88
2024-03-04,77.13,78.8497,76.9868,78.8497,61.88,55.76,85.55,5.56,SELL,14518.90
2024-05-01,68.64,68.64,65.07,66.3211,74.69,75.01,36.73,-1.53,SELL,14518.90
2024-06-03,80.24,80.24,79.2063,79.2063,75.59,75.41,57.22,1.43,BUY,14518.90
2024-07-03,70.77,70.77,68.9,69.861,74.13,74.32,42.15,-1.76,SELL,12808.71
2024-10-03,68.9403,69.5274,68.9403,69.5274,69.36,69.28,49.03,0.74,BUY,12808.71
2024-11-11,88.33,99.1181,88.33,99.1181,80.53,73.86,77.94,4.47,SELL,18253.39
2024-11-12,99.05,102.2252,97.42,102.2252,81.83,74.58,79.75,5.56,SELL,18253.39
2024-11-13,102.68,104.13,102.3272,102.3272,83.08,75.30,79.81,6.35,SELL,18253.39
2024-12-16,120.2287,122.52,120.2287,120.7417,110.95,93.32,70.24,6.38,SELL,18253.39
2024-12-17,120.74,121.72,120.74,121.6866,111.83,94.31,71.00,6.60,SELL,18253.39
2025-02-21,110.85,110.85,107.7702,107.7702,111.96,112.24,45.05,-1.08,SELL,18253.39
2025-04-30,106.7089,106.7089,106.7089,106.7089,98.44,98.17,61.66,2.91,BUY,18253.39
2025-07-11,132.581,133.9,132.581,133.6788,121.93,120.04,70.98,2.62,SELL,22865.25
2025-07-14,137.16,137.16,135.7292,135.94,122.75,120.54,73.20,3.30,SELL,22865.25
2025-09-05,125.969,125.969,125.9471,125.9471,129.18,129.40,46.29,-1.48,SELL,22865.25
