Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2018-03-13,4.355,4.355,4.25,4.25,4.44,4.44,46.09,-0.06,BUY,10000.00
2018-03-20,4.05,4.15,3.55,3.55,4.33,4.35,33.10,-0.11,SELL,8353.60
2018-05-30,4.27,4.62,4.2,4.49,3.93,3.92,66.13,0.11,BUY,8353.60
2018-05-31,4.8,4.8,4.32,4.78,3.98,3.94,71.58,0.15,SELL,8893.00
2018-07-10,4.06,4.06,3.67,3.81,4.16,4.16,39.34,-0.04,SELL,8893.00
2018-07-13,3.21,3.21,3.15,3.15,4.02,4.13,28.40,-0.20,BUY,8893.00
2018-07-16,3.12,3.25,3.05,3.1,3.95,4.12,27.70,-0.24,BUY,8751.85
2018-07-17,3.09,3.09,2.5,2.67,3.88,4.10,22.59,-0.30,BUY,7537.96
2018-10-08,2.3,2.3,1.77,1.79,2.54,2.75,26.97,-0.18,BUY,5053.72
2018-11-21,2.8,3.13,2.6,2.93,2.13,2.29,73.26,0.03,SELL,8271.94
2018-11-22,2.93,2.93,2.93,2.93,2.18,2.29,73.26,0.08,SELL,8271.94
2018-11-23,3.02,3.09,2.98,3.07,2.22,2.30,75.67,0.13,SELL,8271.94
2018-11-27,3.2,3.2,3.17,3.2,2.34,2.32,77.72,0.22,BUY,8271.94
2019-02-11,3.69,3.75,3.65,3.65,3.78,3.78,46.92,-0.01,SELL,9434.74
2019-02-12,3.65,3.7,3.65,3.7,3.79,3.79,48.51,-0.01,BUY,9434.74
2019-02-13,3.69,3.7,3.59,3.62,3.79,3.79,46.13,-0.02,SELL,9230.82
2019-04-10,3.85,3.9,3.65,3.77,3.61,3.61,57.78,0.05,BUY,9230.82
2019-04-17,3.17,3.7,2.95,2.95,3.59,3.57,27.05,-0.05,BUY,7223.46
2019-04-19,3.16,3.16,3.16,3.16,3.54,3.55,36.92,-0.10,SELL,7737.54
2019-06-03,3.03,3.0944,2.79,2.79,3.26,3.36,26.15,-0.11,BUY,7737.54
2019-08-06,2.92,2.93,2.74,2.74,2.86,2.86,42.57,-0.00,BUY,7598.89
2019-08-28,2.68,2.719,2.55,2.7,2.83,2.85,39.50,-0.04,SELL,7487.97
2019-12-24,1.51,1.51,1.17,1.26,1.56,1.62,24.08,-0.09,BUY,7487.97
2020-04-23,1.2,1.2,1.11,1.1581,1.10,1.10,59.87,0.02,BUY,6882.48
2020-06-01,1.03,1.0375,1.01,1.0375,1.08,1.09,43.37,-0.02,SELL,6165.88
2020-06-03,1.49,2.1,1.05,1.8,1.11,1.11,82.56,0.04,BUY,6165.88
2020-06-04,1.69,2.1,1.6321,1.7118,1.14,1.12,76.07,0.08,SELL,5863.79
2020-07-23,1.225,1.25,1.205,1.22,1.36,1.36,41.64,-0.04,SELL,5863.79
2020-10-19,1.09,2.08,1.09,1.85,1.12,1.12,84.68,0.06,SELL,5863.79
2020-10-21,1.88,2.0,1.6603,1.84,1.19,1.15,76.76,0.13,SELL,5863.79
2020-10-23,2.39,3.42,1.91,2.07,1.27,1.17,73.45,0.18,SELL,5863.79
2020-10-26,1.98,2.38,1.89,2.36,1.33,1.19,77.52,0.24,SELL,5863.79
2020-12-21,2.05,2.05,1.82,1.99,2.04,2.05,49.78,-0.06,SELL,5863.79
2021-01-14,2.3,3.3,2.23,2.695,2.05,2.08,71.28,0.09,SELL,5863.79
2021-01-20,2.1,2.12,2.0,2.04,2.08,2.07,48.80,0.04,BUY,5863.79
2021-02-17,3.71,4.85,2.75,2.88,2.10,2.04,75.62,0.10,SELL,8277.95
2021-03-15,1.95,2.02,1.91,1.99,2.08,2.08,49.18,-0.07,SELL,8277.95
2021-06-11,2.0,2.05,1.82,2.05,1.69,1.67,73.50,0.06,SELL,8277.95
2021-08-05,1.95,2.01,1.92,1.99,1.92,1.93,54.81,-0.01,SELL,8277.95
2021-08-20,2.13,2.18,2.07,2.15,2.02,2.01,61.99,0.07,BUY,8277.95
2021-10-01,2.85,3.07,2.85,3.07,2.57,2.31,71.88,0.14,SELL,11819.95
2021-10-22,3.75,4.0,3.65,4.0,3.21,2.72,81.00,0.32,SELL,11819.95
2021-10-25,4.05,4.75,3.9501,4.47,3.31,2.77,85.80,0.37,SELL,11819.95
2021-11-23,5.15,5.5992,5.09,5.56,4.27,3.56,70.76,0.37,SELL,11819.95
2021-12-21,6.1,6.4,6.071,6.39,5.11,4.49,70.64,0.43,SELL,11819.95
2021-12-22,6.42,7.14,6.42,7.13,5.22,4.57,76.07,0.53,SELL,11819.95
2021-12-23,7.56,7.7,7.15,7.65,5.35,4.66,79.01,0.64,SELL,11819.95
2022-01-24,3.71,3.738,3.06,3.12,5.05,5.21,35.80,-0.74,SELL,11819.95
2022-03-16,4.57,4.97,4.57,4.83,3.63,3.56,64.05,0.21,BUY,11819.95
2022-03-30,4.7,6.0,4.67,5.7,4.40,3.85,70.24,0.33,SELL,13948.84
2022-03-31,5.56,6.29,5.56,6.01,4.53,3.89,72.73,0.41,SELL,13948.84
2022-04-01,6.0,6.3,5.9,6.2,4.67,3.94,74.16,0.49,SELL,13948.84
2022-05-12,4.2,4.49,4.1198,4.25,4.90,4.96,41.40,-0.20,SELL,13948.84
2022-06-01,3.1,3.1,2.62,2.69,4.15,4.87,24.65,-0.35,BUY,13948.84
2022-06-02,2.78,2.8,2.66,2.68,4.05,4.83,24.57,-0.42,BUY,13896.99
2022-06-03,2.68,2.7,2.56,2.61,3.94,4.79,23.98,-0.47,BUY,13534.04
2022-06-06,2.63,2.63,2.28,2.34,3.83,4.75,21.80,-0.53,BUY,12134.09
2022-06-20,2.19,2.19,2.19,2.19,2.81,4.03,26.02,-0.56,BUY,11356.34
2022-06-28,2.05,2.105,1.92,1.96,2.28,3.56,25.27,-0.43,BUY,10163.79
2022-06-29,2.01,2.01,1.9,1.91,2.24,3.48,24.47,-0.43,BUY,9904.54
2022-06-30,1.91,1.92,1.72,1.82,2.20,3.38,23.04,-0.43,BUY,9437.89
2022-07-01,1.82,1.84,1.77,1.79,2.16,3.35,22.57,-0.42,BUY,9282.34
2022-07-04,1.79,1.79,1.79,1.79,2.13,3.30,22.57,-0.41,BUY,9282.34
2022-07-05,1.79,1.792,1.72,1.74,2.10,3.26,21.71,-0.41,BUY,9023.09
2022-07-06,1.74,1.76,1.62,1.64,2.07,3.21,20.06,-0.40,BUY,8504.59
2022-08-26,1.49,1.51,1.43,1.43,1.66,1.76,29.05,-0.08,BUY,7415.74
2022-09-21,1.25,1.25,1.1,1.16,1.33,1.54,24.38,-0.10,BUY,6015.79
2022-09-22,1.16,1.2,1.13,1.14,1.31,1.53,23.38,-0.11,BUY,5912.07
2022-09-23,1.13,1.145,1.08,1.095,1.29,1.52,21.27,-0.11,BUY,5678.70
2022-10-07,1.09,1.09,1.0,1.03,1.19,1.41,29.70,-0.09,BUY,5341.61
2022-10-13,1.01,1.02,0.9601,0.968,1.14,1.36,28.53,-0.10,BUY,5020.08
2022-11-09,0.91,0.91,0.8,0.8401,0.94,1.10,29.81,-0.07,BUY,4356.79
2022-12-14,1.05,1.08,1.05,1.05,0.96,0.95,63.64,0.02,BUY,5445.33
2022-12-15,1.07,1.13,1.07,1.115,0.97,0.95,70.13,0.03,SELL,5782.42
2022-12-16,1.08,1.24,1.07,1.21,0.98,0.96,76.68,0.04,SELL,5782.42
2023-01-23,0.985,1.0,0.9353,0.987,0.99,0.99,48.82,-0.01,SELL,5782.42
2023-03-17,0.85,0.8601,0.81,0.84,0.94,0.97,28.39,-0.03,BUY,5782.42
2023-05-09,0.8924,0.965,0.89,0.9502,0.83,0.83,57.94,0.04,BUY,6540.93
2023-06-07,0.701,0.7695,0.701,0.7501,0.79,0.80,44.76,-0.03,SELL,5163.64
2023-09-12,0.5784,0.5852,0.4707,0.531,0.69,0.71,26.12,-0.03,BUY,5163.64
2023-09-13,0.53,0.56,0.5001,0.52,0.67,0.70,25.25,-0.04,BUY,5056.67
2023-10-19,0.39,0.45,0.38,0.39,0.45,0.57,29.86,-0.04,BUY,3792.55
2023-10-20,0.38,0.3911,0.37,0.3727,0.44,0.56,27.73,-0.04,BUY,3624.33
2023-10-23,0.3601,0.3726,0.36,0.36,0.44,0.56,26.25,-0.05,BUY,3500.83
2023-10-24,0.351,0.3899,0.351,0.3561,0.43,0.55,25.79,-0.05,BUY,3462.91
2023-10-26,0.3832,0.4142,0.3312,0.34,0.42,0.53,26.57,-0.05,BUY,3306.35
2023-10-27,0.3251,0.3499,0.3125,0.3175,0.41,0.53,24.10,-0.05,BUY,3087.56
2023-10-30,0.34,0.3414,0.1403,0.2838,0.40,0.52,20.96,-0.05,BUY,2759.87
2023-10-31,0.2753,0.305,0.268,0.2713,0.39,0.51,19.93,-0.06,BUY,2638.32
2023-11-07,4.4157,4.4157,3.61,4.11,0.55,0.54,95.51,0.25,BUY,39965.83
2023-11-08,4.15,4.15,3.8,3.98,0.72,0.61,92.35,0.48,SELL,38701.71
2023-12-26,3.44,4.2835,3.44,4.0,3.21,2.31,70.11,0.32,SELL,38701.71
2023-12-27,4.2,5.64,4.186,5.01,3.31,2.40,79.14,0.43,SELL,38701.71
2023-12-28,5.01,5.4987,4.655,5.328,3.43,2.50,81.08,0.53,SELL,38701.71
2024-01-02,5.48,8.49,5.09,8.17,3.79,2.75,87.54,0.87,SELL,38701.71
2024-01-03,8.01,8.8,7.35,8.33,4.06,2.91,87.87,1.09,SELL,38701.71
2024-01-04,8.45,9.41,8.435,9.01,4.37,3.08,89.20,1.31,SELL,38701.71
2024-02-02,3.47,3.48,3.2345,3.36,3.83,3.89,44.37,-0.21,SELL,38701.71
2024-02-22,4.13,8.7,4.12,6.76,3.81,4.12,74.92,0.27,SELL,38701.71
2024-02-23,7.0,7.98,6.16,7.4,3.99,4.20,77.55,0.50,SELL,38701.71
2024-02-28,6.51,6.664,6.12,6.37,4.46,4.42,64.93,0.74,BUY,38701.71
2024-05-02,6.12,6.12,5.95,6.11,6.86,6.99,45.70,-0.24,SELL,37122.21
2024-05-21,8.2,12.98,6.8,11.36,6.88,7.08,76.32,0.66,SELL,37122.21
2024-05-22,11.71,12.59,10.51,11.71,7.15,7.15,77.34,0.91,SELL,37122.21
2024-05-23,11.62,12.5,10.09,11.3,7.40,7.22,73.35,1.07,BUY,37122.21
2024-06-04,13.02,17.5,13.02,15.67,9.41,7.82,80.11,1.68,SELL,51477.66
