Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-01-24,2.42,2.51,2.0101,2.42,3.00,3.61,19.13,-0.34,BUY,10000.00
2022-01-25,2.39,2.4,2.36,2.36,2.95,3.55,18.32,-0.35,BUY,9752.08
2022-02-18,2.35,2.36,2.27,2.28,2.41,2.87,29.46,-0.18,BUY,9421.52
2022-02-21,2.28,2.28,2.28,2.28,2.40,2.84,29.46,-0.17,BUY,9421.52
2022-02-22,2.27,2.3299,2.14,2.23,2.39,2.81,27.59,-0.17,BUY,9214.92
2022-02-23,2.1934,2.27,2.1314,2.25,2.38,2.79,29.51,-0.17,BUY,9297.56
2022-02-24,2.13,2.23,2.13,2.2199,2.37,2.76,28.30,-0.16,BUY,9173.19
2022-02-28,2.27,2.27,2.08,2.09,2.35,2.71,25.73,-0.16,BUY,8636.44
2022-03-01,2.11,2.15,2.07,2.07,2.33,2.69,25.09,-0.17,BUY,8553.80
2022-03-02,2.07,2.07,2.03,2.03,2.31,2.66,23.80,-0.17,BUY,8388.52
2022-03-04,1.95,1.95,1.87,1.91,2.27,2.61,20.20,-0.18,BUY,7892.68
2022-03-07,2.0,2.0,1.7,1.72,2.23,2.58,16.05,-0.20,BUY,7107.60
2022-04-13,1.43,1.4499,1.29,1.32,1.53,1.87,28.49,-0.13,BUY,5454.80
2022-05-10,0.92,0.94,0.89,0.9,1.09,1.40,27.63,-0.17,BUY,3719.36
2022-08-04,0.86,0.903,0.86,0.875,0.93,0.93,45.54,0.00,BUY,3616.06
2022-08-18,1.18,4.75,1.1,2.17,1.03,0.94,86.22,0.11,SELL,8967.00
2022-10-03,1.22,1.24,1.17,1.2,1.42,1.44,43.28,-0.10,SELL,8967.00
2022-12-06,1.09,1.11,0.9825,1.02,1.04,1.03,47.53,0.01,BUY,8967.00
2022-12-23,0.8,0.822,0.7356,0.822,1.00,1.00,36.00,-0.05,SELL,7226.38
2023-02-27,0.62,0.64,0.5802,0.5859,0.72,0.77,24.81,-0.04,BUY,7226.38
2023-02-28,0.58,0.59,0.5707,0.5763,0.72,0.77,24.03,-0.05,BUY,7107.99
2023-04-19,0.477,0.8498,0.4601,0.7,0.46,0.55,73.79,-0.00,SELL,8633.58
2023-05-02,0.57,0.64,0.555,0.6,0.53,0.53,56.27,0.03,BUY,8633.58
2023-06-26,0.58,0.58,0.5444,0.5459,0.58,0.59,44.15,0.00,SELL,7855.13
2023-07-06,0.5665,0.5885,0.5502,0.5799,0.58,0.58,49.53,0.00,BUY,7855.13
2023-07-14,2.99,4.15,2.99,3.68,0.74,0.64,95.36,0.24,SELL,49845.99
2023-07-17,3.68,4.37,3.6111,4.0,0.90,0.71,95.78,0.46,SELL,49845.99
2023-07-18,4.15,4.5808,3.8,4.0,1.07,0.77,95.78,0.63,SELL,49845.99
2023-09-06,2.13,2.14,2.02,2.08,2.46,2.47,38.38,-0.16,SELL,49845.99
2023-12-15,1.45,1.58,1.45,1.5,1.41,1.41,55.66,0.02,BUY,49845.99
2024-01-30,1.92,2.21,1.9126,2.15,1.90,1.62,70.83,0.11,SELL,71445.49
2024-01-31,2.15,2.2899,2.0,2.16,1.92,1.63,71.19,0.12,SELL,71445.49
2024-03-05,1.66,1.7051,1.57,1.6,1.87,1.86,27.32,-0.05,BUY,71445.49
2024-03-14,1.43,1.4668,1.3,1.3,1.72,1.86,25.63,-0.12,BUY,58049.59
2024-04-30,1.09,1.126,0.93,0.965,1.17,1.38,28.61,-0.09,BUY,43090.83
2024-06-13,1.0,1.0925,1.0,1.0925,1.13,1.13,46.48,-0.01,BUY,48784.09
2024-06-26,1.06,1.1011,0.9724,1.0489,1.10,1.10,44.97,-0.02,SELL,46837.22
2024-08-01,1.21,1.21,1.15,1.15,1.11,1.11,52.38,0.02,BUY,46837.22
2024-08-23,1.06,1.13,1.0,1.01,1.08,1.08,42.61,-0.02,SELL,41135.30
2024-08-26,1.28,1.75,1.13,1.36,1.09,1.08,69.07,0.00,BUY,41135.30
2024-08-29,1.05,1.0999,1.02,1.04,1.08,1.09,46.68,0.00,SELL,31456.58
2024-09-11,1.23,1.24,1.1621,1.195,1.11,1.10,55.01,0.03,BUY,31456.58
2024-10-14,1.11,2.66,1.11,2.49,1.23,1.16,86.07,0.09,SELL,65544.86
2024-10-15,2.62,38.49,2.47,38.49,3.09,1.91,99.36,3.05,SELL,65544.86
2024-10-16,27.63,36.0,21.5,28.8,4.47,2.46,77.84,4.56,SELL,65544.86
2024-10-18,34.6,79.02,34.0,47.21,7.79,3.80,78.57,7.54,SELL,65544.86
2024-12-19,37.26,39.49,36.0601,39.11,39.50,39.53,50.21,0.26,SELL,65544.86
2025-02-10,43.47,46.61,42.59,46.29,35.71,38.17,70.80,1.20,SELL,65544.86
2025-02-24,35.95,38.6239,35.0,35.94,38.11,37.94,43.47,0.20,BUY,65544.86
2025-03-11,31.75,34.44,31.75,33.5,36.97,36.98,43.83,-1.17,SELL,61096.74
2025-04-08,29.25,31.67,27.5,28.19,34.71,36.09,28.05,-1.35,BUY,61096.74
2025-06-27,24.92,25.61,23.175,23.27,27.37,29.56,29.04,-1.15,BUY,50435.10
2025-07-25,32.0,37.5899,32.0,35.455,27.03,27.78,74.72,0.87,SELL,76840.00
2025-07-29,34.17,35.0,32.729,34.82,27.99,27.85,69.59,1.56,BUY,76840.00
2025-08-18,41.42,45.7298,41.0001,45.55,36.12,30.49,80.61,3.72,SELL,100510.38
