Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2012-03-15,0.1635,0.1716,0.1617,0.1703,0.17,0.17,55.23,-0.00,SELL,10000.00
2012-05-22,0.167,0.1691,0.163,0.1652,0.16,0.16,59.94,0.00,BUY,10000.00
2012-06-08,0.1681,0.182,0.1681,0.1816,0.17,0.16,72.46,0.00,SELL,10992.72
2012-06-11,0.183,0.1866,0.1805,0.1806,0.17,0.16,70.43,0.00,SELL,10992.72
2012-06-12,0.1811,0.1844,0.18,0.1844,0.17,0.16,73.48,0.00,SELL,10992.72
2012-06-13,0.1831,0.1917,0.1831,0.1891,0.17,0.16,76.68,0.01,SELL,10992.72
2012-06-14,0.1889,0.1947,0.1869,0.1939,0.17,0.16,79.41,0.01,SELL,10992.72
2012-06-15,0.1938,0.1997,0.192,0.1983,0.17,0.16,81.55,0.01,SELL,10992.72
2012-08-06,0.1825,0.1878,0.1825,0.1855,0.19,0.19,48.83,-0.00,SELL,10992.72
2012-08-30,0.1991,0.1997,0.197,0.1978,0.20,0.19,55.97,0.00,BUY,10992.72
2012-09-04,0.2086,0.2164,0.2041,0.2152,0.20,0.19,72.57,0.00,SELL,11959.71
2012-09-05,0.2142,0.2191,0.2125,0.2172,0.20,0.20,73.90,0.01,SELL,11959.71
2012-09-06,0.218,0.226,0.2174,0.2213,0.20,0.20,76.41,0.01,SELL,11959.71
2012-10-31,0.2088,0.2102,0.2011,0.2047,0.22,0.22,33.05,-0.00,SELL,11959.71
2012-11-14,0.1999,0.1999,0.1913,0.193,0.21,0.22,29.68,-0.01,BUY,11959.71
2012-11-15,0.1922,0.1969,0.1908,0.1928,0.20,0.22,29.51,-0.01,BUY,11947.32
2012-12-04,0.2139,0.2213,0.2124,0.2211,0.20,0.21,71.14,0.00,SELL,13700.99
2012-12-18,0.2049,0.2095,0.2049,0.2078,0.21,0.21,49.48,0.00,BUY,13700.99
2013-01-25,0.2339,0.243,0.2322,0.2422,0.23,0.21,75.53,0.01,SELL,15969.08
2013-04-30,0.2472,0.258,0.2466,0.2564,0.25,0.25,58.17,-0.00,SELL,15969.08
2013-05-02,0.2695,0.2875,0.2677,0.282,0.25,0.25,72.93,0.00,SELL,15969.08
