Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-10-15,38.17,39.3487,37.26,37.96,36.73,36.72,53.74,-0.16,BUY,10000.00
2024-11-11,46.4,49.53,46.3,49.37,38.71,37.02,75.60,1.62,SELL,13000.83
2024-11-12,47.92,48.5699,47.18,48.19,39.22,37.27,71.49,2.11,SELL,13000.83
2024-12-04,54.56,57.155,54.45,57.05,48.14,41.48,72.06,3.84,SELL,13000.83
2024-12-06,57.48,60.0,57.37,59.5,49.81,42.26,73.17,4.30,SELL,13000.83
2025-01-17,50.17,51.7,49.89,51.56,49.85,50.13,52.90,-0.45,SELL,13000.83
2025-03-03,34.6,34.6,30.75,31.13,37.83,44.75,27.28,-3.34,BUY,13000.83
2025-03-10,30.97,30.97,26.56,27.4,35.70,42.62,24.75,-3.64,BUY,11445.42
2025-04-07,22.01,23.95,21.855,22.61,28.02,34.11,27.53,-2.36,BUY,9447.99
2025-04-08,23.16,23.21,21.29,21.41,27.66,33.62,25.59,-2.64,BUY,8947.59
2025-05-09,34.35,34.96,33.35,34.21,26.04,27.35,72.85,0.74,SELL,14285.19
2025-05-12,37.5,37.7,35.6,36.07,26.70,27.42,75.82,1.33,SELL,14285.19
2025-05-13,37.25,40.07,37.05,39.47,27.47,27.59,80.10,2.04,SELL,14285.19
2025-05-14,38.3,38.4,37.4,38.14,28.20,27.73,74.54,2.48,BUY,14285.19
2025-07-16,46.5,49.64,46.44,49.64,38.63,37.82,76.92,2.43,SELL,18586.19
2025-08-08,57.37,59.62,57.28,59.6,52.91,43.80,71.06,3.79,SELL,18586.19
2025-08-11,61.33,63.92,61.29,62.42,53.83,44.30,74.32,4.16,SELL,18586.19
2025-08-12,64.73,66.3,63.82,66.26,54.92,44.88,77.96,4.71,SELL,18586.19
2025-08-13,69.07,69.63,67.67,69.47,55.91,45.50,80.45,5.34,SELL,18586.19
