Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2015-11-27,41.85,45.0,40.05,44.85,46.87,46.77,47.77,-1.37,BUY,10000.00
2015-12-07,42.0,42.9,39.3,41.1,45.86,46.05,42.70,-1.44,SELL,9167.50
2016-01-13,30.0,31.5,24.0,24.45,38.31,42.49,25.43,-3.02,BUY,9167.50
2016-02-01,27.0,56.25,26.85,52.8,29.91,36.60,75.13,-1.40,SELL,19770.40
2016-02-16,40.65,41.7,37.95,39.75,37.42,37.07,51.15,2.40,BUY,19770.40
2016-03-02,71.1,76.5,61.5,61.65,45.74,38.76,72.02,4.40,SELL,30654.70
2016-04-08,54.15,57.0,54.0,54.9,48.06,48.70,61.86,0.15,SELL,30654.70
2016-05-04,51.45,56.1,48.0,55.5,50.89,50.88,62.03,0.83,BUY,30654.70
2016-05-05,55.5,55.5,48.0,49.2,50.72,51.03,48.24,0.62,SELL,27177.10
2016-05-25,50.7,60.0,49.5,56.1,48.68,48.67,66.12,0.34,BUY,27177.10
2016-06-23,45.15,46.35,43.2,44.25,49.16,49.20,39.11,-1.27,SELL,21441.70
2016-07-28,34.5,34.5,30.15,31.95,36.57,43.47,22.93,-2.26,BUY,21441.70
2016-07-29,31.65,32.55,30.3,30.3,36.17,43.14,20.10,-2.54,BUY,20334.55
2016-08-01,35.4,45.0,30.45,31.35,35.81,42.78,26.33,-2.64,BUY,21039.10
2016-08-02,30.75,33.15,29.4,30.9,35.43,42.37,25.42,-2.73,BUY,20737.15
2016-08-11,30.3,31.35,25.5,27.45,33.40,39.01,23.94,-2.59,BUY,18422.20
2016-09-12,26.4,34.35,23.85,25.2,26.62,31.06,29.66,-1.50,BUY,16912.45
2016-09-13,27.9,27.9,23.25,23.4,26.39,30.75,23.61,-1.63,BUY,15704.65
2016-09-14,23.55,23.7,22.05,23.25,26.18,30.49,23.19,-1.73,BUY,15604.00
2016-09-15,23.25,23.25,21.75,22.5,25.94,30.20,21.14,-1.84,BUY,15100.75
2016-09-16,22.65,22.65,19.65,21.9,25.72,29.91,19.65,-1.96,BUY,14698.15
2016-11-03,21.15,21.15,16.65,18.9,23.67,24.61,22.94,-1.11,BUY,12685.15
2016-12-06,27.3,27.45,24.75,25.35,24.13,23.89,53.48,0.74,BUY,17013.10
2017-01-17,23.85,24.45,22.2,22.65,24.39,24.59,38.50,-0.55,SELL,15201.40
2017-04-17,32.4,34.35,32.4,33.3,35.04,35.18,43.35,-0.59,SELL,15201.40
2017-06-09,21.0,21.45,20.85,20.85,27.78,29.91,25.41,-1.20,BUY,15201.40
2017-06-12,21.0,21.0,19.2,19.5,27.37,29.56,23.28,-1.69,BUY,14217.25
2017-06-13,19.5,19.5,18.75,18.75,26.86,29.21,22.16,-2.12,BUY,13670.50
2017-08-02,19.95,19.95,16.5,18.0,20.23,21.94,29.58,-0.65,BUY,13123.75
2017-08-03,17.7,18.15,17.25,17.55,20.05,21.70,27.59,-0.79,BUY,12795.70
2017-08-04,17.4,18.15,17.1,17.1,19.87,21.45,25.74,-0.92,BUY,12467.65
2017-08-10,16.8,16.8,13.5,14.85,19.12,20.45,19.04,-1.35,BUY,10827.40
2017-09-27,16.2,17.1,16.05,17.1,17.05,17.03,50.61,0.13,BUY,12467.65
2017-11-01,16.8,16.8,16.2,16.5,16.78,16.87,47.94,-0.28,SELL,12030.25
2017-12-12,18.6,19.2,18.15,18.675,16.99,16.92,60.46,0.44,BUY,12030.25
2018-02-06,9.765,10.14,7.425,9.75,16.97,17.38,21.12,-1.45,BUY,6282.55
2018-02-26,9.0,9.15,8.7,9.0,10.82,15.04,29.00,-1.95,BUY,5799.55
2018-03-05,8.925,9.15,8.55,8.655,9.40,14.07,29.92,-1.59,BUY,5577.37
2018-03-06,8.4,8.85,8.25,8.25,9.33,13.88,27.90,-1.54,BUY,5316.55
2018-03-07,8.55,8.55,8.1,8.175,9.19,13.69,27.53,-1.50,BUY,5268.25
2018-03-22,7.8,8.1,7.2,7.2,8.64,11.82,28.31,-0.90,BUY,4640.35
2018-03-23,7.35,7.8,6.6,6.9,8.54,11.58,26.73,-0.95,BUY,4447.15
2018-03-26,5.85,6.45,4.95,6.0,8.39,11.32,22.64,-1.06,BUY,3867.55
2018-03-27,5.7,6.6,5.7,6.0,8.26,11.06,22.64,-1.13,BUY,3867.55
2018-05-09,7.275,7.575,6.93,7.425,7.41,7.36,50.34,0.03,BUY,4785.25
2018-06-28,8.4,8.55,7.65,7.95,8.33,8.34,43.81,-0.03,SELL,5123.35
2018-07-30,8.775,8.775,7.53,7.95,8.47,8.46,44.17,0.06,BUY,5123.35
2018-08-16,7.875,8.025,7.8,8.025,8.23,8.29,47.76,-0.14,SELL,5171.65
2018-09-07,6.45,6.45,5.7,5.85,7.82,8.11,26.11,-0.40,BUY,5171.65
2018-11-21,7.95,8.7,7.95,8.55,5.69,5.68,75.13,0.62,BUY,7558.45
2019-01-18,7.35,7.65,7.05,7.65,7.36,7.37,52.88,0.14,SELL,6762.85
2019-01-24,7.05,7.5,6.45,7.35,7.48,7.47,49.50,0.05,BUY,6762.85
2019-02-12,6.6,6.75,6.6,6.6,7.19,7.24,38.19,-0.15,SELL,6072.85
2019-03-26,5.25,5.565,4.875,5.04,6.23,6.69,29.28,-0.29,BUY,6072.85
2019-03-28,5.1,5.2485,4.38,4.89,6.08,6.60,28.86,-0.39,BUY,5892.25
2019-03-29,4.53,4.95,4.3995,4.575,5.98,6.54,26.00,-0.45,BUY,5512.99
2019-07-15,3.6,3.7035,3.45,3.627,3.71,3.70,46.60,-0.04,BUY,4370.65
2019-07-18,3.3015,3.5625,3.3,3.4395,3.67,3.69,41.63,-0.06,SELL,4144.71
2019-08-20,2.775,2.8725,2.25,2.403,3.08,3.41,25.55,-0.18,BUY,4144.71
2019-08-21,2.325,2.61,2.295,2.475,3.04,3.39,28.89,-0.21,BUY,4268.84
2019-09-23,3.33,3.69,3.121,3.69,3.08,3.08,63.82,0.18,BUY,6363.50
2019-11-13,4.5,5.25,4.5,4.97,3.67,3.47,73.00,0.31,SELL,8570.22
