Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-05-02,34.11,34.5829,33.82,34.44,37.56,37.85,41.16,-0.85,SELL,10000.00
2024-06-03,40.46,40.79,39.82,40.15,38.32,38.20,56.80,0.75,BUY,10000.00
2024-07-03,34.98,35.15,34.77,35.06,37.61,37.69,40.81,-0.91,SELL,8732.59
2024-10-03,35.09,35.43,34.75,35.41,35.27,35.18,49.40,0.39,BUY,8732.59
2024-11-11,47.58,50.82,47.38,50.46,40.98,37.58,77.97,2.29,SELL,12434.89
2024-11-12,49.95,52.2,49.49,52.02,41.64,37.94,79.76,2.84,SELL,12434.89
2024-11-13,52.21,54.2,51.93,52.09,42.28,38.31,79.84,3.24,SELL,12434.89
2024-12-17,62.54,62.83,61.33,61.91,56.95,48.01,70.67,3.37,SELL,12434.89
2025-02-21,57.51,57.59,54.84,54.91,57.24,57.26,44.14,-0.51,SELL,12434.89
2025-02-27,49.95,50.01,47.8,48.29,55.44,56.74,29.87,-1.76,BUY,12434.89
2025-04-30,54.81,54.81,53.79,54.53,50.33,50.20,61.06,1.47,BUY,14038.57
2025-07-11,68.22,68.49,67.62,68.49,62.38,61.31,70.80,1.38,SELL,17626.29
2025-07-14,70.54,70.75,69.04,69.47,62.80,61.57,72.66,1.72,SELL,17626.29
2025-09-05,65.4,65.54,63.81,64.61,66.13,66.23,46.76,-0.73,SELL,17626.29
