Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2020-08-25,27.61,29.7,26.26,26.26,21.15,18.06,70.72,1.67,SELL,10000.00
2020-08-26,26.27,28.09,24.3,27.04,21.44,18.27,72.35,1.91,SELL,10000.00
2020-08-28,28.5,32.71,28.01,29.86,22.24,18.82,76.48,2.40,SELL,10000.00
2020-08-31,30.0,31.57,30.0,31.25,22.80,19.15,78.54,2.75,SELL,10000.00
2020-09-10,33.51,37.99,32.0,35.34,26.64,21.51,75.29,2.93,SELL,10000.00
2020-09-14,36.73,43.43,36.73,40.42,28.32,22.44,80.88,3.85,SELL,10000.00
2020-09-15,41.25,44.7393,40.1301,41.61,29.32,22.97,81.92,4.36,SELL,10000.00
2020-09-16,42.04,44.315,41.61,43.71,30.38,23.55,83.61,4.88,SELL,10000.00
2020-09-17,42.78,52.83,42.78,47.5,31.65,24.20,86.14,5.53,SELL,10000.00
2020-11-02,39.0,39.85,37.8685,38.81,38.01,38.10,52.34,-1.23,SELL,10000.00
2020-12-11,36.2,37.3925,35.47,35.58,37.30,37.24,46.34,-0.28,BUY,10000.00
2021-01-15,38.5,39.99,37.9,39.65,36.94,36.94,60.60,0.06,SELL,11143.67
2021-02-04,36.35,37.51,35.22,36.59,37.00,36.95,49.68,-0.42,BUY,11143.67
2021-02-15,34.03,34.03,34.03,34.03,36.70,36.91,39.59,-0.47,SELL,10365.43
2021-02-18,33.8,34.0,30.65,30.76,35.67,36.72,29.97,-1.02,BUY,10365.43
2021-02-23,29.85,30.0,27.0,28.83,34.49,36.38,29.73,-1.66,BUY,9716.95
2021-04-09,37.67,39.66,36.55,39.66,30.88,31.50,70.23,1.66,SELL,13366.66
2021-04-13,33.81,34.74,33.1301,34.65,31.48,31.47,55.44,1.52,BUY,13366.66
2021-06-02,36.35,37.0,35.25,36.46,34.46,34.55,54.95,0.59,SELL,14063.51
2021-06-03,36.46,38.73,35.75,38.13,34.77,34.74,59.50,0.75,BUY,14063.51
2021-07-12,35.13,36.34,34.39,36.14,35.93,36.05,51.19,-0.83,SELL,13331.19
2021-09-03,5.65,5.95,4.91,5.06,26.30,29.80,16.97,-2.17,BUY,13331.19
2021-09-06,5.06,5.06,5.06,5.06,25.12,29.21,16.97,-3.58,BUY,13331.19
2021-09-07,4.98,5.0,4.06,4.19,23.94,28.64,16.50,-4.72,BUY,11039.61
2021-09-23,3.36,3.53,3.29,3.39,10.20,21.42,17.12,-5.98,BUY,8932.41
2021-09-30,3.08,3.08,2.89,2.96,3.71,18.41,16.80,-4.70,BUY,7799.79
2021-10-01,3.01,3.07,2.88,2.97,3.61,17.86,16.89,-4.45,BUY,7826.14
2021-10-04,3.0,3.13,2.89,2.96,3.50,17.30,16.87,-4.20,BUY,7799.79
2021-10-05,2.97,2.99,2.75,2.8,3.43,16.77,16.55,-3.97,BUY,7378.19
2021-10-06,2.81,2.835,2.6401,2.74,3.36,16.21,16.42,-3.75,BUY,7220.09
2021-10-07,2.79,2.87,2.75,2.77,3.30,15.66,16.77,-3.54,BUY,7299.14
2021-10-08,2.84,2.84,2.68,2.72,3.23,15.12,16.64,-3.33,BUY,7167.39
2021-10-11,2.71,2.905,2.69,2.76,3.16,14.56,17.17,-3.13,BUY,7272.79
2021-10-12,2.81,2.86,2.76,2.77,3.11,14.02,17.31,-2.93,BUY,7299.14
2021-10-13,2.84,2.98,2.79,2.97,3.08,13.51,20.22,-2.73,BUY,7826.14
2021-10-14,2.94,2.9866,2.85,2.87,3.05,13.01,19.84,-2.55,BUY,7562.64
2021-10-15,2.85,2.87,2.755,2.78,3.01,12.52,19.49,-2.39,BUY,7325.49
2021-10-18,2.75,2.75,2.66,2.7,2.98,12.01,19.17,-2.24,BUY,7114.69
2021-10-19,2.67,2.75,2.66,2.71,2.95,11.50,19.35,-2.09,BUY,7141.04
2021-10-20,2.75,2.85,2.7,2.85,2.92,11.01,21.98,-1.95,BUY,7509.94
2021-10-21,2.83,2.9684,2.7704,2.82,2.89,10.54,21.82,-1.81,BUY,7430.89
2021-10-22,2.86,2.86,2.61,2.65,2.86,10.09,20.87,-1.70,BUY,6982.94
2021-10-25,2.62,2.76,2.6199,2.72,2.83,9.66,22.37,-1.58,BUY,7167.39
2021-10-26,2.74,2.84,2.69,2.74,2.82,9.18,22.82,-1.48,BUY,7220.09
2021-10-27,2.76,2.76,2.63,2.65,2.80,8.72,22.19,-1.38,BUY,6982.94
2021-10-28,2.675,2.78,2.6412,2.76,2.79,8.26,24.90,-1.28,BUY,7272.79
2021-10-29,2.76,2.82,2.686,2.71,2.77,7.77,24.48,-1.19,BUY,7141.04
2021-11-19,2.84,2.98,2.84,2.88,3.08,3.08,32.77,-0.32,BUY,7588.99
2021-12-06,2.2,2.31,2.1012,2.24,2.85,2.88,25.42,-0.34,SELL,5902.59
2022-01-10,1.88,1.88,1.68,1.75,2.12,2.55,27.62,-0.18,BUY,5902.59
2022-01-12,1.86,1.86,1.72,1.72,2.08,2.49,28.96,-0.20,BUY,5801.43
2022-04-01,1.44,1.5278,1.44,1.51,1.44,1.44,54.74,0.02,BUY,5093.31
2022-06-24,1.22,1.33,1.19,1.3,1.23,1.23,56.85,-0.00,BUY,4384.98
2022-07-08,1.41,1.54,1.41,1.53,1.28,1.24,73.06,0.05,SELL,5160.77
2022-08-05,1.23,1.245,1.18,1.22,1.27,1.27,46.07,-0.03,SELL,5160.77
2022-09-01,1.3,1.31,1.295,1.3,1.30,1.30,50.61,0.01,BUY,5160.77
2022-09-22,1.22,1.2307,1.155,1.17,1.28,1.27,29.86,-0.02,BUY,4644.80
2022-09-26,1.05,1.08,1.05,1.07,1.25,1.26,23.02,-0.04,BUY,4247.90
2022-11-04,1.04,1.0422,0.8977,0.97,1.06,1.15,27.99,-0.03,BUY,3850.90
2023-01-10,1.04,1.04,1.0,1.02,1.00,1.00,52.64,0.00,BUY,4049.40
2023-02-17,0.98,1.01,0.98,1.0,1.00,1.00,47.82,-0.00,SELL,3970.00
2023-02-24,1.03,1.04,1.03,1.03,1.01,1.01,57.94,0.00,BUY,3970.00
2023-03-22,0.98,1.01,0.974,0.9752,1.01,1.01,39.14,-0.01,SELL,3758.80
2023-04-06,0.99,1.2899,0.982,1.09,1.00,1.01,71.63,0.01,SELL,3758.80
2023-04-07,1.09,1.09,1.09,1.09,1.00,1.01,71.63,0.01,SELL,3758.80
2023-04-10,1.09,1.1,1.02,1.1,1.01,1.01,73.10,0.02,SELL,3758.80
2023-04-11,1.05,1.1,1.05,1.09,1.01,1.01,69.23,0.02,BUY,3758.80
2023-05-29,1.02,1.02,1.02,1.02,1.04,1.04,47.00,-0.01,SELL,3517.44
2023-08-04,0.96,0.98,0.8138,0.8742,1.00,1.01,22.88,-0.02,BUY,3517.44
2023-08-07,0.88,0.88,0.8513,0.86,0.99,1.01,21.52,-0.03,BUY,3460.31
2023-09-18,0.81,0.8435,0.776,0.776,0.84,0.90,28.98,-0.02,BUY,3122.38
2023-09-25,0.74,0.76,0.73,0.73,0.82,0.88,25.98,-0.03,BUY,2937.32
2023-09-26,0.73,0.7499,0.6802,0.687,0.81,0.88,21.50,-0.04,BUY,2764.34
2023-09-28,0.745,0.745,0.63,0.6488,0.80,0.86,21.10,-0.05,BUY,2610.66
2023-10-23,0.51,0.5282,0.5,0.5,0.61,0.74,27.09,-0.06,BUY,2012.03
2023-11-13,0.42,0.4467,0.41,0.4309,0.49,0.63,28.58,-0.05,BUY,1733.98
2023-11-14,0.41,0.428,0.38,0.3901,0.49,0.62,24.26,-0.05,BUY,1569.80
2023-11-15,0.39,0.3901,0.3801,0.3801,0.48,0.61,23.33,-0.05,BUY,1529.56
2023-11-16,0.39,0.413,0.3801,0.3925,0.47,0.60,27.07,-0.06,BUY,1579.45
2023-12-14,0.72,0.73,0.6905,0.691,0.52,0.52,75.49,0.04,BUY,2780.62
2024-02-05,0.6399,0.6399,0.44,0.4836,0.70,0.67,26.00,-0.04,BUY,1946.04
2024-02-08,0.5632,0.63,0.5616,0.6251,0.67,0.68,46.02,-0.03,SELL,2515.44
2024-03-14,0.65,0.6895,0.63,0.649,0.70,0.70,43.88,0.00,BUY,2515.44
2024-05-20,0.6623,0.6623,0.58,0.6071,0.70,0.70,35.46,-0.02,SELL,2353.07
2024-08-01,0.544,0.58,0.54,0.549,0.56,0.56,47.86,-0.00,BUY,2353.07
2024-08-08,0.4601,0.48,0.4151,0.4283,0.54,0.55,31.75,-0.02,SELL,1835.75
2024-08-15,0.39,0.4267,0.2796,0.31,0.50,0.53,22.97,-0.05,BUY,1835.75
2024-08-28,9.05,9.05,7.6,7.73,0.76,0.63,97.92,0.54,BUY,45769.57
2024-08-29,7.66,8.125,7.385,7.8,1.13,0.78,97.94,1.00,SELL,46184.04
2024-08-30,7.85,8.0,7.5857,7.9,1.49,0.93,97.98,1.36,SELL,46184.04
2024-09-17,7.45,7.5,6.86,7.09,5.30,2.42,77.38,1.63,SELL,46184.04
2024-10-24,4.66,4.85,4.46,4.63,4.91,5.05,41.74,-0.19,SELL,46184.04
2024-11-20,10.46,18.81,8.7914,13.55,5.46,5.57,91.82,0.88,SELL,46184.04
2024-11-22,15.21,16.67,14.04,16.0,6.58,5.92,93.55,2.05,SELL,46184.04
2025-01-29,14.97,15.1182,14.5,14.65,17.96,18.44,39.85,-1.20,SELL,46184.04
2025-03-17,5.7,6.1231,5.51,5.52,7.98,12.66,22.59,-2.02,BUY,46184.04
2025-05-13,6.5,6.815,6.35,6.8,6.71,6.65,50.61,-0.15,BUY,56892.52
2025-05-27,9.0,12.9,9.0,11.53,7.39,7.03,77.59,0.61,SELL,96463.70
2025-07-31,10.18,10.36,9.74,9.98,10.92,11.17,43.22,-0.24,SELL,96463.70
