Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2013-11-13,26.0,26.9,23.1,25.47,30.44,30.06,27.33,-0.38,BUY,10000.00
2013-11-14,25.96,26.29,25.01,25.24,30.13,30.00,26.73,-0.71,BUY,9909.84
2013-11-15,25.24,26.64,24.77,25.61,29.80,29.95,29.42,-0.93,SELL,10054.88
2013-11-18,25.13,25.13,23.77,24.02,29.39,29.86,25.14,-1.22,BUY,10054.88
2014-01-15,24.94,25.01,24.5,24.63,26.01,26.01,37.77,-0.53,BUY,10309.86
2014-01-21,25.7,25.7,24.13,24.15,25.53,25.54,34.11,-0.59,SELL,10109.22
2014-02-20,21.81,22.05,21.03,21.07,22.62,24.49,28.10,-0.78,BUY,10109.22
2014-02-21,21.07,21.18,20.76,20.85,22.51,24.38,26.79,-0.83,BUY,10003.84
2014-03-20,24.07,24.33,24.0,24.2,23.37,23.35,58.24,0.20,BUY,11608.49
2014-04-22,26.09,27.31,25.92,26.97,25.03,23.92,71.33,0.51,SELL,12935.32
2014-04-23,27.0,27.43,26.71,27.37,25.14,24.01,73.45,0.63,SELL,12935.32
2014-05-22,23.4,23.4,23.04,23.16,24.76,24.84,37.89,-0.54,SELL,12935.32
2014-07-09,23.86,24.05,23.51,23.85,24.12,24.10,45.13,-0.01,BUY,12935.32
2014-07-15,22.88,23.2,22.82,23.11,23.91,23.92,38.47,-0.24,SELL,12534.24
2014-08-08,21.68,21.9,20.42,20.59,22.88,23.62,24.34,-0.37,BUY,12534.24
2014-08-11,20.7,20.78,20.33,20.52,22.77,23.56,24.00,-0.52,BUY,12491.68
2014-08-12,20.48,20.56,20.18,20.44,22.63,23.49,23.58,-0.63,BUY,12443.04
2014-08-13,20.44,20.63,20.07,20.09,22.49,23.41,21.82,-0.74,BUY,12230.24
2014-08-27,20.01,20.29,20.01,20.1,21.16,22.60,29.36,-0.75,BUY,12236.32
2014-09-08,20.01,20.13,19.59,19.66,20.19,21.97,26.52,-0.57,BUY,11968.80
2014-09-09,19.55,19.77,19.46,19.59,20.15,21.87,25.76,-0.58,BUY,11926.24
2014-09-10,19.56,19.71,19.35,19.59,20.13,21.77,25.76,-0.57,BUY,11926.24
2014-09-11,19.41,19.72,19.37,19.48,20.10,21.67,24.47,-0.57,BUY,11859.36
2014-09-19,19.33,19.44,19.09,19.12,19.82,21.15,25.82,-0.50,BUY,11640.48
2014-09-22,19.02,19.11,18.75,19.05,19.76,21.07,24.99,-0.51,BUY,11597.92
2014-09-30,19.05,19.23,18.67,18.7,19.45,20.61,29.64,-0.45,BUY,11385.12
2014-10-02,18.68,18.95,18.09,18.24,19.28,20.42,24.69,-0.50,BUY,11105.44
2014-10-03,18.24,18.25,17.75,17.91,19.17,20.33,21.86,-0.55,BUY,10904.80
2014-10-09,17.71,17.78,17.09,17.12,18.81,19.90,18.36,-0.67,BUY,10424.48
2014-10-10,17.15,17.15,16.61,16.81,18.67,19.78,16.60,-0.73,BUY,10236.00
2014-11-19,20.15,20.16,19.53,19.82,18.35,18.31,60.29,0.67,BUY,12066.08
