Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2021-08-12,37.37,38.925,36.805,38.92,33.01,33.39,73.71,1.07,SELL,10000.00
2021-08-16,39.93,41.748,39.0,40.95,34.02,33.76,78.13,1.72,BUY,10000.00
2021-09-01,44.84,48.96,43.6,47.01,39.25,35.77,78.64,2.59,SELL,11478.64
2021-09-02,47.1,48.12,46.28,48.12,40.03,35.95,80.15,2.94,SELL,11478.64
2021-11-11,44.0,45.74,40.49,43.97,46.40,46.78,43.88,-0.74,SELL,11478.64
2022-04-04,31.61,32.52,31.32,32.26,27.66,27.49,64.40,1.16,BUY,11478.64
2022-05-10,22.81,23.87,19.84,21.14,29.16,28.37,29.22,-1.19,BUY,7531.04
2022-05-11,20.61,23.0,19.135,19.4,28.61,28.23,26.59,-1.73,BUY,6911.60
2022-06-14,15.85,16.0,14.95,15.52,18.63,23.99,29.58,-1.87,BUY,5530.32
2022-07-14,22.0,22.29,21.02,21.52,19.22,19.07,61.38,0.62,BUY,7666.32
2022-08-10,25.0,28.2,25.0,26.65,23.07,20.38,70.09,1.24,SELL,9492.60
2022-09-27,22.29,23.25,22.14,22.38,24.54,24.62,39.35,-0.52,SELL,9492.60
2022-12-07,20.73,21.63,20.62,21.12,21.45,21.39,49.11,0.01,BUY,9492.60
2023-02-02,28.95,29.31,28.43,29.26,26.12,23.75,72.27,1.18,SELL,13147.46
2023-03-08,27.27,27.33,26.2942,27.11,25.70,25.73,58.24,0.34,SELL,13147.46
2023-03-21,27.8,28.7,27.8,28.31,26.29,26.25,61.34,0.56,BUY,13147.46
2023-09-07,32.62,32.9,32.0007,32.68,32.04,32.14,51.04,0.34,SELL,15175.14
2023-09-12,31.5,31.93,31.221,31.59,32.20,32.20,44.30,0.07,BUY,15175.14
2023-09-15,31.3,31.78,30.83,31.39,32.30,32.31,43.19,-0.13,SELL,15079.14
2023-11-08,19.0,21.2537,18.65,20.68,27.40,29.88,24.94,-1.28,BUY,15079.14
2023-11-09,20.96,21.0,19.0,19.59,26.95,29.59,23.18,-1.74,BUY,14284.53
2023-11-10,19.68,20.365,19.51,19.89,26.56,29.30,24.75,-2.05,BUY,14503.23
2024-02-23,23.03,23.5,22.88,23.39,22.19,22.12,59.82,0.32,BUY,17054.73
2024-02-28,31.47,31.54,28.15,28.85,22.80,22.29,80.30,0.95,SELL,21035.07
2024-02-29,29.53,29.53,28.02,28.39,23.15,22.39,76.67,1.24,SELL,21035.07
2024-04-12,22.38,22.7225,21.01,21.2,24.03,24.19,31.08,-0.68,SELL,21035.07
2024-05-08,16.89,17.31,15.77,17.24,20.62,23.44,23.16,-1.06,BUY,21035.07
2024-05-09,17.41,18.11,16.87,17.68,20.37,23.22,27.48,-1.17,BUY,21571.87
2024-05-10,17.73,17.96,17.03,17.59,20.19,23.00,27.14,-1.25,BUY,21462.07
2024-05-13,17.63,17.9,16.925,17.21,20.00,22.78,25.71,-1.33,BUY,20998.47
2024-06-18,15.72,15.95,15.38,15.39,17.01,18.69,28.88,-0.78,BUY,18778.07
2024-07-17,18.76,19.07,18.64,18.99,16.57,17.01,70.25,0.29,SELL,23170.07
2024-07-23,17.91,18.42,17.8,18.33,16.99,16.95,60.42,0.40,BUY,23170.07
2024-09-06,17.56,17.87,17.145,17.45,17.56,17.57,48.12,-0.02,SELL,22057.75
2024-11-04,17.48,17.6,17.26,17.44,17.12,17.10,54.33,0.19,BUY,22057.75
2024-11-08,20.59,22.24,19.88,20.99,17.59,17.18,80.49,0.53,SELL,26544.95
2024-11-11,21.35,23.22,21.25,23.17,17.93,17.28,85.98,0.89,SELL,26544.95
2024-11-12,22.91,23.0,22.04,22.63,18.21,17.37,79.97,1.12,SELL,26544.95
2025-01-06,20.59,20.6,19.13,19.47,20.43,20.56,40.46,-0.24,SELL,26544.95
2025-02-26,9.07,11.2,8.62,11.05,19.04,19.49,17.16,-1.06,BUY,26544.95
2025-02-27,11.04,11.6,10.615,10.91,18.60,19.30,16.96,-1.51,BUY,26208.67
2025-03-17,10.47,10.6372,10.31,10.45,12.84,16.89,26.34,-2.27,BUY,25103.75
2025-03-25,10.11,10.4,10.0,10.21,10.39,15.80,27.82,-1.69,BUY,24527.27
2025-03-26,10.41,10.41,9.79,10.025,10.33,15.62,26.78,-1.61,BUY,24082.90
2025-03-27,10.04,10.22,9.9,9.95,10.29,15.43,26.35,-1.53,BUY,23902.75
2025-03-28,9.91,10.0,9.57,9.6,10.20,15.23,24.39,-1.48,BUY,23062.05
2025-03-31,9.42,9.635,9.4,9.5,10.13,15.02,23.85,-1.43,BUY,22821.85
2025-04-01,9.47,9.65,9.44,9.56,10.08,14.81,24.93,-1.37,BUY,22965.97
2025-04-02,9.39,10.02,9.38,9.83,10.03,14.62,29.78,-1.28,BUY,23614.51
2025-04-03,9.35,9.56,9.12,9.29,10.00,14.42,26.14,-1.25,BUY,22317.43
2025-04-04,8.99,9.365,8.94,9.1,9.94,14.23,24.99,-1.22,BUY,21861.05
2025-04-07,8.88,9.41,8.61,9.02,9.89,14.03,24.50,-1.19,BUY,21668.89
2025-04-08,9.37,9.5,8.56,8.65,9.84,13.83,22.31,-1.18,BUY,20780.15
2025-04-10,9.19,9.19,8.31,8.42,9.71,13.40,26.37,-1.12,BUY,20227.69
2025-05-14,11.11,11.29,10.95,11.11,9.72,9.71,66.31,0.35,BUY,26689.07
