Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2022-07-19,19.69,20.32,19.45,20.25,19.22,19.13,57.11,0.15,BUY,10000.00
2022-07-28,21.33,23.23,21.13,23.03,20.12,19.55,72.69,0.70,SELL,11370.54
2022-08-22,17.08,17.395,16.89,17.35,19.08,19.12,38.34,-0.64,SELL,11370.54
2022-09-22,15.8,15.8,15.29,15.33,17.09,18.37,29.03,-0.52,BUY,11370.54
2022-09-23,15.25,15.25,14.34,14.91,16.98,18.28,26.68,-0.63,BUY,11059.32
2022-11-10,18.69,18.81,18.02,18.02,16.56,16.48,63.47,0.46,BUY,13363.83
2023-01-06,19.2,20.09,19.19,19.98,17.70,17.34,71.57,0.45,SELL,14816.19
2023-01-09,20.1,21.24,20.05,21.18,17.85,17.42,76.70,0.66,SELL,14816.19
2023-01-10,21.2,21.54,20.82,21.29,18.03,17.49,77.11,0.83,SELL,14816.19
2023-01-26,22.28,22.54,21.87,22.36,20.82,18.58,74.31,1.16,SELL,14816.19
2023-02-03,22.62,23.63,22.53,23.62,22.16,19.30,79.16,1.08,SELL,14816.19
2023-02-07,22.82,23.54,22.55,23.43,22.35,19.57,71.01,1.03,SELL,14816.19
2023-02-08,23.22,23.72,23.01,23.57,22.47,19.69,71.89,1.03,SELL,14816.19
2023-02-09,23.6,24.56,23.35,23.97,22.58,19.83,74.29,1.05,SELL,14816.19
2023-02-10,23.96,24.67,23.61,24.65,22.71,19.97,77.77,1.10,SELL,14816.19
2023-02-13,24.65,24.72,24.14,24.52,22.83,20.13,75.66,1.12,SELL,14816.19
2023-02-17,24.38,24.64,24.05,24.59,23.33,20.77,73.13,1.08,SELL,14816.19
2023-02-24,24.68,25.8,23.88,25.71,23.75,21.29,72.36,0.90,SELL,14816.19
2023-08-07,33.97,35.37,33.74,35.0,32.88,30.89,72.32,0.73,SELL,14816.19
2023-08-08,34.73,35.16,34.4,35.1,33.05,31.03,72.77,0.84,SELL,14816.19
2023-08-30,36.16,37.115,35.8401,37.08,35.03,33.02,70.22,0.91,SELL,14816.19
2023-09-01,37.32,37.98,37.04,37.43,35.43,33.32,71.18,1.02,SELL,14816.19
2023-10-06,34.07,35.45,33.6,34.74,34.96,35.03,48.91,-0.29,SELL,14816.19
2023-11-06,39.43,40.7,39.2,40.51,35.79,35.61,72.35,1.24,BUY,14816.19
2023-12-08,42.92,43.91,42.8,43.87,41.86,38.27,70.28,1.14,SELL,16042.59
2023-12-11,44.0,44.93,43.63,44.6,42.04,38.45,72.94,1.25,SELL,16042.59
2023-12-13,44.15,44.83,43.3,44.71,42.35,38.88,71.07,1.36,SELL,16042.59
2024-01-18,48.76,49.63,48.63,49.51,46.80,44.03,70.50,1.44,SELL,16042.59
2024-01-19,49.83,50.22,48.95,50.16,47.04,44.22,72.64,1.54,SELL,16042.59
2024-01-22,51.0,51.26,49.98,51.05,47.36,44.43,75.28,1.66,SELL,16042.59
2024-02-23,58.0,59.98,57.41,57.9,54.22,49.94,71.55,1.41,SELL,16042.59
2024-03-20,59.82,63.46,59.72,63.31,57.90,54.42,71.68,1.82,SELL,16042.59
2024-03-21,64.0,65.71,63.35,64.98,58.43,54.79,74.62,2.16,SELL,16042.59
2024-03-22,65.38,65.7,64.04,65.36,58.80,55.16,75.25,2.43,SELL,16042.59
2024-03-25,65.3,66.47,65.13,66.0,59.28,55.51,76.31,2.67,SELL,16042.59
2024-04-15,72.02,72.99,70.36,71.02,67.70,60.64,70.27,3.38,SELL,16042.59
2024-06-25,92.47,101.09,92.1602,99.67,86.14,79.94,71.84,4.29,SELL,16042.59
2024-10-08,140.34,147.775,139.8,146.45,130.37,119.66,75.55,5.95,SELL,16042.59
2024-11-11,160.0,165.84,159.99,164.68,144.81,135.65,71.53,4.82,SELL,16042.59
2024-12-23,133.13,133.5,127.01,128.04,148.96,150.35,32.45,-7.53,SELL,16042.59
2025-01-21,86.25,87.95,75.06,83.79,137.81,149.15,26.23,-7.98,BUY,16042.59
2025-05-16,118.1,119.29,115.7,117.98,105.17,104.49,60.14,3.91,BUY,22572.88
2025-07-17,115.64,119.49,115.45,115.65,118.08,118.90,48.01,-1.87,SELL,22127.85
2025-07-30,126.45,146.4999,126.2,144.46,114.67,119.04,74.05,1.22,SELL,22127.85
2025-08-07,137.77,142.36,136.86,138.07,122.60,121.77,63.85,6.00,BUY,22127.85
2025-08-28,150.99,155.49,150.54,155.39,143.34,128.33,73.42,6.77,SELL,24899.05
