Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-05-02,52.27,53.08,51.83,52.86,57.62,58.10,41.64,-1.31,SELL,10000.00
2024-06-03,62.0,62.56,60.95,61.51,58.75,58.60,56.84,1.13,BUY,10000.00
2024-07-03,53.5,53.89,53.15,53.66,57.58,57.74,40.75,-1.42,SELL,8728.30
2024-08-05,39.66,44.33,39.56,42.62,54.69,56.65,27.85,-1.76,BUY,8728.30
2024-10-04,48.97,49.77,48.39,49.68,48.77,48.54,52.18,0.37,BUY,10168.54
2024-11-11,65.08,69.68,64.94,69.22,56.19,51.56,78.11,3.10,SELL,14154.70
2024-11-12,68.48,71.58,67.78,71.23,57.09,52.06,79.80,3.85,SELL,14154.70
2024-11-13,71.53,74.36,71.04,71.31,57.96,52.56,79.86,4.40,SELL,14154.70
2024-12-17,85.48,86.11,83.925,84.71,77.97,65.78,70.40,4.58,SELL,14154.70
2025-02-21,78.48,78.71,74.9,75.06,78.20,78.27,44.22,-0.71,SELL,14154.70
2025-02-27,68.26,68.31,65.3,65.95,75.72,77.55,29.87,-2.43,BUY,14154.70
2025-04-30,74.58,74.62,73.27,74.27,68.60,68.47,61.00,1.97,BUY,15935.18
2025-07-11,92.63,93.11,91.84,93.04,84.78,83.39,70.80,1.85,SELL,19951.96
2025-07-14,95.82,96.16,93.81,94.38,85.36,83.75,72.68,2.31,SELL,19951.96
2025-09-05,88.69,88.99,86.51,87.66,89.74,89.92,46.73,-1.01,SELL,19951.96
