Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2021-04-20,19.75,20.78,19.75,20.7,17.63,17.57,62.43,0.78,BUY,10000.00
2021-06-18,17.72,17.9099,16.375,16.48,23.71,22.16,27.80,-0.94,BUY,7961.74
2021-06-24,16.99,17.14,16.48,16.85,21.96,22.04,31.51,-1.72,SELL,8140.45
2021-10-28,12.97,13.1151,12.375,12.59,11.57,11.44,57.46,0.59,BUY,8140.45
2021-11-11,14.79,15.08,14.43,14.93,12.63,11.51,70.76,0.60,SELL,9652.09
2021-11-12,14.75,15.33,14.4,15.0,12.76,11.54,71.08,0.72,SELL,9652.09
2021-12-10,10.03,10.07,9.51,9.65,11.80,11.97,33.10,-0.74,SELL,9652.09
2022-02-23,12.11,13.32,12.11,12.98,10.53,10.48,62.85,0.70,BUY,9652.09
2022-03-07,16.34,17.39,15.78,17.11,12.59,11.08,76.57,1.36,SELL,12720.68
2022-05-04,12.02,12.95,11.57,12.95,15.80,15.88,41.59,-1.27,SELL,12720.68
2022-09-26,2.38,2.435,2.1,2.21,3.03,3.71,29.99,-0.35,BUY,12720.68
2022-11-01,30.36,31.0006,29.4,29.88,5.46,4.05,96.04,3.65,SELL,171961.53
2022-12-01,46.92,49.44,45.8126,48.63,39.13,19.23,72.42,7.01,SELL,171961.53
2022-12-02,45.3,48.72,44.34,48.24,40.05,20.15,71.60,7.09,SELL,171961.53
2023-02-21,37.31,38.3284,35.79,36.47,48.87,49.19,30.11,-3.91,SELL,171961.53
2023-04-04,55.8,61.62,54.79,61.0,44.82,44.41,73.52,4.26,BUY,171961.53
2023-05-24,45.88,45.88,41.535,42.05,55.08,55.12,30.36,-3.23,SELL,118541.48
2023-08-03,32.79,33.39,31.7435,32.39,39.85,39.74,37.19,-1.48,BUY,118541.48
2023-08-09,31.87,32.5,31.03,31.78,38.77,39.17,37.05,-2.28,SELL,116309.49
2023-09-27,25.33,25.33,22.865,23.61,29.70,32.13,29.91,-1.33,BUY,116309.49
2023-10-02,22.8,22.8,20.85,21.22,28.33,30.95,26.19,-2.15,BUY,104536.35
2023-11-07,27.58,27.62,25.52,26.79,27.91,27.82,47.82,0.02,BUY,131974.17
2023-11-14,24.52,26.48,24.34,26.01,27.04,27.08,48.67,-0.78,SELL,128131.89
2023-11-28,31.19,34.39,30.8925,34.25,26.89,26.78,69.73,0.90,BUY,128131.89
2024-01-22,22.3,23.23,21.97,22.84,29.37,29.62,33.52,-2.22,SELL,85447.08
2024-03-20,24.3,28.29,24.06,27.54,23.44,23.17,60.28,1.25,BUY,85447.08
2024-04-02,32.6,33.615,31.9301,33.35,27.24,23.69,70.84,2.12,SELL,103469.70
2024-04-03,33.04,36.14,33.04,35.61,27.83,23.95,74.36,2.52,SELL,103469.70
2024-04-05,35.05,38.38,34.56,37.9,28.90,24.45,74.96,3.10,SELL,103469.70
2024-05-20,47.04,48.9,45.2006,47.78,38.75,34.67,70.31,2.91,SELL,103469.70
2024-06-18,31.75,33.7299,31.41,33.38,37.82,38.02,43.70,-1.75,SELL,103469.70
2024-07-18,47.8,48.1,43.99,44.54,39.42,39.18,57.53,2.94,BUY,103469.70
2024-10-18,54.23,59.7,53.9001,59.07,48.94,45.52,70.60,1.99,SELL,137222.89
2024-10-21,61.75,62.9486,58.92,59.59,49.47,45.99,71.15,2.60,SELL,137222.89
2024-10-22,61.38,63.77,61.3212,63.12,49.96,46.47,74.65,3.34,SELL,137222.89
2024-11-15,33.21,33.81,31.6651,31.97,46.81,47.19,29.53,-4.53,SELL,137222.89
2025-02-03,39.72,42.1999,39.28,40.86,34.38,34.16,64.90,1.73,BUY,137222.89
2025-02-05,43.82,47.51,43.82,45.8,35.89,34.40,72.31,2.55,SELL,153811.41
2025-04-16,81.89,84.24,77.65,80.22,58.36,51.21,73.78,5.71,SELL,153811.41
2025-07-25,73.31,76.81,72.73,76.61,72.92,73.06,53.79,0.72,SELL,153811.41
2025-08-08,94.0,96.3399,91.69,92.88,75.99,75.90,67.14,3.89,BUY,153811.41
2025-08-29,108.08,118.5,107.905,117.95,96.24,82.03,74.61,8.68,SELL,195327.33
2025-09-02,124.79,129.73,118.31,128.06,98.72,83.10,78.91,10.06,SELL,195327.33
2025-09-03,132.72,134.99,127.72,130.54,101.01,84.16,79.82,11.23,SELL,195327.33
