Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2020-02-21,18.64,19.45,18.64,19.32,19.46,19.43,50.94,-0.39,BUY,10000.00
2020-02-25,21.48,26.0,21.48,25.9,19.77,19.55,75.01,0.44,SELL,13401.86
2020-02-26,24.64,25.87,22.61,25.72,20.02,19.65,73.91,0.84,SELL,13401.86
2020-02-27,29.35,29.61,25.8,28.3693,20.41,19.81,78.83,1.35,SELL,13401.86
2020-02-28,32.62,33.1426,27.8,29.0,20.75,19.98,79.80,1.79,SELL,13401.86
2020-03-09,42.92,55.81,38.17,46.23,24.34,21.42,82.84,4.16,SELL,13401.86
2020-03-12,52.0,63.62,50.74,61.0,28.77,23.10,78.96,7.07,SELL,13401.86
2020-04-17,21.91,23.88,21.5748,21.89,32.20,32.71,40.15,-4.36,SELL,13401.86
2020-10-06,4.82,5.18,4.62,5.16,5.43,5.42,45.41,-0.02,BUY,13401.86
2020-10-08,4.65,4.67,4.42,4.43,5.36,5.36,36.67,-0.14,SELL,11506.05
2020-10-12,4.42,4.55,4.42,4.46,5.29,5.28,37.48,-0.22,BUY,11506.05
2020-10-20,4.67,4.7,4.48,4.66,5.14,5.16,42.75,-0.21,SELL,12021.85
2020-11-09,3.3,3.355,2.5591,2.76,4.58,4.96,29.75,-0.32,BUY,12021.85
2020-11-10,2.8,2.84,2.6933,2.76,4.48,4.91,29.75,-0.42,BUY,12021.85
2021-01-06,1.57,1.59,1.4,1.43,1.70,2.33,29.89,-0.19,BUY,6229.70
2021-01-07,1.39,1.3999,1.31,1.35,1.69,2.26,27.88,-0.20,BUY,5881.22
2021-01-08,1.35,1.439,1.33,1.37,1.67,2.18,29.16,-0.21,BUY,5968.34
2021-01-12,26.98,27.3554,25.31,25.35,4.14,3.06,89.89,3.31,SELL,110425.22
2021-01-13,25.61,26.56,25.59,26.17,5.36,3.49,90.21,4.47,SELL,110425.22
2021-03-09,15.9,16.735,15.69,16.4,19.22,19.85,39.04,-1.37,SELL,110425.22
2021-07-13,11.67,12.0799,11.6401,12.04,11.71,11.68,53.08,0.06,BUY,110425.22
2021-07-19,15.05,15.81,14.94,15.25,12.03,11.79,72.39,0.54,SELL,139864.13
2021-08-18,12.6,12.86,12.15,12.82,11.97,11.98,57.03,-0.07,SELL,139864.13
2021-12-16,8.96,9.775,8.86,9.67,9.06,9.01,56.26,0.12,BUY,139864.13
2022-01-11,8.5,8.6,7.92,7.95,8.54,8.61,42.87,-0.23,SELL,114987.77
2022-01-28,11.11,11.57,10.47,10.51,8.95,8.94,64.06,0.53,BUY,114987.77
2022-03-24,8.17,8.3216,7.72,7.74,9.31,9.32,40.93,-0.35,SELL,84683.97
2022-04-28,10.43,10.95,9.4683,9.74,9.12,9.10,53.78,0.42,BUY,84683.97
2022-07-28,8.65,9.03,8.17,8.19,10.86,11.00,34.82,-0.73,SELL,71208.27
2022-09-21,8.71,9.48,8.34,9.48,8.41,8.32,60.71,0.15,BUY,71208.27
2022-09-26,11.01,11.385,10.34,11.37,8.87,8.26,71.77,0.58,SELL,85404.06
2022-11-10,7.91,7.91,6.74,6.79,9.44,9.56,34.93,-0.45,SELL,85404.06
2023-01-05,7.34,7.508,7.21,7.37,7.37,7.31,49.46,0.09,BUY,85404.06
2023-01-20,6.0,6.06,5.52,5.53,6.74,6.75,35.88,-0.44,SELL,64082.14
2023-02-02,4.1,4.12,3.81,3.93,5.43,6.43,26.32,-0.67,BUY,64082.14
2023-03-17,5.67,6.0191,5.64,5.9,5.18,5.10,60.05,0.24,BUY,96202.99
2023-06-01,5.03,5.18,4.7601,4.84,5.43,5.47,39.78,-0.18,SELL,78919.69
2023-07-03,3.67,3.67,3.58,3.59,3.99,4.88,29.49,-0.30,BUY,78919.69
2023-07-12,3.28,3.37,3.28,3.34,3.81,4.62,29.19,-0.29,BUY,73423.94
2023-07-13,3.27,3.29,3.2001,3.23,3.78,4.57,27.28,-0.30,BUY,71005.81
2023-08-22,4.06,4.25,4.05,4.23,3.68,3.66,67.52,0.16,BUY,92988.81
2023-08-28,41.17,41.17,40.0,40.59,5.68,4.42,98.49,3.07,SELL,892290.69
2023-08-29,40.36,40.7,37.65,37.69,7.41,5.09,90.99,5.08,SELL,892290.69
2023-09-19,41.9,42.84,41.5939,42.14,32.45,15.09,84.52,8.59,SELL,892290.69
2023-09-25,48.26,48.26,46.69,46.88,40.83,18.51,86.41,8.16,SELL,892290.69
2023-09-26,48.22,49.3499,47.33,49.13,41.26,19.43,87.88,8.12,SELL,892290.69
2023-09-27,48.37,50.02,47.76,48.66,41.80,20.34,85.79,7.96,SELL,892290.69
2023-10-03,48.71,51.2299,47.64,50.76,43.97,23.90,81.22,6.81,SELL,892290.69
2023-10-20,53.27,55.64,53.07,55.64,48.56,35.71,71.97,3.89,SELL,892290.69
2023-10-23,56.67,57.71,53.75,56.07,49.02,36.76,72.47,4.13,SELL,892290.69
2023-10-24,55.0,56.5,54.0,55.3,49.33,37.79,70.06,4.21,SELL,892290.69
2023-10-25,56.41,60.14,56.41,59.86,49.89,38.91,75.30,4.58,SELL,892290.69
2023-10-26,60.0,61.86,58.8801,61.08,50.61,40.05,76.48,4.92,SELL,892290.69
2023-10-27,59.71,62.83,59.7,62.34,51.40,41.21,77.67,5.24,SELL,892290.69
2023-11-27,41.99,42.43,41.5034,41.9,48.63,49.20,37.51,-2.52,SELL,892290.69
2023-12-13,34.57,34.95,31.37,31.41,38.97,46.92,22.86,-3.75,BUY,892290.69
2023-12-14,30.11,30.11,27.69,28.235,38.26,46.50,19.28,-4.15,BUY,802098.47
2023-12-15,28.52,28.82,27.87,28.58,37.54,46.07,20.74,-4.39,BUY,811898.88
2023-12-29,26.48,27.27,26.278,27.12,31.26,42.44,27.70,-4.30,BUY,770424.66
2024-04-25,26.86,27.77,26.2,26.48,25.41,25.18,53.40,0.73,BUY,752244.18
2024-05-30,26.18,26.51,25.845,26.25,25.09,25.10,56.40,-0.11,SELL,745710.34
2024-07-12,21.97,22.04,20.89,21.36,24.08,24.83,29.07,-0.75,BUY,745710.34
2024-07-16,21.02,21.02,20.02,20.07,23.67,24.56,23.97,-1.02,BUY,700675.15
2024-08-12,26.85,27.67,26.6674,27.36,24.80,24.58,56.46,1.21,BUY,955176.34
2024-09-05,25.36,25.75,24.68,25.4,23.93,23.96,55.45,-0.09,SELL,886750.78
2025-01-13,19.69,19.9,18.97,18.97,17.91,17.80,57.25,0.26,BUY,886750.78
2025-02-07,16.64,17.315,16.3137,17.2,17.16,17.17,49.69,-0.10,SELL,804013.90
2025-04-04,33.41,37.86,32.84,35.93,24.34,20.57,76.96,2.32,SELL,804013.90
2025-04-07,40.09,41.69,28.98,34.37,24.78,20.94,72.01,2.80,SELL,804013.90
2025-04-08,29.99,38.78,29.33,37.01,25.36,21.33,74.95,3.36,SELL,804013.90
2025-05-05,16.95,17.0,16.3137,16.74,22.68,22.94,37.67,-1.93,SELL,804013.90
2025-06-26,9.94,9.94,9.6,9.63,11.30,14.23,28.13,-1.13,BUY,804013.90
2025-06-27,9.56,9.7498,9.36,9.55,11.13,13.93,27.73,-1.14,BUY,797334.70
2025-06-30,9.31,9.49,9.31,9.41,10.96,13.59,26.99,-1.15,BUY,785646.10
2025-07-02,9.33,9.4,8.9,8.9,10.68,13.03,24.28,-1.17,BUY,743066.20
2025-07-07,8.83,9.14,8.71,8.99,10.38,12.63,28.17,-1.18,BUY,750580.30
2025-07-28,7.76,7.7808,7.67,7.68,8.46,10.42,25.41,-0.82,BUY,641208.40
